Substancia,Valor_Medio_bruto,Valor_Medio_liquido,Maior_valor,Menor_valor
Cetomacrogol,15.96,14.97,406.88,0.43
Cetrimide,4.58,4.29,374.43,0.54
Cetylpyridinium chloride,3.21,3.02,7.67,2.57
Charcoal,4.22,4.01,15.67,0.71
Chenodeoxycholic acid,7840.0,7330.8,7330.8,7330.8
Chiropody Appliances,11.68,10.93,101.0,1.03
Chlohexidine gluconate (Emollient),6.28,5.89,13.86,3.46
Chloral hydrate,580.93,543.27,7612.8,7.74
Chloramphenicol,31.5,29.51,658.25,0.65
Chlordiazepoxide hydrochloride,12.16,11.52,284.16,0.23
Chlorhex hydrochloride,3.23,3.03,4.41,2.21
Chlorhexidine acetate,32.38,30.29,252.47,2.54
Chlorhexidine gluconate,8.82,8.33,259.97,0.12
Chloroquine phosphate,17.04,16.04,144.59,3.33
Chlorothiazide,50.72,47.7,502.57,16.84
Chloroxylenol,5.19,4.91,16.43,1.42
Chlorphenamine maleate,10.46,9.85,1009.87,0.02
Chlorpromazine hydrochloride,69.31,64.91,749.25,0.94
Chlortalidone,104.24,97.55,493.95,11.09
Cholera,81.0,75.78,605.9,20.2
Cholesterol,670.95,627.36,627.36,627.36
Choline salicylate,5.16,4.84,66.45,3.32
Choriogonadotropin alfa,277.74,259.72,845.15,35.23
Chorionic gonadotrophin,1245.75,1164.85,2209.18,120.52
Ciclesonide,48.37,45.25,541.92,18.06
Ciclosporin,98.81,92.46,1596.17,2.24
Ciclosporin (Eye Anti Inflammatory),152.83,142.93,1346.7,11.33
Cilostazol,19.48,18.28,171.97,1.54
Cimetidine,38.4,35.98,455.89,0.52
Cinacalcet hydrochloride,52.83,49.47,706.37,0.88
Cinnarizine,10.3,9.74,136.75,0.15
Ciprofibrate,221.88,207.52,1145.83,12.39
Ciprofloxacin,8.26,7.83,629.43,0.12
Ciprofloxacin/fluocinolone,10.12,9.49,50.68,1.98
Ciprofloxain/dexameth,16.26,15.28,229.39,5.72
Citalopram hydrobromide,58.94,55.5,2576.52,0.08
Citalopram hydrochloride,17.89,16.75,418.4,7.36
Clarithromycin,29.16,27.39,1275.38,0.19
Clemastine fumarate,9.2,8.68,13.73,3.31
Clindamycin hydrochloride,20.3,19.1,857.96,0.23
Clindamycin phosphate,11.57,10.83,182.82,4.06
Clindamycin/tretinoin,19.1,17.87,290.6,11.16
Clobazam,64.09,60.05,2945.43,0.16
Clobetasol propionate,12.35,11.57,713.35,2.39
Clobetasone butyrate,14.8,13.87,597.87,1.39
Clomethiazole,55.52,52.13,545.32,2.16
Clomethiazole edisilate,127.45,119.22,1233.65,29.37
Clomifene citrate,11.23,10.55,53.26,1.69
Clomipramine hydrochloride,25.31,23.72,372.27,0.43
Clonazepam,42.94,40.42,5193.08,0.44
Clonidine hydrochloride,56.42,52.88,13547.05,0.19
Clopidogrel,41.18,39.67,1145.5,0.04
Clotrimazole,13.24,12.41,357.87,1.13
Clozapine,45.92,43.3,207.58,0.22
Co-amilofruse (Amiloride hydrochloride/frusemide),20.32,19.07,408.53,0.23
Co-amilozide (Amiloride hydrochloride/hydrochlorothiazide),41.87,39.18,467.14,1.21
Co-amoxiclav (Amoxicillin/clavulanic acid),8.46,8.01,484.11,0.19
Co-beneldopa (Benserazide/levodopa),10.71,10.17,253.37,0.12
Co-careldopa (Carbidopa/levodopa),15.13,14.3,5453.77,0.15
Co-codamol (Codeine phosphate/paracetamol),24.3,22.94,2718.56,0.06
Co-codaprin (Codeine phosphate/aspirin),7.89,7.49,7.49,7.49
Co-cyprindiol (Cyprote acetate/ethinylestradiol),14.81,13.88,141.2,0.92
Co-danthramer (Dantron/poloxamer 188),301.27,281.72,915.56,1.64
Co-danthrusate (Dantron/docusate sodium),341.64,319.47,646.09,64.72
Co-dydramol (Dihydrocodeine/paracetamol),32.5,30.49,2424.5,0.19
Co-fluampicil(Flucloxacillin/ampicillin),30.18,28.25,71.08,12.8
Co-flumactone (Hydroflumethiazide/spironolactone),18.06,16.97,40.14,2.65
Co-magaldrox (Magnesium/aluminium hydroxide),6.3,5.91,101.09,1.12
Co-phenotrope (Diphenox hydrochloride/atropine sulfate),430.87,403.53,2050.74,51.28
Co-proxamol (Dextropropoxyphene hydrochloride/paracetamol),374.04,349.84,2454.04,49.19
Co-simalcite (Simeticone/hydrotalcite),5.4,5.07,5.62,1.23
Co-tenidone (Atenolol/chlortalidone),3.63,3.43,58.15,0.31
Co-trimoxazole(Trimethoprim/sulfamethoxazole),6.86,6.51,245.98,0.07
Coal tar,13.46,12.61,299.05,3.24
Cocois,19.24,18.0,262.36,5.82
Cod liver oil,4.86,4.75,55.02,0.25
Codeine phosphate,12.47,11.77,1059.41,0.03
Colchicine,2.61,2.64,693.01,0.07
Colecalciferol,23.16,22.02,4674.76,0.05
Colesevelam hydrochloride,135.13,126.46,1294.09,3.7
Colestipol hydrochloride,32.77,30.67,210.37,0.47
Colestyramine,54.95,51.45,493.43,1.1
Colistimethate sodium,235.07,219.84,4908.16,1.8
Colostomy Bags,268.49,251.06,13609.2,2.86
Combined ethinylestradiol 20mcg,22.52,21.09,510.97,0.29
Combined ethinylestradiol 30mcg,16.67,15.65,1952.68,0.06
Combined ethinylestradiol 35mcg,9.09,8.53,95.79,0.6
Combined mestranol,2.4,2.27,4.11,0.79
Compound alginates and proprietary indigestion preparations,10.75,10.11,186.27,1.42
Compound antispasmodic preparations,3.03,2.85,2.85,2.85
Contraceptive Devices,20.4,19.08,246.62,7.97
Cortisone acetate,763.44,713.87,986.51,441.22
Crotamiton,6.54,6.13,46.76,2.34
Cyanocobalamin,54.83,51.71,5631.84,0.15
Cyclizine hydrochloride,6.99,6.81,2985.49,0.04
Cyclizine lactate,30.02,28.13,516.31,1.15
Cycloidal Vibration Accessories,426.67,398.99,523.73,280.52
Cyclopentolate hydrochloride,15.08,14.11,185.67,5.57
Cyclophosphamide,87.57,81.97,259.97,18.31
Cyproheptadine hydrochloride,14.83,13.93,84.01,1.42
Cyproterone acetate,52.3,49.0,296.49,3.51
Dabigatran etexilate,125.44,117.45,2241.4,0.91
Dalteparin sodium,149.25,139.64,2395.93,1.74
Danazol,148.94,139.71,2109.56,11.37
Dantrolene sodium,30.31,28.48,1112.72,0.27
Dapagliflozin,413.16,386.63,16151.47,1.22
Dapagliflozin/metformin,117.44,109.89,2738.03,8.67
Dapoxetine hydrochloride,45.76,42.81,642.42,12.39
Dapsone,18.87,17.69,171.35,0.65
Daptomycin,619.99,579.73,579.73,579.73
Darbepoetin alfa,248.2,233.27,2196.39,27.45
Darifenacin hydrobromide,64.59,60.48,667.27,0.96
Dasatinib,41.75,39.15,39.15,39.15
Deferasirox,745.31,696.98,1885.05,117.83
Deferiprone,348.4,325.89,408.65,243.12
Deflazacort,30.15,28.28,147.94,2.09
Degarelix,271.02,253.59,1572.88,120.97
Demeclocycline hydrochloride,879.35,822.27,3566.78,16.04
Denosumab,521.0,491.1,11464.49,171.11
Deodorants,15.49,14.48,316.94,2.33
Depigmenting agents,129.85,121.43,452.7,31.76
Dequalinium chloride,9.04,8.47,26.04,6.5
Desferrioxamine mesilate,699.45,654.02,654.02,654.02
Desloratadine,13.64,12.82,232.92,0.42
Desmopressin acetate,77.8,72.78,4291.93,2.0
Desogestrel,23.24,21.88,675.99,0.05
Detection Sensor Interstitial Fluid/Gluc,596.05,557.42,12896.61,28.0
Dev For Fungal Nail Infections,23.71,22.18,70.96,9.36
Dexamethasone,18.33,17.21,571.01,0.09
Dexamethasone phosphate,41.09,38.46,269.33,2.36
Dexamethasone sodium metasulphobenzoate,17.0,15.92,316.13,7.01
Dexamethasone sodium phosphate,27.0,25.28,56.14,9.46
Dexamfetamine sulfate,111.48,104.33,1632.91,1.54
Dexketoprofen,13.85,13.02,87.18,2.17
Dexpanthenol,8.08,7.57,123.95,2.51
Dextromethorphan hydrobrom compound prepartions,4.3,4.04,6.46,3.23
Dextromethorphan hydrobromide,21.98,20.58,658.28,1.8
Diamorphine hydrochloride (Systemic),37.38,34.98,1734.26,2.39
Diazepam,8.29,8.0,3421.36,0.03
Diazoxide,232.64,217.63,3695.34,9.61
Dibrompropamidine isetionate,6.73,6.31,65.37,2.0
Dichlorobenzyl alcohol/amylmetacresol,5.53,5.23,8.34,2.12
Diclofenac diethyl,40.06,37.52,1924.12,3.24
Diclofenac potassium,16.32,15.31,66.82,0.85
Diclofenac sod,12.95,12.12,12.12,12.12
Diclofenac sodium,25.25,23.65,788.12,0.13
Dicycloverine hydrochloride,300.66,281.22,3256.39,14.02
Dicycloverine hydrochloride compound preparations,8.86,8.32,67.36,2.36
Dienogest,41.74,39.05,116.04,4.95
Diethylamine salicylate,6.48,6.09,327.46,1.39
Diethylstilbestrol,203.48,190.3,740.46,61.82
Diflucortolone valerate,6.51,6.1,29.78,3.73
Digoxin,7.39,7.15,192.56,0.04
Dihydrocodeine tartrate,13.85,13.06,1721.88,0.05
Diltiazem hydrochloride,17.85,16.78,797.48,0.23
Dimenhydrinate/cinnarizine,25.17,23.63,67.36,3.25
Dimethyl fumar,283.85,265.55,594.8,23.04
Dimeticone (Barrier),11.48,10.79,529.6,0.12
Dimeticone (Parasiticidal),9.23,8.65,39.84,3.08
Diphenhydramine hydrochloride,8.82,8.36,121.57,0.27
Diphtheria,43.46,40.64,3004.84,7.29
Dipipanone hydrochloride,975.53,912.28,3461.12,131.96
Dipyridamole,40.19,37.62,913.22,2.72
Dipyridamole and aspirin,11.67,10.92,12.64,9.21
Discharge Solidifying Agents,69.43,64.94,1061.01,0.65
Disopyramide,45.31,42.46,463.02,3.42
Disopyramide phosphate,40.49,38.1,120.01,1.11
Distigmine bromide,1079.5,1009.4,1009.4,1009.4
Disulfiram,155.66,145.74,2677.72,3.4
Dithranol,6.02,5.64,42.31,3.53
Docusate sodium,27.21,25.78,1618.24,0.13
Dolutegravir,116.38,108.93,108.93,108.93
Domperidone,14.26,13.42,1101.5,0.04
Donepezil hydrochloride,14.59,13.98,1270.21,0.15
Dornase alfa,713.02,668.12,2599.53,433.34
Dorzolamide,30.94,28.96,497.65,3.93
Dorzolamide and timolol,31.3,29.29,1229.99,1.51
Dosulepin hydrochloride,16.76,15.73,912.71,0.15
Doxazosin mesilate,12.55,11.9,338.18,0.03
Doxepin,294.07,275.01,1727.99,22.79
Doxepin hydrochloride,19.21,17.98,76.65,12.77
Doxycycline hyclate,9.22,8.91,646.01,0.11
Doxycycline monohydrate,20.91,19.6,134.51,0.68
Doxylamine succinate/pyridoxine hydrochloride,74.33,69.54,479.71,5.44
Drainable Dribbling Appliances,13.6,12.73,12.73,12.73
Dronabinol/cannabidiol,360.75,337.91,1683.09,93.5
Dronedarone hydrochloride,101.58,95.08,694.27,7.48
Dry Mouth Products,10.93,10.24,594.85,0.12
Dulaglutide,321.81,300.96,9247.61,17.12
Duloxetine hydrochloride,36.98,34.79,1475.96,0.1
Dutasteride,6.47,6.2,653.82,0.31
Econazole nitrate,5.89,5.52,35.36,3.48
Edoxaban,460.15,430.51,15031.9,1.64
Eflornithine monohydrate chloride,76.76,71.79,478.69,53.18
Elastic Hosiery,32.59,30.49,877.85,0.73
Eletriptan,57.85,54.12,378.74,10.63
Eltrombopag,3272.5,3060.09,6480.48,1439.97
Emollient bath and shower preparations,13.57,12.72,704.53,0.12
Emollients,23.26,21.8,2826.5,0.01
Empagliflozin,353.36,330.65,8281.05,1.34
Empagliflozin/linagliptin,111.53,104.33,1985.73,22.72
Empagliflozin/metformin,126.55,118.41,4654.66,2.55
Emtricitabine and tenofovir alafenamide,355.73,332.63,332.63,332.63
Emtricitabine and tenofovir disoproxil,271.41,253.86,332.63,11.2
Emulsifying wax,9.43,8.84,377.9,0.12
Enalapril maleate,14.87,13.98,702.46,0.1
Enalapril maleate with diuretic,35.55,33.26,448.75,4.79
Enoxaparin,150.65,140.92,1216.89,1.95
Entacapone,16.59,15.63,883.62,0.31
Entecavir,509.25,476.25,2037.98,11.44
Enteral nutrition,125.05,116.97,7225.98,0.46
Enzalutamide,3076.51,2876.71,5114.05,1278.74
Ephedrine hydrochloride,370.31,346.28,3972.29,1.78
Epinastine hydrochloride,16.4,15.35,64.85,9.26
Eplerenone,22.72,21.43,561.04,0.2
Epoetin alfa,330.97,312.14,1489.41,40.8
Epoetin beta,367.14,343.91,3148.13,19.69
Epoetin zeta,57.7,53.96,53.96,53.96
Eprosartan,27.36,25.63,1178.01,1.82
Erdosteine,13.1,12.32,66.01,2.45
Erenumab (old),386.5,361.4,361.4,361.4
Ergocalciferol,61.09,57.22,970.48,0.14
Ertapenem sodium,269.03,251.56,414.34,29.61
Ertugliflozin,70.32,65.81,1099.85,6.98
Erythromycin,12.2,11.45,253.69,0.27
Erythromycin ethylsuccinate,25.79,24.13,538.11,2.87
Erythromycin stearate,18.12,17.06,544.66,0.79
Escitalopram,6.21,5.92,241.49,0.04
Eslicarbazepine acetate,173.24,162.1,954.08,3.29
Esomeprazole,26.49,24.86,833.04,0.12
Estradiol,31.52,29.52,1830.61,0.17
Estradiol and estriol with progestogen,13.57,12.73,41.59,3.46
Estradiol and nomegestrol,28.49,26.68,148.16,4.75
Estradiol valandestradiol valerate with dienogest,34.47,32.31,188.48,6.05
Estradiol valerate,9.25,8.71,55.26,0.36
Estradiol with progestogen,58.66,54.9,2609.66,0.3
Estriol,39.76,37.22,1099.83,2.2
Etanercept,764.94,715.28,2005.67,33.55
Ethambutol hydrochloride,46.64,43.69,1410.06,2.04
Ethinylestradiol,1060.37,994.37,3796.26,22.71
Ethosuximide,571.48,534.4,5823.45,4.16
Etilefrine hydrochloride,1543.13,1442.94,2513.39,372.49
Etodolac,34.57,32.43,709.4,1.56
Etonogestrel,269.85,252.38,2574.74,78.01
Etonogestrel/ethinylestradiol,51.71,48.37,1055.75,9.37
Etoposide,199.64,186.68,186.68,186.68
Etoricoxib,17.84,16.73,566.48,0.24
Everolimus,9.9,9.48,14.1,4.86
Evolocumab,578.34,540.8,1590.5,159.16
Exemestane,35.9,33.67,332.15,0.58
Exenatide,137.39,128.48,1234.92,17.26
Eye Products,21.66,20.29,1823.48,0.19
Ezetimibe,18.43,17.57,852.23,0.05
Faecal Collectors,58.94,55.21,204.21,17.02
Famciclovir,750.39,701.74,5630.34,49.96
Famotidine,134.54,125.96,2732.65,0.78
Febuxostat,13.44,12.63,273.4,0.2
Felbamate,512.81,479.5,534.24,424.77
Felbinac,7.85,7.35,15.04,2.13
Felodipine,42.75,40.13,1519.58,0.16
Fenofibrate,11.84,11.15,264.58,0.23
Fenofibrate/simvastatin,14.39,13.57,13.57,13.57
Fentanyl,68.16,63.77,9445.65,1.17
Fentanyl citrate,17.27,16.19,53.65,4.13
Ferric maltol,69.15,64.71,356.16,0.91
Ferrous fumarate,16.89,16.26,793.29,0.05
Ferrous gluconate,4.22,4.04,314.27,0.14
Ferrous sulfate,15.94,15.16,2236.63,0.04
Fesoterodine fumarate,56.69,53.08,747.65,6.03
Fexofenadine hydrochloride,18.22,17.27,1998.11,0.06
Fidaxomicin,1400.4,1309.44,2524.63,1009.95
Filgrastim,410.02,383.45,1182.66,149.53
Filters/Bridges,57.67,53.92,323.52,1.65
Finasteride,28.47,27.15,536.72,0.1
Fingolimod,787.5,736.46,1374.52,98.4
Flanges,129.25,120.86,491.21,15.37
Flavoxate hydrochloride,13.66,12.89,200.95,0.36
Flecainide acetate,7.98,7.57,474.49,0.12
Flubiprofen,5.27,4.94,12.84,3.2
Flucloxacillin sodium,19.28,18.19,1615.07,0.16
Fluconazole,6.59,6.18,993.7,0.13
Fludrocortisone acetate,22.49,21.22,1058.47,0.28
Fludroxycortide,50.82,47.53,2467.01,5.6
Flumetasone pivalate,13.97,13.07,42.46,10.6
Flunarizine dihydrochloride,254.22,237.97,680.38,23.93
