Prescribers,Regiao_principal,Qtd_Regioes
BRIDGE STREET SURGERY,NORTH EAST AND YORKSHIRE,2
BROMPTON MEDICAL CENTRE,SOUTH EAST,2
CAMHS,SOUTH WEST,2
CENTRAL PARK SURGERY,NORTH WEST,2
CHAPEL STREET SURGERY,SOUTH EAST,2
CHURCH ROAD SURGERY,MIDLANDS,2
CHURCH STREET PRACTICE,SOUTH WEST,2
CITY HEALTH CENTRE,NORTH WEST,2
CITY ROAD MEDICAL CENTRE,MIDLANDS,2
CLARENDON MEDICAL CENTRE,NORTH WEST,2
COMMUNITY HEART FAILURE TEAM,MIDLANDS,2
COMMUNITY PAEDIATRIC SERVICE,NORTH WEST,2
COMMUNITY PAEDIATRICIANS,NORTH WEST,2
COMMUNITY RESPIRATORY SERVICE,SOUTH EAST,2
COMMUNITY SERVICES,NORTH EAST AND YORKSHIRE,2
CONWAY MEDICAL CENTRE,NORTH EAST AND YORKSHIRE,2
CORNERWAYS MEDICAL CENTRE,SOUTH EAST,2
CORNERWAYS SURGERY,SOUTH EAST,2
CROFT MEDICAL CENTRE,NORTH EAST AND YORKSHIRE,2
CROWN STREET SURGERY,NORTH EAST AND YORKSHIRE,2
DALTON SURGERY,NORTH WEST,2
DAWN CLINIC,SOUTH WEST,2
DERMATOLOGY SERVICE,NORTH WEST,2
EATING DISORDERS,SOUTH WEST,2
ELM TREE SURGERY,SOUTH WEST,2
FAIRFIELD MEDICAL CENTRE,SOUTH EAST,2
FAIRFIELD SURGERY,SOUTH EAST,2
FAMILY SURGERY,NORTH WEST,2
FIRSTCARE PRACTICE,MIDLANDS,2
GLADSTONE HOUSE SURGERY,NORTH EAST AND YORKSHIRE,2
GREEN LANE SURGERY,MIDLANDS,2
GREENFIELD MEDICAL CENTRE,MIDLANDS,2
GREENGATE MEDICAL CENTRE,MIDLANDS,2
GROVE MEDICAL PRACTICE,NORTH WEST,2
GROVE ROAD SURGERY,SOUTH EAST,2
GROVELANDS MEDICAL CENTRE,SOUTH EAST,2
HAMPTON MEDICAL CENTRE,LONDON,2
HANDSWORTH MEDICAL PRACTICE,NORTH EAST AND YORKSHIRE,2
HAZELDENE MEDICAL CENTRE,NORTH WEST,2
HEALTH VISITORS,NORTH EAST AND YORKSHIRE,2
HEART FAILURE COMMUNITY SERVICE,SOUTH WEST,2
HIGH STREET MEDICAL CENTRE,SOUTH WEST,2
HILLVIEW MEDICAL CENTRE,SOUTH EAST,2
HOLLAND PARK SURGERY,MIDLANDS,2
HOLLIES MEDICAL CENTRE,NORTH WEST,2
INTERMEDIATE CARE,NORTH WEST,2
JUBILEE MEDICAL CENTRE,SOUTH EAST,2
KING STREET MEDICAL CENTRE,NORTH WEST,2
KINGS MEDICAL CENTRE,NORTH EAST AND YORKSHIRE,2
LAUREL BANK SURGERY,NORTH WEST,2
LINCOLN HOUSE SURGERY,NORTH WEST,2
LINKS MEDICAL PRACTICE,MIDLANDS,2
LISTER HOUSE SURGERY,MIDLANDS,2
MANCHESTER ROAD SURGERY,NORTH WEST,2
MANOR MEDICAL PRACTICE,NORTH WEST,2
MANSION HOUSE SURGERY,NORTH EAST AND YORKSHIRE,2
MARKET CROSS SURGERY,MIDLANDS,2
MARKET SURGERY,NORTH EAST AND YORKSHIRE,2
MAYFIELD MEDICAL CENTRE,SOUTH WEST,2
MAYFIELD SURGERY,MIDLANDS,2
MELROSE SURGERY,SOUTH EAST,2
MILL ROAD SURGERY,NORTH EAST AND YORKSHIRE,2
MINOR INJURIES UNIT,SOUTH WEST,2
MOAT HOUSE SURGERY,SOUTH EAST,2
NEW COURT SURGERY,SOUTH WEST,2
NEW HALL HOSPITAL,SOUTH EAST,2
NEW ROAD SURGERY,MIDLANDS,2
NEWBRIDGE SURGERY,SOUTH WEST,2
NEWTON MEDICAL CENTRE,NORTH WEST,2
NORTHGATE MEDICAL CENTRE,NORTH WEST,2
NORWOOD MEDICAL CENTRE,NORTH WEST,2
OAKLANDS HEALTH CENTRE,SOUTH EAST,2
OAKLANDS SURGERY,SOUTH WEST,2
OAKWOOD MEDICAL CENTRE,NORTH WEST,2
OAKWOOD SURGERY,NORTH EAST AND YORKSHIRE,2
OLD FIRE STATION SURGERY,SOUTH EAST,2
PALLIATIVE CARE,NORTH WEST,2
PARK GREEN SURGERY,NORTH WEST,2
PARK LANE PRACTICE,SOUTH WEST,2
PARK MEDICAL PRACTICE,SOUTH WEST,2
PARK VIEW MEDICAL CENTRE,NORTH WEST,2
PARKFIELD MEDICAL CENTRE,MIDLANDS,2
PARKGATE SURGERY,NORTH WEST,2
PARKSIDE SURGERY,NORTH WEST,2
PARKVIEW SURGERY,NORTH EAST AND YORKSHIRE,2
PINFOLD MEDICAL PRACTICE,NORTH EAST AND YORKSHIRE,2
PRACTICE PLUS GROUP OOH,SOUTH EAST,2
PRIMROSE SURGERY,NORTH WEST,2
PRIORY SURGERY,SOUTH WEST,2
QUAYSIDE MEDICAL PRACTICE,SOUTH EAST,2
QUEEN'S MEDICAL CENTRE,SOUTH WEST,2
QUEENS PARK HEALTH CENTRE,LONDON,2
QUEENSWAY MEDICAL CENTRE,NORTH WEST,2
RIVERSDALE SURGERY,NORTH EAST AND YORKSHIRE,2
RIVERSIDE MEDICAL CENTRE,NORTH WEST,2
RIVERSIDE MEDICAL PRACTICE,SOUTH EAST,2
SANDY LANE SURGERY,NORTH WEST,2
SOUTHEND TREATMENT AND RECOVERY SERVICE,SOUTH EAST,2
SPA MEDICAL CENTRE,SOUTH WEST,2
SPRINGFIELD MEDICAL CENTRE,MIDLANDS,2
ST GEORGES MEDICAL CENTRE,SOUTH EAST,2
ST LUKE'S HOSPICE,NORTH WEST,2
ST LUKES HOSPICE,SOUTH WEST,2
ST MICHAELS HOSPICE,SOUTH EAST,2
ST PETER'S SURGERY,SOUTH EAST,2
ST THOMAS ROAD SURGERY,NORTH EAST AND YORKSHIRE,2
ST.JAMES SURGERY,SOUTH WEST,2
ST.MARY'S SURGERY,SOUTH EAST,2
TALBOT MEDICAL CENTRE,SOUTH WEST,2
THE AVENUE MEDICAL CENTRE,SOUTH EAST,2
THE BIRCHES MEDICAL CENTRE,NORTH WEST,2
THE CEDARS SURGERY,SOUTH WEST,2
THE CROFT SURGERY,SOUTH EAST,2
THE ELMS MEDICAL CENTRE,SOUTH EAST,2
THE ELMS PRACTICE,SOUTH EAST,2
THE FAMILY PRACTICE,SOUTH WEST,2
THE FOREST PRACTICE,MIDLANDS,2
THE GROVE MEDICAL CENTRE,SOUTH WEST,2
THE GROVE MEDICAL PRACTICE,NORTH EAST AND YORKSHIRE,2
THE JUNCTION SURGERY,NORTH WEST,2
THE LAKES MEDICAL PRACTICE,NORTH WEST,2
THE MANOR PRACTICE,MIDLANDS,2
THE MEADOWS SURGERY,SOUTH WEST,2
THE MEDICAL CENTRE,NORTH EAST AND YORKSHIRE,2
THE OAKS MEDICAL CENTRE,NORTH EAST AND YORKSHIRE,2
THE OLD SCHOOL SURGERY,SOUTH WEST,2
THE PARK MEDICAL CENTRE,NORTH WEST,2
THE PARK MEDICAL PRACTICE,NORTH WEST,2
THE PARK SURGERY,NORTH EAST AND YORKSHIRE,2
THE RIDGEWAY SURGERY,MIDLANDS,2
THE VILLAGE PRACTICE,NORTH WEST,2
THE WELLSPRING SURGERY,SOUTH WEST,2
TRINITY HOSPICE,NORTH WEST,2
UNITY HEALTH,SOUTH EAST,2
UNIVERSITY HEALTH CENTRE,NORTH EAST AND YORKSHIRE,2
UNIVERSITY MEDICAL CENTRE,SOUTH WEST,2
URGENT CARE CENTRE,NORTH EAST AND YORKSHIRE,2
WALTON MEDICAL CENTRE,NORTH WEST,2
WATERSIDE MEDICAL CENTRE,MIDLANDS,2
WELLINGTON ROAD SURGERY,SOUTH WEST,2
WELLS HEALTH CENTRE,SOUTH WEST,2
WEST END SURGERY,SOUTH EAST,2
WEST VIEW SURGERY,SOUTH WEST,2
WESTBOURNE MEDICAL CENTRE,SOUTH WEST,2
WESTBURY MEDICAL CENTRE,MIDLANDS,2
WESTFIELD SURGERY,SOUTH WEST,2
WESTGATE SURGERY,SOUTH EAST,2
WILLOW TREE SURGERY,LONDON,2
WINDMILL SURGERY,MIDLANDS,2
WOODLANDS HEALTH CENTRE,SOUTH EAST,2
WOODSIDE MEDICAL CENTRE,NORTH WEST,2
YORK ROAD SURGERY,NORTH EAST AND YORKSHIRE,2
