Prescriber,Substancia,Quantidade
ASPATRIA MEDICAL GROUP,Atorvastatin,1061
ASPEN MEDICAL PRACTICE,Atorvastatin,2007
ASPIRO HEALTHCARE,Amitriptyline hydrochloride,4
ASPLANDS MEDICAL CENTRE,Atorvastatin,1212
ASPLEY MEDICAL CENTRE,Lansoprazole,622
ASPRI MEDICAL CENTRE,Amlodipine,336
ASPULL SURGERY,Omeprazole,395
ASQUITH SURGERY,Atorvastatin,366
ASR MENTAL HEALTH SERVICE,Mirtazapine,1
ASTLEY GENERAL PRACTICE,Omeprazole,193
ASTON HEALTHCARE LIMITED,Atorvastatin,1946
AT HOME SERVICE,Skin Fillers And Protectives,20
AT MEDICS,Amlodipine,268
AT MEDICS - THE LOXFORD PRACTICE,Atorvastatin,1050
ATHENA MEDICAL CENTRE,Atorvastatin,457
ATHERLEY HOUSE SURGERY,Atorvastatin,373
ATKINSON HEALTH CENTRE,Atorvastatin,485
ATKINSON SCH,Co-codamol (Codeine phosphate/paracetamol),2
ATLANTIC MEDICAL GROUP,Atorvastatin,1482
ATLAS MEDICAL PRACTICE,Atorvastatin,1463
ATRIUM HEALTH CENTRE,Atorvastatin,717
ATTENBOROUGH SURGERY,Atorvastatin,2110
ATTLEBOROUGH SURGERY,Atorvastatin,1814
ATTWOOD GREEN HEALTH UNIT,Apraclonidine,2
AUBREY ROAD MEDICAL CENTRE,Atorvastatin,184
AUCKLAND MEDICAL GROUP,Atorvastatin,2413
AUCKLAND SURGERY,Atorvastatin,331
AUDLEM MEDICAL PRACTICE,Omeprazole,341
AUDLEY HEALTH CENTRE,Atorvastatin,1143
AUDLEY MILLS SURGERY,Atorvastatin,1159
AUGHTON SURGERY,Atorvastatin,463
AURORA MEDCARE,Atorvastatin,1217
AUSTEN ROAD SURGERY,Atorvastatin,231
AVELEY MEDICAL CENTRE,Atorvastatin,1180
AVENHAM SURGERY,Atorvastatin,537
AVENUE HOUSE,Quetiapine,48
AVENUE MEDICAL PRACTICE,Atorvastatin,179
AVENUE SURGERY,Atorvastatin,1396
AVHAC WALK IN PATIENTS WIC,Famotidine,1
AVISFORD MEDICAL GROUP,Omeprazole,946
AVOCET WARD,Buprenorphine,1
AVON CMHS,Aripiprazole,5
AVON VALLEY PRACTICE,Atorvastatin,884
AVONSIDE HEALTH CENTRE,Omeprazole,531
AW SURGERIES,Lansoprazole,1289
AWBURN HOUSE MEDICAL PRACTICE,Atorvastatin,537
AXBRIDGE SURGERY,Atorvastatin,872
AXMINSTER MEDICAL PRACTICE,Atorvastatin,1623
AYLESBURY SURGERY,Atorvastatin,270
AYLESFORD MEDICAL CENTRE,Atorvastatin,656
AYLESHAM MEDICAL PRACTICE,Atorvastatin,556
AYLESTONE HEALTH CENTRE,Atorvastatin,368
AYLMER LODGE COOKLEY PARTNERSHIP,Atorvastatin,1022
AYTON AND SNAINTON MEDICAL PRACTICE,Atorvastatin,1278
B & A CCG EXTENDED HOURS SERVICE,Amoxicillin,115
B&H EXTENDED HOURS SERVICE,Flucloxacillin sodium,71
B&H INTERMEDIATE CARE SERVICE,Paracetamol,31
B&I PCN HUB,Amoxicillin,7
B'WATER CH CN WARRINGTON,Wound Management & Other Dressings,1111
BABYLON GP AT HAND BIRMINGHAM,Sertraline hydrochloride,54
BACON LANE SURGERY,Atorvastatin,812
BACON ROAD MEDICAL CENTRE,Lansoprazole,355
BADDELEY GREEN SURGERY,Atorvastatin,496
BADDOW VILLAGE SURGERY,Atorvastatin,1762
BADGER AVS,Enteral nutrition,6
BADGER GROUP OOH,Amoxicillin,589
BADGER OUT OF HOURS SERVICE,Amoxicillin,81
BADGERSWOOD SURGERY,Atorvastatin,1366
BAGARY'S MEDICAL PRACTICE,Atorvastatin,692
BAILDON MEDICAL PRACTICE,Atorvastatin,715
BAKERSFIELD MEDICAL CENTRE,Omeprazole,270
BALAAM STREET PRACTICE,Atorvastatin,541
BALANCE STREET,Atorvastatin,1615
BALDERTON SURGERY,Atorvastatin,623
BALDWINS LANE SURGERY,Atorvastatin,611
BALFOUR MEDICAL CENTRE,Atorvastatin,421
BALFOUR ROAD SURGERY,Atorvastatin,537
BALHAM HEALTH CENTRE,Atorvastatin,76
BALHAM PARK SURGERY,Colecalciferol,627
BALL TREE SURGERY,Omeprazole,878
BALLARDS WALK SURGERY,Atorvastatin,674
BALLATER SURGERY,Atorvastatin,336
BALMORAL GARDENS,Atorvastatin,435
BALMORAL SURGERY,Atorvastatin,714
BALMORE PARK SURGERY,Atorvastatin,1105
BALSALL COMMON & MERIDEN GROUP PRACTICE,Atorvastatin,1331
BALSALL HEATH HEALTH CENTRE (S),Lansoprazole,146
BAMPTON SURGERY,Atorvastatin,877
BANBURY CROSS HEALTH CENTRE,Atorvastatin,2186
BANBURY ROAD MEDICAL CENTRE,Atorvastatin,234
BANCROFT MEDICAL CENTRE,Atorvastatin,1290
BANES BLADDER AND BOWEL TEAM,Catheters,148
BANES COMMUNITY NURSING,Lymphoedema Garments,134
BANES COMMUNITY PAEDIATRICS,Melatonin,218
BANES COPD IMPACT SERVICE,Carbocisteine,1
BANES ENHANCED MEDICAL SERVICE (BEMS+),Isotretinoin,46
BANK HOUSE SURGERY,Atorvastatin,224
BANKFIELD SURGERY,Atorvastatin,1320
BANKHOUSE SURGERY,Atorvastatin,812
BANNOCKBURN SURGERY,Atorvastatin,306
BARBOURNE HEALTH CENTRE,Atorvastatin,734
BARCROFT MEDICAL CENTRE,Atorvastatin,927
BARDOC GP OOH,Amoxicillin,101
BARKANTINE WALK-IN CTR,Naproxen,2
BARKING & DAGENHAM CCG,Lymphoedema Garments,8
BARKING DRUG & ALCOHOL RECOVERY,Methadone hydrochloride,384
BARKING HOSPITAL URGENT TREATMENT CENTRE,Amoxicillin,86
BARKING MEDICAL GROUP PRACTICE,Atorvastatin,821
BARLBOROUGH MEDICAL PRACTICE,Atorvastatin,606
BARLBY SURGERY,Atorvastatin,648
BARLOW MEDICAL CENTRE,Atorvastatin,817
BARN SURGERY,Atorvastatin,328
BARNARD CASTLE SURGERY,Atorvastatin,1256
BARNARD MEDICAL GROUP,Atorvastatin,1096
BARNBURGH SURGERY,Atorvastatin,339
BARNBY GATE SURGERY,Atorvastatin,1199
BARNET CCG-CLCH (NMP),Wound Management & Other Dressings,1766
BARNET COPD SERVICE,Bisoprolol fumarate,6
BARNET FEDERATED GPS LIMITED,Amoxicillin,86
BARNETBY MEDICAL CENTRE,Atorvastatin,276
BARNFIELD HILL SURGERY,Atorvastatin,671
BARNOLDSWICK MED CTR,Lansoprazole,764
BARNSBURY MEDICAL PRACTICE,Atorvastatin,168
BARNSLEY DRUG & ALCOHOL SERVICE,Methadone hydrochloride,1120
BARNSLEY HOSPICE,Dexamethasone,1
BARNSLEY ROAD SURGERY,Atorvastatin,168
BARNSLEY SEXUAL HEALTH SERVICE,Amoxicillin,1
BARNT GREEN SURGERY,Atorvastatin,206
BARRACK LANE MEDICAL CENTRE,Atorvastatin,1202
BARRINGTON MEDICAL CENTRE,Atorvastatin,569
BARROW HEALTH CENTRE,Atorvastatin,500
BARROWFORD SURGERY,Ramipril,181
BARTHOLOMEW MEDICAL GROUP,Atorvastatin,2075
BARTLEMAS SURGERY,Atorvastatin,719
BARTLETT GROUP PRACTICE,Atorvastatin,2115
BARTLEY GREEN MEDICAL PRACTICE,Atorvastatin,519
BARTON,Atorvastatin,722
BARTON HILLS MEDICAL GROUP,Atorvastatin,499
BARTON HOUSE GROUP PRACTICE,Atorvastatin,533
BARTON HOUSE MED PRACTICE,Atorvastatin,689
BARTON SURGERY,Atorvastatin,1125
BARWELL & HOLLYCROFT MEDICAL CENTRES,Atorvastatin,1371
BASFORD HOUSE PRIMARY CARE ACCESS HUB,Amoxicillin,225
BASLOW HEALTH CENTRE,Atorvastatin,578
"BASLOW RD, SHOREHAM ST & YORK RD SRGIES",Atorvastatin,1370
BASSET LAW DERMATOLOGY SERVICE,Betamethasone valerate,16
BASSETLAW DRUG & ALCOHOL SERVICE,Bisoprolol fumarate,1
BASSETLAW HEALTH PARTNERSHIP,Wound Management & Other Dressings,47
BASSETLAW PRIMARY CARE CENTRE OOH,Flucloxacillin sodium,119
BATH ROAD SURGERY,Atorvastatin,1155
BATH ROW MEDICAL PRACTICE,Atorvastatin,345
BATH STREET MEDICAL CENTRE,Atorvastatin,159
BATHEASTON MEDICAL CENTRE,Atorvastatin,438
BATLEY HEALTH CENTRE SURGERY,Atorvastatin,463
BATTERSEA FIELDS PRACTICE,Atorvastatin,638
BATTERSEA RISE GROUP PRACTICE,Atorvastatin,274
BAWTRY AND BLYTH MEDICAL,Atorvastatin,668
BAY MEDICAL GROUP,Omeprazole,4951
BAY MEDICAL GROUP EXTENDED OOH,Omeprazole,2
BB HEALTHCARE SOLUTIONS,Warfarin sodium,434
BCHC MEDICINES MANAGEMENT,Wound Management & Other Dressings,5770
BCPFT CYP&F GROUP,Nystatin,4
BDCT 0-19 CHILDRENS PH SERVICE,Emollients,1
BEACHES MEDICAL CENTRE,Atorvastatin,1544
BEACON HEALTH GROUP-DANBURY MEDICAL CTR,Atorvastatin,2771
BEACON HOUSE MINISTRIES,Co-codamol (Codeine phosphate/paracetamol),3
BEACON MEDICAL,Atorvastatin,1702
BEACON MEDICAL CENTRE,Atorvastatin,396
BEACON MEDICAL GROUP,Omeprazole,2691
BEACON MEDICAL PRACTICE,Atorvastatin,3613
