Prescriber,Substancia,Maior_valor
HERTFORDSHIRE COMMUNITY NHS TRUST,Detection Sensor Interstitial Fluid/Gluc,1701.93
HOMERTON UNIVERSITY HOSPITAL NHS FOUNDAT,Venous Ulcer Compression System,248.82
HUMANKIND,Buprenorphine hydrochloride,3245.84
HUMBER TEACHING NHS FOUNDATION TRUST,Wound Management & Other Dressings,373.28
INHEALTH LIMITED,Fluticasone propionate/azelastine hydrochloride (Nasal),304.58
INTEGRATED CARE 24 LTD,Midazolam hydrochloride,214.0
ISIGHT,Bimatoprost,131.44
ISLE OF WIGHT NHS TRUST,Sacubitril/valsartan,770.62
KENT COMMUNITY HEALTH NHS FOUNDATION TRU,Clarithromycin,267.42
KING'S COLLEGE HOSPITAL NHS FOUNDATION T,Nitrofurantoin,311.33
KIRKLEES COUNCIL,Buprenorphine hydrochloride,4583.37
LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATIO,Metformin hydrochloride,1.34
LANCASTER HOUSE CONSULTING DIAGNOSTICS S,Colostomy Bags,1801.39
LEEDS AND YORK PARTNERSHIP NHS FOUNDATIO,Sertraline hydrochloride,45.73
LEEDS CITY COUNCIL,Methadone hydrochloride,2296.42
LEEDS COMMUNITY HEALTHCARE NHS TRUST,Sacubitril/valsartan,599.37
LEWISHAM AND GREENWICH NHS TRUST,Sacubitril/valsartan,428.12
LINCOLNSHIRE AND DISTRICTS MEDICAL SERVI,Sacubitril/valsartan,85.62
LINCOLNSHIRE COMMUNITY HEALTH SERVICES N,Lymphoedema Garments,517.99
LIVERPOOL UNIVERSITY HOSPITALS NHS FOUND,Apixaban,398.05
LIVES,Levomepromazine hydrochloride,18.83
LIVEWELL SOUTHWEST,Buprenorphine hydrochloride,1568.97
LIVI,Clarithromycin,6.86
LLR PROVIDER COMPANY LTD,Fluorouracil (Sunscreen),461.63
LOCALA COMMUNITY PARTNERSHIPS CIC,Nystatin,518.18
LONDON AMBULANCE SERVICE NHS TRUST,Nitrofurantoin,604.88
LONDON CENTRAL AND WEST UNSCHEDULED CARE,Nitrofurantoin,373.6
LONDON NORTH WEST UNIVERSITY HEALTHCARE ,Etonogestrel/ethinylestradiol,583.2
MANCHESTER UNIVERSITY NHS FOUNDATION TRU,Wound Management & Other Dressings,1727.21
MEDWAY COMMUNITY HEALTHCARE,Nitrofurantoin,1592.25
MERSEY CARE NHS FOUNDATION TRUST,Lisdexamfetamine dimesylate,962.34
MIDDLESBROUGH BOROUGH COUNCIL,Buprenorphine hydrochloride,3340.65
MIDLANDS PARTNERSHIP NHS FOUNDATION TRUS,Sacubitril/valsartan,1712.49
MILLENNIUM HEALTH LTD,Flucloxacillin sodium,325.66
NAVIGO HEALTH AND SOCIAL CARE CIC,Lisdexamfetamine dimesylate,192.47
NEW HAYESBANK SURGERY CLINICS,Ciclosporin (Eye Anti Inflammatory),269.3
NEW MEDICAL SYSTEMS LIMITED,Ciclosporin (Eye Anti Inflammatory),403.95
NEWCASTLE CITY COUNCIL,Buprenorphine hydrochloride,2187.55
"NHS BATH AND NORTH EAST SOMERSET, SWINDO",Influenza,27026.35
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNE",Influenza,14783.73
NHS BIRMINGHAM AND SOLIHULL ICB - 15E,Apixaban,17611.56
NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,Amoxicillin,33.01
NHS BLACK COUNTRY ICB - D2P2L,Beclometasone dipropionate,14509.25
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GL",Apixaban,20747.95
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BER",Apixaban,17512.06
NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB ,Rivaroxaban,15554.29
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTE,Enteral nutrition,339.58
NHS CHESHIRE AND MERSEYSIDE ICB - 01F,Apixaban,9503.47
NHS CHESHIRE AND MERSEYSIDE ICB - 01J,Apixaban,9204.93
NHS CHESHIRE AND MERSEYSIDE ICB - 01T,Apixaban,5921.01
NHS CHESHIRE AND MERSEYSIDE ICB - 01V,Apixaban,9353.03
NHS CHESHIRE AND MERSEYSIDE ICB - 01X,Apixaban,10200.06
NHS CHESHIRE AND MERSEYSIDE ICB - 02E,Apixaban,7861.51
NHS CHESHIRE AND MERSEYSIDE ICB - 12F,Apixaban,11095.67
NHS CHESHIRE AND MERSEYSIDE ICB - 27D,Apixaban,17165.95
NHS CHESHIRE AND MERSEYSIDE ICB - 99A,Influenza,5998.45
NHS CHESHIRE AND MERSEYSIDE INTEGRATED C,Detection Sensor Interstitial Fluid/Gluc,261.84
NHS CORNWALL AND THE ISLES OF SCILLY ICB,Rivaroxaban,14282.51
NHS COVENTRY AND WARWICKSHIRE ICB - B2M3,Apixaban,10647.52
NHS DERBY AND DERBYSHIRE ICB - 15M,Beclometasone dipropionate,9049.09
NHS DERBY AND DERBYSHIRE INTEGRATED CARE,Catheters,256.43
NHS DEVON ICB - 15N,Influenza,19383.88
NHS DEVON INTEGRATED CARE BOARD,Two Piece Ostomy Systems,201.33
NHS DORSET ICB - 11J,Apixaban,23981.62
NHS DORSET INTEGRATED CARE BOARD,Morphine sulfate,11.0
NHS FRIMLEY ICB - D4U1Y,Apixaban,10597.85
NHS GLOUCESTERSHIRE ICB - 11M,Rivaroxaban,10369.06
NHS GREATER MANCHESTER ICB - 00T,Apixaban,10946.4
NHS GREATER MANCHESTER ICB - 00V,Apixaban,21793.3
NHS GREATER MANCHESTER ICB - 00Y,Apixaban,10249.81
NHS GREATER MANCHESTER ICB - 01D,Apixaban,6418.57
NHS GREATER MANCHESTER ICB - 01G,Apixaban,4577.59
NHS GREATER MANCHESTER ICB - 01W,Apixaban,11593.24
NHS GREATER MANCHESTER ICB - 01Y,Rivaroxaban,6033.7
NHS GREATER MANCHESTER ICB - 02A,Apixaban,8010.78
NHS GREATER MANCHESTER ICB - 02H,Apixaban,5473.2
NHS GREATER MANCHESTER ICB - 14L,Mexiletine hydrochloride,7854.54
NHS HAMPSHIRE AND ISLE OF WIGHT ICB - 10,Beclometasone dipropionate,14204.33
NHS HAMPSHIRE AND ISLE OF WIGHT ICB - D9,Apixaban,17810.57
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRAT,Other base/diluent/suspending agent/stabiliser preparations,15.83
NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB,Leuprorelin acetate,18361.93
NHS HEREFORDSHIRE AND WORCESTERSHIRE INT,Enteral nutrition,57.61
NHS HERTFORDSHIRE AND WEST ESSEX ICB - 0,Apixaban,20002.07
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRA,Methadone hydrochloride,2.53
NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,Apixaban,22489.22
NHS HUMBER AND NORTH YORKSHIRE ICB - 03F,Apixaban,21146.46
NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,Semaglutide,11850.87
NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,Apixaban,10298.28
NHS HUMBER AND NORTH YORKSHIRE ICB - 03Q,Apixaban,20051.45
NHS HUMBER AND NORTH YORKSHIRE ICB - 42D,Apixaban,10746.35
NHS HUMBER AND NORTH YORKSHIRE INTEGRATE,Quetiapine,37.21
NHS KENT AND MEDWAY ICB - 91Q,Apixaban,16170.82
NHS KENT AND MEDWAY INTEGRATED CARE BOAR,Detection Sensor Interstitial Fluid/Gluc,785.46
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 0,Beclometasone dipropionate,17910.28
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRA,Dabigatran etexilate,44.62
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAN",Edoxaban,14571.72
NHS LINCOLNSHIRE ICB - 71E,Apixaban,20549.16
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,Methadone hydrochloride,0.88
NHS MID AND SOUTH ESSEX ICB - 06Q,Edoxaban,14618.83
NHS MID AND SOUTH ESSEX ICB - 07G,Apixaban,6169.79
NHS MID AND SOUTH ESSEX ICB - 99E,Apixaban,7811.75
NHS MID AND SOUTH ESSEX ICB - 99F,Apixaban,8159.03
NHS MID AND SOUTH ESSEX ICB - 99G,Trientine dihydrochloride,8626.1
NHS MID AND SOUTH ESSEX INTEGRATED CARE ,Sacubitril/valsartan,171.24
NHS NORFOLK AND WAVENEY ICB - 26A,Edoxaban,15031.9
NHS NORFOLK AND WAVENEY INTEGRATED CARE ,Enteral nutrition,411.02
NHS NORTH CENTRAL LONDON ICB - 93C,Dapagliflozin,16151.47
NHS NORTH EAST AND NORTH CUMBRIA ICB - 0,Apixaban,24679.17
NHS NORTH EAST AND NORTH CUMBRIA ICB - 1,Apixaban,11792.26
NHS NORTH EAST AND NORTH CUMBRIA ICB - 8,Influenza,15250.59
NHS NORTH EAST AND NORTH CUMBRIA ICB - 9,Apixaban,8159.03
NHS NORTH EAST AND NORTH CUMBRIA INTEGRA,Lisdexamfetamine dimesylate,14.8
NHS NORTH EAST LONDON ICB - A3A8R,Clonidine hydrochloride,12970.57
NHS NORTH WEST LONDON ICB - W2U3Z,Other food for special diet preparations,7730.34
NHS NORTH WEST LONDON INTEGRATED CARE BO,Methadone hydrochloride,2.52
NHS NORTHAMPTONSHIRE ICB - 78H,Influenza,23016.28
NHS NORTHAMPTONSHIRE INTEGRATED CARE BOA,Oxycodone hydrochloride,14.97
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB -,Apixaban,18807.91
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEG,Two Piece Ostomy Systems,209.75
NHS PRACTITIONER HEALTH,Naltrexone hydrochloride,150.03
"NHS SHROPSHIRE, TELFORD AND WREKIN ICB -",Influenza,55006.37
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEG",Fluoxetine hydrochloride,3.25
NHS SOMERSET ICB - 11X,Apixaban,12787.39
NHS SOUTH EAST LONDON ICB - 72Q,Influenza,52419.68
NHS SOUTH EAST LONDON INTEGRATED CARE BO,Methadone hydrochloride,2.7
NHS SOUTH WEST LONDON ICB - 36L,Influenza,8943.47
NHS SOUTH WEST LONDON INTEGRATED CARE BO,Valsartan,9.72
NHS SOUTH YORKSHIRE ICB - 02P,Apixaban,14228.33
NHS SOUTH YORKSHIRE ICB - 02X,Apixaban,10647.87
NHS SOUTH YORKSHIRE ICB - 03L,Apixaban,13831.89
NHS SOUTH YORKSHIRE ICB - 03N,Apixaban,9403.96
NHS SOUTH YORKSHIRE INTEGRATED CARE BOAR,Catheters,174.71
NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,Apixaban,15922.04
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INT,Wound Management & Other Dressings,229.1
NHS SUFFOLK AND NORTH EAST ESSEX ICB - 0,Apixaban,21046.95
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRA,Tracheostomy & Laryngectomy Appliances,156.94
NHS SURREY HEARTLANDS  ICB - 92A,Influenza,23793.33
NHS SURREY HEARTLANDS INTEGRATED CARE BO,Tracheostomy & Laryngectomy Appliances,169.99
NHS SUSSEX ICB - 09D,Tranylcypromine sulfate,7287.03
NHS SUSSEX ICB - 70F,Apixaban,13235.2
NHS SUSSEX ICB - 97R,Apixaban,13233.55
NHS SUSSEX INTEGRATED CARE BOARD,Methylphenidate hydrochloride,11.59
NHS WEST YORKSHIRE ICB - 02T,Apixaban,6717.11
NHS WEST YORKSHIRE ICB - 03R,Apixaban,13931.43
NHS WEST YORKSHIRE ICB - 15F,Apixaban,8955.03
NHS WEST YORKSHIRE ICB - 36J,Rivaroxaban,24794.61
NHS WEST YORKSHIRE ICB - X2C4Y,Apixaban,6567.02
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,Ileostomy Bags,389.61
NORFOLK COMMUNITY HEALTH AND CARE NHS TR,Fentanyl,3079.46
NORTH CUMBRIA INTEGRATED CARE NHS FOUNDA,Other Appliances,514.38
NORTH EAST AMBULANCE SERVICE NHS FOUNDAT,Voriconazole,592.52
NORTH EAST LINCOLNSHIRE COUNCIL,Buprenorphine hydrochloride,1568.99
NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS ,Ciclosporin,255.39
NORTH STAFFORDSHIRE COMBINED HEALTHCARE ,Memantine hydrochloride,1453.55
NORTH TEES AND HARTLEPOOL NHS FOUNDATION,Wound Management & Other Dressings,848.56
NORTH YORKSHIRE COUNTY COUNCIL,Disulfiram,461.68
NORTHUMBRIA HEALTHCARE NHS FOUNDATION TR,Sodium cromoglicate,353.24
NOTTINGHAM CITYCARE PARTNERSHIP,Wound Management & Other Dressings,526.44
NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATIO,Colistimethate sodium,572.26
NOVUS HEALTH LTD,Clindamycin hydrochloride,600.88
OMNES HEALTHCARE LTD,Calcipotriol,552.84
ONE MEDICAL GROUP LIMITED,Nitrofurantoin,1592.25
OPEROSE HEALTH (GROUP) UK LIMITED,Latanoprost,455.26
OXFORD HEALTH NHS FOUNDATION TRUST,Nitrofurantoin,658.25
OXLEAS NHS FOUNDATION TRUST,Sacubitril/valsartan,933.12
PDS MEDICAL LTD,Semaglutide,547.96
PENNINE MUSCULOSKELETAL PARTNERSHIP (ICA,Sulfasalazine,959.4
PHOENIX HEALTH SOLUTIONS LIMITED HQ,Prednisolone sodium phosphate,1299.84
PRACTICE BASED CLINICAL SERVICES LIMITED,Mometasone furoate,13.9
PRACTICE PLUS GROUP,Nitrofurantoin,604.88
PRIMARY EYECARE SERVICES LTD,Ciclosporin (Eye Anti Inflammatory),538.59
PSYCHIATRY-UK,Lisdexamfetamine dimesylate,703.09
RAMSAY HEALTHCARE UK OPERATIONS LIMITED,Pentosan polysulfate sodium,1178.26
REDCAR AND CLEVELAND BOROUGH COUNCIL,Nicotine,639.97
ROTHERHAM DONCASTER AND SOUTH HUMBER NHS,Lisdexamfetamine dimesylate,2052.99
ROYAL DEVON UNIVERSITY HEALTHCARE NHSFT,Lymphoedema Garments,562.63
SANDWELL AND WEST BIRMINGHAM HOSPITALS N,Wound Management & Other Dressings,7481.55
SELLINDGE PRACTICE LTD,Fluticasone propionate/azelastine hydrochloride (Nasal),27.7
SENTINEL HEALTHCARE SOUTHWEST COMMUNITY ,Ciclosporin,134.55
SHEFFIELD CHILDREN'S NHS FOUNDATION TRUS,Methylphenidate hydrochloride,1122.54
SHERWOOD FOREST HOSPITALS NHS FOUNDATION,Lisdexamfetamine dimesylate,1997.55
SHROPSHIRE COMMUNITY HEALTH NHS TRUST,Venous Ulcer Compression System,403.56
SIRONA CARE AND HEALTH,Melatonin,5526.64
SOLENT MEDICAL SERVICES LIMITED,Timolol and bimatoprost,79.52
SOLENT NHS TRUST,Sacubitril/valsartan,85.62
SOMERSET NHS FOUNDATION TRUST,Memantine hydrochloride,201.89
SOMERSET SURGICAL SERVICES HQ,Eye Products,2.47
SOUTH CENTRAL AMBULANCE SERVICE NHS FOUN,Nitrofurantoin,836.15
SOUTH DOWNS HEALTH AND CARE LTD,Other food for special diet preparations,544.11
SOUTH EAST COAST AMBULANCE SERVICE NHS F,Nitrofurantoin,782.78
SOUTH TEES HOSPITALS NHS FOUNDATION TRUS,Colostomy Bags,3905.98
SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDA,Flucloxacillin sodium,312.45
SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,Lymphoedema Garments,1553.96
SOUTH WESTERN AMBULANCE SERVICE NHS FOUN,Nitrofurantoin,124.53
SPECTRUM COMMUNITY HEALTH - CIC,Buprenorphine hydrochloride,896.56
ST GEORGE'S UNIVERSITY HOSPITALS NHS FOU,Insulin degludec,174.52
ST JOSEPH'S HOSPICE,Oxycodone hydrochloride,170.97
ST MARGARETS HOSPICE,Midazolam hydrochloride,2.83
ST MICHAEL'S HOSPICE,Oxycodone hydrochloride,59.89
ST WILFRID'S HOSPICE,Oxycodone hydrochloride,262.2
START,Buprenorphine hydrochloride,740.5
STOCKPORT METROPOLITAN BOROUGH COUNCIL,Buprenorphine hydrochloride,1231.03
STOCKTON-ON-TEES BOROUGH COUNCIL,Buprenorphine hydrochloride,2002.13
SUFFOLK COUNTY COUNCIL,Clotrimazole,1.16
SUFFOLK GP FEDERATION,Denosumab,10609.7
SUNDERLAND CITY COUNCIL,Buprenorphine hydrochloride,2170.78
SURREY AND BORDERS PARTNERSHIP NHS FOUND,Melatonin,958.64
SURREY MEDICAL NETWORK,Bisoprolol fumarate,0.19
SUSSEX COMMUNITY DERMATOLOGY SERVICE,Isotretinoin,3339.56
SUSSEX COMMUNITY NHS FOUNDATION TRUST,Lymphoedema Garments,1008.94
SYDENHAM HOUSE MEDICAL PRACTICE,Ciclosporin,383.08
TETBURY HOSPITAL TRUST LTD,Ciprofloxacin,104.9
THE DUDLEY GROUP NHS FOUNDATION TRUST,Wound Management & Other Dressings,2826.07
THE FORWARD TRUST,Buprenorphine hydrochloride,1231.25
THE HERNE BAY OPHTHALMOLOGY CLINIC,Dexamethasone,32.16
THE MID CHESHIRE HOSPITALS NHS TRUST,Ciclosporin,255.39
THE NEWCASTLE UPON TYNE HOSPITALS NHS FO,Tobramycin,1109.9
THE ROTHERHAM NHS FOUNDATION TRUST,Sacubitril/valsartan,856.24
THE ROYAL WOLVERHAMPTON NHS TRUST,Sacubitril/valsartan,1113.12
THE SOCIETY OF ST JAMES,Buprenorphine hydrochloride,448.28
THE SUSSEX BEACON,Fentanyl,62.96
TORBAY AND SOUTH DEVON NHS FOUNDATION TR,Disulfiram,1846.7
TOWER HAMLETS TOBACCO CESSATION SERVICE,Bupropion hydrochloride,39.27
TURNING POINT,Buprenorphine hydrochloride,5603.52
UNIDENTIFIED,Abatacept,3393.08
UNIVERSITY HOSPITALS COVENTRY AND WARWIC,Permethrin,15.89
UNIVERSITY HOSPITALS DORSET NHS FT,Magnesium aspartate,14.25
UNIVERSITY HOSPITALS OF MORECAMBE BAY NH,Wound Management & Other Dressings,1638.45
UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,Rivaroxaban,354.01
UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATI,Ciclosporin,766.17
VOCARE,Diphtheria,379.9
WARRINGTON AND HALTON TEACHING HOSPITALS,Salbutamol,81.27
WARRINGTON BOROUGH COUNCIL,Buprenorphine hydrochloride,2052.88
WE ARE WITH YOU,Buprenorphine hydrochloride,3708.19
WEST LONDON NHS TRUST,Stiripentol,2230.74
WEST SUFFOLK NHS FOUNDATION TRUST,Clonidine hydrochloride,1731.33
WESTMINISTER DRUG PROJECT,Buprenorphine hydrochloride,1793.13
WESTON HOSPICECARE,Paracetamol,84.17
WHITSTABLE MEDICAL PRACTICE,Aprepitant,620.78
WIGAN METROPOLITAN BOROUGH COUNCIL,Naltrexone hydrochloride,677.1
WILTSHIRE HEALTH & CARE,Semaglutide,73.39
WIRRAL COMMUNITY HEALTH AND CARE NHS FOU,Sacubitril/valsartan,1798.11
"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDA",Pentosan polysulfate sodium,1570.97
WYE VALLEY NHS TRUST,Wound Management & Other Dressings,752.43
YORK AND SCARBOROUGH TEACHING HOSPITALS ,Lymphoedema Garments,1075.82
