Substancia,Valor_Medio_bruto,Valor_Medio_liquido,Maior_valor,Menor_valor
Aminophylline hydrate,3.76,3.63,11.88,0.67
Aminosalicylic acid,441.33,412.89,516.2,309.65
Amiodarone hydrochloride,5.18,4.94,559.44,0.11
Amisulpride,14.02,13.32,1174.96,0.17
Amitriptyline hydrochloride,16.8,16.01,2860.1,0.03
Amlodipine,44.38,42.55,1423.48,0.03
Amobarbital sodium,176.77,165.53,778.14,40.86
Amorolfine hydrochloride,13.96,13.08,116.37,4.84
Amoxicillin,14.6,13.78,538.22,0.12
Amoxicillin sodium,24.48,22.96,26.95,18.97
Amphotericin,499.59,467.38,1127.59,122.83
Ampicillin,92.74,86.8,238.12,19.34
Amylmetacresol,9.46,8.88,130.01,1.24
Anagrelide hydrochloride,534.03,499.71,2119.57,75.8
Anal Irrigation System,209.46,195.95,3886.15,2.66
Anal Plugs,101.3,94.77,691.83,2.16
Analgesics with anti-emetics,9.92,9.32,123.72,0.73
Anastrozole,11.04,10.43,1924.13,0.15
Antazoline,4.8,4.51,25.12,3.13
Apixaban,774.19,724.98,26433.64,0.89
Apomorphine hydrochloride,666.85,627.48,2462.23,13.79
Apomorphine hydrochloride hemihydrate,711.83,666.15,5523.48,115.08
Apraclonidine,55.17,51.64,873.98,6.07
Apremilast,1031.25,968.63,3087.17,248.11
Aprepitant,257.16,240.6,739.29,29.58
Arachis oil,199.73,186.86,1461.07,3.01
Aripiprazole,18.34,17.33,1649.74,0.04
Arm Sling/Bandages,46.12,43.16,3082.04,0.09
Arnica montana,10.17,9.52,38.31,3.87
Artemether with lumefantrine,22.5,21.06,21.06,21.06
Artificial saliva,5.64,5.3,22.78,2.84
Ascorbic acid,68.29,64.03,1449.92,0.41
Asenapine,110.78,103.75,383.95,32.22
Aspirin,25.38,24.51,1170.44,0.01
Aspirin and caffeine,9.4,8.81,8.81,8.81
Aspirin combined preparations,7.14,6.72,15.35,2.98
Atenolol,8.14,7.83,225.43,0.02
Atenolol with calcium channel blocker,22.6,21.2,42.95,3.7
Atomoxetine hydrochloride,34.84,32.64,639.03,0.62
Atorvastatin,52.03,49.85,4540.98,0.03
Atovaquone,742.35,694.49,1820.02,455.0
Atropine sulfate,164.9,154.3,2724.18,1.09
Avanafil,32.05,30.0,356.39,6.7
Azathioprine,5.46,5.22,1072.11,0.14
Azelaic acid,10.35,9.7,119.17,4.2
Azelastine hydrochloride,18.45,17.28,432.21,5.99
Azilsartan medoxomil,31.83,29.79,141.48,15.72
Azithromycin,12.44,11.71,611.19,0.37
Aztreonam,2181.53,2040.84,2040.84,2040.84
Baclofen,7.28,6.97,591.91,0.05
Bacterial Decolonisation Products,5.73,5.37,22.15,3.58
Bag Closures,14.31,13.51,85.85,0.24
Bag Covers,31.45,29.42,315.73,7.31
Balsalazide sodium,58.13,54.48,284.64,0.99
Bambuterol hydrochloride,56.84,53.31,271.15,13.64
Baricitinib,1074.08,1004.81,2260.81,753.61
Beclometasone dipropionate,185.22,173.37,17864.22,1.86
Beclometasone dipropionate (Systemic),65.24,61.08,211.66,7.17
Beclometdiprop/formoterol/glycopyrronium,628.73,588.33,17989.26,41.63
Belladonna alkaloids,25.2,23.6,166.18,2.36
Belts,55.18,51.7,687.55,3.49
Bempedoic acid,95.32,89.2,2022.77,7.41
Bempedoic acid/Ezetimibe,102.22,95.66,4979.07,13.08
Bendroflumethiazide,18.88,18.1,543.71,0.03
Benperidol,128.68,120.54,1406.17,10.15
Benzalkonium chloride,9.69,9.09,202.13,1.76
Benzatropine mesilate,256.61,242.94,588.45,45.13
Benzbromarone,131.65,123.94,266.29,33.4
Benzocaine,5.58,5.23,55.77,2.55
Benzoin,1.58,1.59,1.59,1.59
Benzoyl peroxide,13.0,12.19,130.42,1.49
Benzoyl peroxide and clindamycin phosphate,39.48,36.96,688.72,12.29
Benzydamine hydrochloride,14.46,13.56,371.38,2.46
Benzylpenicillin sodium (Penicillin G),6.54,6.14,24.7,2.82
Betacarotene,135.6,126.87,455.69,15.72
Betahistine hydrochloride,6.13,5.89,204.29,0.08
Betaine anhydrous,616.89,589.0,1298.5,324.63
Betamethasone,4.92,4.72,4.72,4.72
Betamethasone esters,13.72,12.86,633.87,2.02
Betamethasone sodium phosphate,17.82,16.71,366.25,0.95
Betamethasone valerate,14.74,13.83,744.48,1.07
Betaxolol,6.43,6.03,115.97,1.78
Bethanechol chloride,28.55,26.86,128.87,14.29
Bezafibrate,17.7,16.73,271.42,0.35
Bicalutamide,6.58,6.22,449.06,0.22
Bictegravir/emtricitabine/tenofovir alafenamide,1465.85,1371.31,2468.35,822.79
Bifonazole,8.97,8.41,19.39,3.24
Bilastine,10.59,9.94,62.98,1.21
Bimatoprost,35.96,33.68,657.29,2.97
Biphasic insulin aspart,138.34,129.46,2293.39,5.5
Biphasic insulin lispro,96.05,89.89,1217.32,5.62
Biphasic isophane insulin,105.97,99.19,2274.29,3.69
Bisacodyl,8.17,7.87,1580.29,0.16
Bisoprolol fumarate,15.91,15.42,745.87,0.03
Boric acid,47.91,44.83,44.83,44.83
Bosentan,917.83,858.69,1412.81,304.57
Botulinum toxin type A,553.94,518.23,1551.47,67.36
Bowel cleansing solutions,30.61,28.67,582.99,5.51
Brimonidine tart (Rosacea),42.41,39.68,189.14,31.52
Brimonidine tartrate,16.74,15.69,205.67,1.42
Brinzolamide,17.45,16.37,280.99,2.19
Brinzolamide and timolol,17.07,15.99,186.29,3.29
Brinzolamide/brimonidine,23.92,22.4,233.47,8.63
Brivaracetam,193.97,181.54,1555.5,2.28
Bromfenac,12.29,11.51,87.48,7.95
Bromocriptine,183.3,171.54,2619.26,9.47
Budesonide,124.47,116.48,10427.65,1.52
Bumetanide,9.18,8.78,5556.88,0.07
Bupivacaine hydrochloride,15.92,14.91,271.37,0.82
Buprenorph hydrochloride/naloxone hydrochloride,69.19,65.18,356.68,1.81
Buprenorphine,61.46,57.57,1901.39,0.21
Buprenorphine hydrochloride,136.99,129.6,14164.73,0.29
Bupropion hydrochloride,52.52,49.21,1211.44,1.41
Buserelin,105.16,98.39,98.39,98.39
Buspirone hydrochloride,28.19,26.54,2223.24,0.28
Busulfan,46.74,43.84,43.84,43.84
Butobarbital,266.0,248.87,479.0,18.73
C1-Esterase inhibitor,2680.0,2527.16,2527.16,2527.16
Cabergoline,72.96,68.27,1145.67,28.1
Cabozantinib,5143.0,4811.28,4811.28,4811.28
Caffeine,10.14,9.63,20.19,5.68
Calamine,2.08,1.97,20.1,0.12
Calcipotriol,81.84,76.58,1633.58,5.41
Calcitonin (Salmon),616.0,576.38,576.38,576.38
Calcitriol,19.36,18.2,453.87,0.79
Calcium acetate,11.86,11.31,101.27,0.49
Calcium acetate/magnesium carbonate,24.06,23.42,273.88,1.86
Calcium carbonate,10.61,10.08,1178.95,0.2
Calcium chloride,9.89,9.26,9.26,9.26
Calcium folinate,342.32,320.31,8186.69,4.99
Calcium gluconate,43.84,41.04,206.01,8.7
Calcium polystyrene sulfonate,173.31,162.15,691.78,34.7
Camellia sinensis extract,71.5,66.9,109.47,36.5
Canagliflozin,150.61,141.08,4364.68,1.34
Canagliflozin/metformin,78.4,73.45,1100.52,12.95
Candesartan cilexetil,18.54,17.49,800.18,0.04
Capsaicin,45.46,42.57,729.52,13.64
Captopril,49.33,46.2,2418.7,0.43
Carbamazepine,12.37,11.71,9646.42,0.05
Carbimazole,9.31,8.91,601.57,0.07
Carbocisteine,16.7,15.98,524.08,0.13
Carbomer,10.35,9.7,42.34,7.04
Carbomer 940/980,11.95,11.21,2379.93,0.28
Carbomer 974P,8.13,7.62,71.57,4.21
Cariprazine,95.87,89.77,300.76,2.8
Carmellose sodium,15.98,14.98,1380.84,0.15
Carvedilol,3.83,3.65,171.15,0.04
Castor oil,12.14,11.37,11.37,11.37
Catheter Maintenance Products,46.34,43.36,1523.18,2.95
Catheter Valves,27.49,25.75,1208.79,1.48
Catheters,171.5,160.44,4309.88,2.11
Cefaclor,19.67,18.43,204.35,2.11
Cefadroxil,27.65,25.96,117.36,10.58
Cefalexin,4.8,4.58,121.14,0.15
Cefixime,30.8,28.88,198.04,1.88
Cefotaxime sodium,32.5,30.42,32.75,28.08
Cefradine,17.17,16.18,134.59,1.18
Ceftazidime pentahydrate,208.95,195.53,461.13,73.92
Ceftriaxone sodium,67.59,63.24,376.84,2.25
Cefuroxime axetil,37.0,34.64,530.49,3.16
Cefuroxime sodium,280.73,262.68,508.46,7.31
Celecoxib,17.34,16.33,424.71,0.3
Celiprolol hydrochloride,20.28,19.01,117.14,0.39
Cenobamate,190.48,185.09,681.05,28.69
Cervical Collar,2.46,2.31,2.31,2.31
Cetirizine hydrochloride,29.73,28.14,1841.08,0.03
Cetomacrogol,15.84,14.87,369.21,0.43
Cetrimide,4.15,3.9,291.36,0.54
Cetylpyridinium chloride,3.53,3.32,10.24,2.57
Charcoal,4.26,4.04,19.28,0.67
Chenodeoxycholic acid,7840.0,7334.41,7334.41,7334.41
Chiropody Appliances,17.85,16.71,1262.96,1.0
Chlohexidine gluconate (Emollient),6.78,6.36,13.87,3.47
Chloral hydrate,571.78,535.05,4569.93,1.92
Chloramphenicol,29.81,27.94,705.38,0.65
Chlordiazepoxide hydrochloride,12.32,11.68,325.98,0.27
Chlorhex hydrochloride,2.94,2.76,4.42,2.21
Chlorhexidine acetate,31.96,29.91,151.56,2.54
Chlorhexidine gluconate,8.99,8.47,390.14,0.12
Chloroquine phosphate,13.71,12.92,56.14,3.33
Chlorothiazide,97.69,92.09,4039.04,20.52
Chloroxylenol,4.49,4.24,16.44,1.43
Chlorphenamine maleate,10.26,9.67,1010.36,0.08
Chlorpromazine hydrochloride,30.61,28.74,455.9,0.45
Chlortalidone,101.06,94.63,494.2,9.28
Cholera,72.88,68.22,363.94,20.21
Cholesterol,670.95,627.67,627.67,627.67
Choline salicylate,5.13,4.81,49.83,2.73
Choriogonadotropin alfa,128.04,119.8,281.86,35.24
Chorionic gonadotrophin,384.0,359.26,359.26,359.26
Ciclesonide,47.65,44.59,469.86,18.06
Ciclosporin,100.31,93.89,2299.6,4.13
Ciclosporin (Eye Anti Inflammatory),141.51,132.41,1549.46,11.34
Cilostazol,19.31,18.13,117.95,0.49
Cimetidine,38.88,36.45,456.07,1.73
Cinacalcet hydrochloride,55.3,51.82,1058.76,0.9
Cinnarizine,9.45,8.95,149.41,0.15
Ciprofibrate,218.37,204.33,1375.59,8.3
Ciprofloxacin,7.93,7.53,456.41,0.08
Ciprofloxacin/fluocinolone,9.38,8.79,61.98,3.86
Ciprofloxain/dexameth,14.7,13.86,229.51,5.73
Citalopram hydrobromide,16.13,15.49,621.88,0.03
Citalopram hydrochloride,17.38,16.28,169.4,7.35
Cladribine (Immunomodulating),2047.24,1915.2,1915.2,1915.2
Clarithromycin,15.09,14.23,546.13,0.27
Clemastine fumarate,5.74,5.43,13.73,0.8
Clindamycin hydrochloride,22.79,21.45,1287.58,0.24
Clindamycin phosphate,11.75,11.01,95.06,4.06
Clindamycin/tretinoin,19.18,17.96,223.42,11.17
Clobazam,62.27,58.37,2110.71,0.29
Clobetasol propionate,12.38,11.61,1159.61,2.39
Clobetasone butyrate,15.11,14.16,1392.99,1.39
Clofazimine,403.33,377.34,519.33,235.36
Clomethiazole,54.06,50.77,452.31,2.16
Clomethiazole edisilate,153.7,143.84,1472.99,30.69
Clomifene citrate,9.89,9.32,38.01,1.58
Clomipramine hydrochloride,21.66,20.33,197.2,0.27
Clonazepam,43.48,40.94,2908.06,0.33
Clonidine hydrochloride,55.18,51.75,13422.54,0.19
Clopidogrel,41.33,39.83,1163.86,0.04
Clotrimazole,12.56,11.79,311.88,1.12
Clozapine,52.29,49.28,415.5,0.3
Co-amilofruse (Amiloride hydrochloride/frusemide),20.23,18.99,241.07,0.36
Co-amilozide (Amiloride hydrochloride/hydrochlorothiazide),38.23,35.8,402.94,1.21
Co-amoxiclav (Amoxicillin/clavulanic acid),8.26,7.82,489.56,0.16
Co-beneldopa (Benserazide/levodopa),10.66,10.13,194.74,0.07
Co-careldopa (Carbidopa/levodopa),15.51,14.67,1468.74,0.07
Co-codamol (Codeine phosphate/paracetamol),24.71,23.34,2702.56,0.03
Co-codaprin (Codeine phosphate/aspirin),1.15,1.09,1.09,1.09
Co-cyprindiol (Cyprote acetate/ethinylestradiol),15.06,14.11,86.63,1.24
Co-danthramer (Dantron/poloxamer 188),314.71,294.43,818.94,72.22
Co-danthrusate (Dantron/docusate sodium),322.45,301.67,646.4,215.46
Co-dydramol (Dihydrocodeine/paracetamol),31.64,29.71,2042.62,0.19
Co-fluampicil(Flucloxacillin/ampicillin),21.69,20.31,43.85,6.37
Co-flumactone (Hydroflumethiazide/spironolactone),19.58,18.42,80.12,2.65
Co-magaldrox (Magnesium/aluminium hydroxide),6.39,6.0,132.05,0.17
Co-phenotrope (Diphenox hydrochloride/atropine sulfate),621.61,581.63,5129.36,51.41
Co-proxamol (Dextropropoxyphene hydrochloride/paracetamol),367.71,344.17,1964.69,49.22
Co-simalcite (Simeticone/hydrotalcite),6.87,6.45,14.98,1.24
Co-tenidone (Atenolol/chlortalidone),3.52,3.33,87.26,0.15
Co-trimoxazole(Trimethoprim/sulfamethoxazole),6.59,6.26,164.07,0.18
Coal tar,13.62,12.76,268.39,3.24
Cocois,18.84,17.65,250.59,5.82
Cod liver oil,4.73,4.63,43.85,0.37
Codeine phosphate,13.43,12.68,1186.69,0.03
Colchicine,2.75,2.77,45.65,0.15
Colecalciferol,23.98,22.79,5345.21,0.01
Colesevelam hydrochloride,135.23,126.61,1414.68,0.71
Colestipol hydrochloride,34.63,32.42,1888.83,2.93
Colestyramine,56.21,52.66,537.3,0.72
Colistimethate sodium,234.12,219.05,3273.72,16.84
Colostomy Bags,266.74,249.56,15923.68,2.87
Combined ethinylestradiol 20mcg,21.55,20.2,730.07,0.24
Combined ethinylestradiol 30mcg,15.96,15.0,1705.99,0.14
Combined ethinylestradiol 35mcg,9.12,8.57,148.11,0.46
Combined mestranol,3.05,2.88,8.21,0.8
Compound alginates and proprietary indigestion preparations,8.35,7.86,74.9,0.16
Compound antispasmodic preparations,3.03,2.85,2.85,2.85
Contraceptive Devices,20.27,18.97,170.63,7.97
Cortisone acetate,986.87,923.23,1231.78,614.67
Crotamiton,6.8,6.38,86.83,2.34
Cyanocobalamin,45.34,42.84,4370.54,0.09
Cyclizine hydrochloride,6.98,6.8,1990.38,0.05
Cyclizine lactate,25.81,24.2,330.49,0.98
Cycloidal Vibration Accessories,386.67,361.77,523.99,280.66
Cyclopentolate hydrochloride,14.9,13.95,185.76,0.65
Cyclophosphamide,81.02,75.87,130.05,36.52
Cyproheptadine hydrochloride,14.87,13.97,44.85,2.73
Cyproterone acetate,53.74,50.38,406.98,1.32
Dabigatran etexilate,126.49,118.48,1956.24,0.91
Dalteparin sodium,150.19,140.57,1109.06,0.01
Danazol,169.24,158.79,1464.98,12.98
Dantrolene sodium,29.53,27.78,556.63,0.43
Dapagliflozin,399.17,373.72,14584.56,1.23
Dapagliflozin/metformin,118.8,111.21,2670.41,1.34
Dapoxetine hydrochloride,44.02,41.2,321.97,12.4
Dapsone,18.4,17.26,171.95,0.99
Darbepoetin alfa,212.55,200.35,1648.1,27.47
Darifenacin hydrobromide,65.44,61.31,572.22,0.96
Darunavir,8.93,8.47,8.47,8.47
Dasatinib,62.63,58.7,78.23,39.17
Deferasirox,1013.25,948.04,1885.98,117.89
Deferiprone,364.33,340.86,729.7,25.65
Deflazacort,30.33,28.46,296.02,2.09
Degarelix,272.74,255.19,1815.55,121.03
Demeclocycline hydrochloride,883.7,827.03,2676.42,111.63
Denosumab,522.95,493.19,13525.3,171.2
Deodorants,15.59,14.6,345.01,2.33
Depigmenting agents,111.96,104.75,558.5,31.77
Dequalinium chloride,9.54,8.94,39.02,6.51
Desferrioxamine mesilate,699.45,654.35,654.35,654.35
Desloratadine,7.07,6.68,227.95,0.16
Desmopressin acetate,75.2,70.37,1784.95,2.0
Desogestrel,21.72,20.47,534.35,0.13
Detection Sensor Interstitial Fluid/Gluc,571.79,534.99,11724.0,28.02
Dev For Fungal Nail Infections,25.25,23.64,71.04,9.37
Dexamethasone,17.71,16.64,3157.37,0.07
Dexamethasone phosphate,42.97,40.24,291.91,2.25
Dexamethasone sodium metasulphobenzoate,16.32,15.3,400.63,7.02
Dexamethasone sodium phosphate,31.74,29.71,112.27,1.98
Dexamfetamine sulfate,115.05,107.7,2432.31,1.77
Dexketoprofen,12.94,12.18,58.15,3.43
Dexpanthenol,7.69,7.21,49.59,2.51
Dextromethorphan hydrobrom compound prepartions,2.29,2.14,2.14,2.14
Dextromethorphan hydrobromide,593.99,555.7,15776.44,1.8
Diamorphine hydrochloride (Systemic),43.35,40.58,1564.7,1.51
Diazepam,8.61,8.3,3834.59,0.03
Diazoxide,149.29,140.53,2933.73,13.69
Dibrompropamidine isetionate,6.02,5.65,31.89,2.01
Dichlorobenzyl alcohol/amylmetacresol,8.91,8.35,8.35,8.35
Diclofenac diethyl,40.24,37.71,1862.07,3.25
Diclofenac potassium,16.11,15.12,62.5,1.1
Diclofenac sod,6.48,6.17,6.17,6.17
Diclofenac sodium,24.64,23.09,752.61,0.19
Dicycloverine hydrochloride,302.81,283.36,2606.4,16.01
Dicycloverine hydrochloride compound preparations,9.11,8.56,67.39,2.36
Dienogest,39.62,37.08,232.18,4.95
Diethylamine salicylate,6.53,6.14,350.02,1.39
Diethylstilbestrol,221.18,206.97,766.87,32.07
Diflucortolone valerate,6.78,6.36,52.79,3.72
Digoxin,7.64,7.39,196.52,0.08
Dihydrocodeine tartrate,14.27,13.46,9929.2,0.16
Diltiazem hydrochloride,17.68,16.62,826.63,0.22
Dimenhydrinate/cinnarizine,25.03,23.5,89.86,2.25
Dimethyl fumar,152.64,142.87,357.0,55.53
Dimeticone (Barrier),11.38,10.71,404.61,0.12
Dimeticone (Parasiticidal),8.57,8.03,30.6,3.07
Dinoprostone,33.0,30.98,30.98,30.98
Diphenhydramine hydrochloride,8.88,8.42,123.65,0.59
Diphtheria,38.28,35.81,2298.52,7.3
Dipipanone hydrochloride,1011.27,946.17,3693.78,165.0
Dipyridamole,40.07,37.52,744.23,1.71
Discharge Solidifying Agents,71.74,67.17,1140.32,7.37
Disopyramide,46.85,43.92,1605.62,2.32
Disopyramide phosphate,43.88,41.32,120.07,7.01
Distigmine bromide,996.71,932.43,1290.71,542.79
Disulfiram,153.13,143.45,4160.07,3.41
Dithranol,6.73,6.31,50.84,3.54
Docusate sodium,25.32,24.01,1526.13,0.18
Dolutegravir,498.75,466.59,466.59,466.59
Dolutegravir/lamivudine,339.07,317.26,613.94,20.58
Domperidone,15.36,14.46,511.46,0.13
Donepezil hydrochloride,14.94,14.31,1326.07,0.15
Dornase alfa,690.59,648.09,3715.3,278.76
Dorzolamide,31.17,29.19,452.65,4.41
Dorzolamide and timolol,30.83,28.87,1016.58,1.62
Dosulepin hydrochloride,16.92,15.89,3261.29,0.18
Doxazosin mesilate,13.02,12.35,395.97,0.03
Doxepin,278.86,260.94,1729.7,9.83
Doxepin hydrochloride,20.43,19.13,102.24,12.78
Doxycycline hyclate,9.52,9.19,609.59,0.19
Doxycycline monohydrate,20.11,18.89,192.96,0.68
Doxylamine succinate/pyridoxine hydrochloride,75.01,70.2,426.61,5.44
Dronabinol/cannabidiol,379.9,356.15,1683.92,93.55
Dronedarone hydrochloride,104.45,97.82,707.91,2.22
Dry Mouth Products,10.93,10.25,595.14,0.12
Dulaglutide,319.57,299.01,8224.19,17.13
Duloxetine hydrochloride,14.85,14.11,2440.4,0.14
Dutasteride,6.52,6.24,133.28,0.25
Dydrogesterone,672.67,629.39,629.39,629.39
Econazole nitrate,5.8,5.44,70.79,3.48
Edoxaban,451.19,422.33,16598.26,1.64
Efavirenz/emtricitabine/tenofovir disoproxil,532.87,498.51,498.51,498.51
Eflornithine monohydrate chloride,76.8,71.86,372.5,53.2
Elastic Hosiery,32.66,30.58,2261.22,0.72
Elbasvir/grazoprevir,1303.56,1219.81,1219.81,1219.81
Eletriptan,54.87,51.35,547.35,7.13
Eltrombopag,3593.33,3361.79,6483.67,1440.68
Emollient bath and shower preparations,12.55,11.76,718.23,0.31
Emollients,22.88,21.45,2899.82,0.01
Empagliflozin,349.52,327.21,7805.82,1.34
Empagliflozin/linagliptin,113.25,106.0,3450.6,22.86
Empagliflozin/metformin,127.96,119.79,4828.16,2.55
Emtricitabine and tenofovir alafenamide,355.73,332.8,332.8,332.8
Emtricitabine and tenofovir disoproxil,279.5,261.56,465.9,11.21
Emulsifying wax,9.06,8.5,400.41,0.02
Enalapril maleate,21.73,20.41,765.96,0.23
Enalapril maleate with diuretic,36.69,34.35,486.4,3.45
Enoxaparin,152.99,143.18,1842.82,1.96
Entacapone,14.66,13.84,214.99,0.75
Entecavir,496.03,464.12,2718.68,22.77
Enteral nutrition,125.77,117.7,16266.72,0.46
Enzalutamide,2249.05,2104.05,5482.14,22.96
Ephedrine hydrochloride,324.57,303.67,2688.41,1.79
Epinastine hydrochloride,17.74,16.61,83.46,9.26
Eplerenone,26.11,24.62,723.74,0.3
Epoetin alfa,312.68,297.83,1655.78,41.51
Epoetin beta,277.36,259.52,787.43,52.6
Epoetin zeta,359.2,336.04,723.41,80.98
Eprosartan,26.98,25.29,1004.54,1.54
Erdosteine,13.01,12.23,66.05,0.35
Erenumab (old),386.5,361.58,361.58,361.58
Ergocalciferol,55.56,52.07,740.81,0.37
Ergotamine tartrate,314.46,294.19,294.19,294.19
Ertapenem sodium,327.05,305.97,414.53,207.27
Ertugliflozin,72.99,68.34,1210.43,6.99
Erythromycin,12.9,12.11,322.01,0.17
Erythromycin ethylsuccinate,26.6,24.9,398.94,1.55
Erythromycin stearate,16.13,15.2,114.76,2.15
Escitalopram,6.38,6.08,260.03,0.14
Eslicarbazepine acetate,168.39,157.64,1017.87,3.29
Esomeprazole,22.77,21.39,550.79,0.07
Estradiol,30.12,28.23,1768.31,0.17
Estradiol and estriol with progestogen,13.48,12.67,43.18,3.6
Estradiol and nomegestrol,27.04,25.34,111.21,4.76
Estradiol valandestradiol valerate with dienogest,37.32,34.99,188.57,6.06
Estradiol valerate,9.29,8.75,81.99,0.36
Estradiol with progestogen,56.94,53.32,2177.99,0.3
Estriol,39.82,37.29,1147.19,0.64
Etanercept,5380.38,5033.36,8026.62,668.89
Ethambutol hydrochloride,40.78,38.24,182.89,1.46
Ethinylestradiol,1451.4,1361.82,4103.74,248.85
Ethosuximide,553.36,517.72,2427.77,21.41
Etidronate disodium,21.12,19.78,19.78,19.78
Etilefrine hydrochloride,1383.04,1293.85,2514.63,662.81
Etodolac,34.69,32.56,668.8,0.49
Etonogestrel,275.58,257.87,2576.01,78.05
Etonogestrel/ethinylestradiol,54.45,50.96,1222.78,9.26
Etoricoxib,18.09,16.98,565.35,0.25
Etynodiol diacetate,6.62,6.21,6.21,6.21
Evolocumab,495.51,463.57,954.81,159.24
Exemestane,48.53,45.5,411.97,2.08
Exenatide,134.52,125.87,1441.2,17.27
Eye Products,22.81,21.37,1922.28,0.14
Ezetimibe,19.52,18.58,488.56,0.14
Faecal Collectors,54.04,50.56,204.31,17.03
Famciclovir,708.51,662.9,6220.26,50.0
Famotidine,121.98,114.27,2291.09,0.71
Fampridine,362.0,338.66,338.66,338.66
Febuxostat,13.74,12.91,296.29,0.2
Felbamate,409.61,383.2,383.2,383.2
Felbinac,8.25,7.73,22.55,2.13
Felodipine,46.05,43.23,1720.3,0.25
Fenofibrate,11.15,10.52,259.83,0.23
Fenofibrate/simvastatin,11.57,10.83,14.44,7.23
Fentanyl,67.55,63.23,7508.07,1.41
Fentanyl citrate,20.47,19.19,40.25,6.82
Ferric maltol,65.44,61.27,445.36,5.68
Ferrous fumarate,16.92,16.3,789.41,0.05
Ferrous gluconate,4.27,4.09,331.68,0.14
Ferrous sulfate,15.3,14.57,841.97,0.01
Fesoterodine fumarate,58.81,55.09,554.98,6.03
Fexofenadine hydrochloride,20.31,19.24,1999.1,0.05
Fidaxomicin,1421.32,1329.73,3788.8,505.28
Filgrastim,380.93,356.41,852.62,187.77
Filters/Bridges,61.38,57.42,291.31,3.37
Finasteride,19.61,18.87,444.55,0.1
Fingolimod,1470.0,1375.19,1375.19,1375.19
Flanges,76.14,72.48,252.49,15.38
Flavoxate hydrochloride,14.51,13.71,413.32,0.84
Flecainide acetate,7.83,7.43,123.85,0.07
Flubiprofen,6.37,5.99,19.23,3.12
Flucloxacillin magnesium,4.03,3.78,3.78,3.78
Flucloxacillin sodium,19.15,18.06,1323.65,0.17
