Prescriber,Substancia,Maior_valor
INHEALTH LIMITED,Fluticasone propionate/azelastine hydrochloride (Nasal),401.88
INTEGRATED CARE 24 LTD,Haloperidol,324.56
ISIGHT,Latanoprost,71.52
ISLE OF WIGHT NHS TRUST,Sacubitril/valsartan,514.0
KENT COMMUNITY HEALTH NHS FOUNDATION TRU,Nitrofurantoin,213.59
KING'S COLLEGE HOSPITAL NHS FOUNDATION T,Nitrofurantoin,685.27
KIRKLEES COUNCIL,Buprenorphine hydrochloride,4014.76
LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATIO,Detection Sensor Interstitial Fluid/Gluc,65.5
LANCASTER HOUSE CONSULTING DIAGNOSTICS S,Catheters,3020.16
LEEDS AND YORK PARTNERSHIP NHS FOUNDATIO,Risperidone,2.54
LEEDS CITY COUNCIL,Buprenorphine hydrochloride,3370.53
LEEDS COMMUNITY HEALTHCARE NHS TRUST,Sacubitril/valsartan,685.33
LEWISHAM AND GREENWICH NHS TRUST,Sacubitril/valsartan,685.33
LINCOLNSHIRE AND DISTRICTS MEDICAL SERVI,Calcipotriol,55.99
LINCOLNSHIRE COMMUNITY HEALTH SERVICES N,Enoxaparin,623.26
LIVERPOOL UNIVERSITY HOSPITALS NHS FOUND,Apixaban,497.81
LIVES,Morphine sulfate,59.58
LIVEWELL SOUTHWEST,Phenelzine sulfate,2367.81
LIVI,Semaglutide,68.54
LLR PROVIDER COMPANY LTD,Isotretinoin,509.21
LOCALA COMMUNITY PARTNERSHIPS CIC,Ulipristal acetate (Emergency Contraceptive),65.78
LONDON AMBULANCE SERVICE NHS TRUST,Nitrofurantoin,881.06
LONDON CENTRAL AND WEST UNSCHEDULED CARE,Nitrofurantoin,373.78
LONDON NORTH WEST UNIVERSITY HEALTHCARE ,Ulipristal acetate (Emergency Contraceptive),421.0
MANCHESTER UNIVERSITY NHS FOUNDATION TRU,Skin Fillers And Protectives,824.08
MEDWAY COMMUNITY HEALTHCARE,Venous Ulcer Compression System,2471.48
MERSEY CARE NHS FOUNDATION TRUST,Lisdexamfetamine dimesylate,664.42
MIDDLESBROUGH BOROUGH COUNCIL,Buprenorphine hydrochloride,3869.03
MIDLANDS PARTNERSHIP NHS FOUNDATION TRUS,Sacubitril/valsartan,1799.0
MILLENNIUM HEALTH LTD,Cetirizine hydrochloride,512.3
NAVIGO HEALTH AND SOCIAL CARE CIC,Lisdexamfetamine dimesylate,192.56
NEW HAYESBANK SURGERY CLINICS,Ciclosporin (Eye Anti Inflammatory),202.1
NEW MEDICAL SYSTEMS LIMITED,Apraclonidine,255.02
NEWCASTLE CITY COUNCIL,Buprenorphine hydrochloride,3189.04
"NHS BATH AND NORTH EAST SOMERSET, SWINDO",Apixaban,13290.64
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNE",Edoxaban,12836.75
NHS BIRMINGHAM AND SOLIHULL ICB - 15E,Apixaban,16328.13
NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,Trimethoprim,34.89
NHS BLACK COUNTRY ICB - D2P2L,Beclometasone dipropionate,14049.89
NHS BLACK COUNTRY INTEGRATED CARE BOARD,Dihydrocodeine tartrate,2.54
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GL",Apixaban,20110.8
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BER",Apixaban,19909.87
NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB ,Apixaban,16974.06
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTE,Enteral nutrition,545.59
NHS CHESHIRE AND MERSEYSIDE ICB - 01F,Apixaban,9956.17
NHS CHESHIRE AND MERSEYSIDE ICB - 01J,Influenza,27245.62
NHS CHESHIRE AND MERSEYSIDE ICB - 01T,Apixaban,5973.7
NHS CHESHIRE AND MERSEYSIDE ICB - 01V,Apixaban,9557.93
NHS CHESHIRE AND MERSEYSIDE ICB - 01X,Influenza,31642.69
NHS CHESHIRE AND MERSEYSIDE ICB - 02E,Apixaban,8412.97
NHS CHESHIRE AND MERSEYSIDE ICB - 12F,Colostomy Bags,12432.56
NHS CHESHIRE AND MERSEYSIDE ICB - 27D,Apixaban,16427.69
NHS CHESHIRE AND MERSEYSIDE ICB - 99A,Influenza,4967.83
NHS CHESHIRE AND MERSEYSIDE INTEGRATED C,Detection Sensor Interstitial Fluid/Gluc,130.98
NHS CORNWALL AND THE ISLES OF SCILLY ICB,Edoxaban,15128.16
NHS COVENTRY AND WARWICKSHIRE ICB - B2M3,Influenza,12125.7
NHS DERBY AND DERBYSHIRE ICB - 15M,Beclometasone dipropionate,9547.38
NHS DERBY AND DERBYSHIRE INTEGRATED CARE,Enteral nutrition,110.04
NHS DEVON ICB - 15N,Rivaroxaban,14429.5
NHS DEVON INTEGRATED CARE BOARD,Two Piece Ostomy Systems,201.43
NHS DORSET ICB - 11J,Apixaban,23346.39
NHS DORSET INTEGRATED CARE BOARD,Catheters,45.68
NHS FRIMLEY ICB - D4U1Y,Apixaban,12443.67
NHS GLOUCESTERSHIRE ICB - 11M,Rivaroxaban,10751.4
NHS GREATER MANCHESTER ICB - 00T,Apixaban,10653.11
NHS GREATER MANCHESTER ICB - 00V,Apixaban,23596.13
NHS GREATER MANCHESTER ICB - 00Y,Apixaban,10553.55
NHS GREATER MANCHESTER ICB - 01D,Apixaban,5973.7
NHS GREATER MANCHESTER ICB - 01G,Apixaban,5674.31
NHS GREATER MANCHESTER ICB - 01W,Apixaban,12096.75
NHS GREATER MANCHESTER ICB - 01Y,Rivaroxaban,6413.96
NHS GREATER MANCHESTER ICB - 02A,Apixaban,7566.69
NHS GREATER MANCHESTER ICB - 02H,Apixaban,6471.51
NHS GREATER MANCHESTER ICB - 14L,Influenza,15544.23
NHS GREATER MANCHESTER INTEGRATED CARE B,Insulin glargine,32.52
NHS HAMPSHIRE AND ISLE OF WIGHT ICB - 10,Beclometasone dipropionate,14540.54
NHS HAMPSHIRE AND ISLE OF WIGHT ICB - D9,Apixaban,17423.31
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRAT,Isophane insulin,20.31
NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB,Apixaban,16525.19
NHS HEREFORDSHIRE AND WORCESTERSHIRE INT,Insulin degludec,87.21
NHS HERTFORDSHIRE AND WEST ESSEX ICB - 0,Apixaban,12743.9
NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,Apixaban,23195.83
NHS HUMBER AND NORTH YORKSHIRE ICB - 03F,Apixaban,21355.99
NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,Edoxaban,12012.37
NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,Shingles (H/Z),7855.04
NHS HUMBER AND NORTH YORKSHIRE ICB - 03Q,Apixaban,18369.14
NHS HUMBER AND NORTH YORKSHIRE ICB - 42D,Apixaban,10054.69
NHS HUMBER AND NORTH YORKSHIRE INTEGRATE,Tramadol hydrochloride,5.98
NHS KENT AND MEDWAY ICB - 91Q,Apixaban,17620.23
NHS KENT AND MEDWAY INTEGRATED CARE BOAR,Estradiol,4.5
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 0,Beclometasone dipropionate,17864.22
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRA,Biphasic insulin aspart,27.97
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAN",Edoxaban,11644.78
NHS LINCOLNSHIRE ICB - 71E,Apixaban,21007.23
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,Haloperidol,1.38
NHS MID AND SOUTH ESSEX ICB - 06Q,Wound Management & Other Dressings,18113.11
NHS MID AND SOUTH ESSEX ICB - 07G,Apixaban,5973.7
NHS MID AND SOUTH ESSEX ICB - 99E,Apixaban,7516.91
NHS MID AND SOUTH ESSEX ICB - 99F,Apixaban,6669.81
NHS MID AND SOUTH ESSEX ICB - 99G,Sacrosidase,5620.86
NHS MID AND SOUTH ESSEX INTEGRATED CARE ,Lymphoedema Garments,69.86
NHS NORFOLK AND WAVENEY ICB - 26A,Edoxaban,16598.26
NHS NORFOLK AND WAVENEY INTEGRATED CARE ,Methylphenidate hydrochloride,13.73
NHS NORTH CENTRAL LONDON ICB - 93C,Dapagliflozin,14584.56
NHS NORTH EAST AND NORTH CUMBRIA ICB - 0,Apixaban,26433.64
NHS NORTH EAST AND NORTH CUMBRIA ICB - 1,Apixaban,11300.26
NHS NORTH EAST AND NORTH CUMBRIA ICB - 8,Apixaban,10105.52
NHS NORTH EAST AND NORTH CUMBRIA ICB - 9,Apixaban,9357.64
NHS NORTH EAST AND NORTH CUMBRIA INTEGRA,Biphasic isophane insulin,20.31
NHS NORTH EAST LONDON ICB - A3A8R,Enteral nutrition,16266.72
NHS NORTH WEST LONDON ICB - W2U3Z,Influenza,13325.25
NHS NORTH WEST LONDON INTEGRATED CARE BO,Methadone hydrochloride,2.6
NHS NORTHAMPTONSHIRE ICB - 78H,Apixaban,20360.24
NHS NORTHAMPTONSHIRE INTEGRATED CARE BOA,Oxycodone hydrochloride,35.67
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB -,Apixaban,19812.79
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEG,Two Piece Ostomy Systems,52.46
NHS PRACTITIONER HEALTH,Disulfiram,164.89
"NHS SHROPSHIRE, TELFORD AND WREKIN ICB -",Apixaban,12942.63
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEG",Pregabalin,2.07
NHS SOMERSET ICB - 11X,Influenza,13160.8
NHS SOUTH EAST LONDON ICB - 72Q,Influenza,10124.59
NHS SOUTH EAST LONDON INTEGRATED CARE BO,Buprenorphine hydrochloride,5.87
NHS SOUTH WEST LONDON ICB - 36L,Influenza,16283.85
NHS SOUTH WEST LONDON INTEGRATED CARE BO,Furosemide,39.31
NHS SOUTH YORKSHIRE ICB - 02P,Apixaban,15579.76
NHS SOUTH YORKSHIRE ICB - 02X,Apixaban,11449.6
NHS SOUTH YORKSHIRE ICB - 03L,Apixaban,14485.95
NHS SOUTH YORKSHIRE ICB - 03N,Apixaban,11051.35
NHS SOUTH YORKSHIRE INTEGRATED CARE BOAR,Ileostomy Bags,98.29
NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,Apixaban,15631.19
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INT,Rivaroxaban,47.16
NHS SUFFOLK AND NORTH EAST ESSEX ICB - 0,Apixaban,22998.76
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRA,Tracheostomy & Laryngectomy Appliances,157.01
NHS SURREY HEARTLANDS  ICB - 92A,Carbamazepine,9646.42
NHS SUSSEX ICB - 09D,Triptorelin,7746.91
NHS SUSSEX ICB - 70F,Apixaban,13490.62
NHS SUSSEX ICB - 97R,Apixaban,14633.75
NHS SUSSEX INTEGRATED CARE BOARD,Ileostomy Bags,130.61
NHS WEST YORKSHIRE ICB - 02T,Apixaban,5972.96
NHS WEST YORKSHIRE ICB - 03R,Apixaban,16427.33
NHS WEST YORKSHIRE ICB - 15F,Clonidine hydrochloride,13422.54
NHS WEST YORKSHIRE ICB - 36J,Rivaroxaban,26929.07
NHS WEST YORKSHIRE ICB - X2C4Y,Enteral nutrition,7229.54
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,Enteral nutrition,400.79
NORFOLK COMMUNITY HEALTH AND CARE NHS TR,Fentanyl,3080.98
NORTH CUMBRIA INTEGRATED CARE NHS FOUNDA,Other Appliances,748.73
NORTH EAST AMBULANCE SERVICE NHS FOUNDAT,Fidaxomicin,1262.93
NORTH EAST LINCOLNSHIRE COUNCIL,Buprenorphine hydrochloride,1376.11
NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS ,Ciclosporin,574.89
NORTH STAFFORDSHIRE COMBINED HEALTHCARE ,Buprenorphine hydrochloride,926.84
NORTH TEES AND HARTLEPOOL NHS FOUNDATION,Enoxaparin,617.24
NORTH YORKSHIRE COUNTY COUNCIL,Buprenorphine hydrochloride,448.5
NORTHUMBRIA HEALTHCARE NHS FOUNDATION TR,Adrenaline,256.73
NOTTINGHAM CITYCARE PARTNERSHIP,Flucloxacillin sodium,314.13
NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATIO,Fidaxomicin,1262.93
NOVUS HEALTH LTD,Clindamycin hydrochloride,601.18
OMNES HEALTHCARE LTD,Fluorouracil (Sunscreen),923.71
ONE HEALTHCARE,Amoxicillin,1.31
ONE MEDICAL GROUP LIMITED,Nitrofurantoin,1548.54
OPEROSE HEALTH (GROUP) UK LIMITED,Ciclosporin (Eye Anti Inflammatory),404.16
OXFORD HEALTH NHS FOUNDATION TRUST,Nitrofurantoin,1050.16
OXLEAS NHS FOUNDATION TRUST,Wound Management & Other Dressings,1413.75
PDS MEDICAL LTD,Linezolid,428.7
PENNINE ACUTE HOSPITALS NHS TRUST,Eye Products,17.8
PENNINE MUSCULOSKELETAL PARTNERSHIP (ICA,Sulfasalazine,586.59
PHOENIX HEALTH SOLUTIONS LIMITED HQ,Levonorgestrel,1070.37
PRACTICE BASED CLINICAL SERVICES LIMITED,Fluticasone propionate (Nasal),36.47
PRACTICE PLUS GROUP,Famciclovir,833.18
PRIMARY EYECARE SERVICES LTD,Eye Products,53.4
PSYCHIATRY-UK,Lisdexamfetamine dimesylate,653.95
RAMSAY HEALTHCARE UK OPERATIONS LIMITED,Budesonide,302.18
REDCAR AND CLEVELAND BOROUGH COUNCIL,Nicotine,663.53
ROTHERHAM DONCASTER AND SOUTH HUMBER NHS,Methadone hydrochloride,2023.39
ROYAL DEVON UNIVERSITY HEALTHCARE NHSFT,Combined ethinylestradiol 20mcg,340.81
SANDWELL AND WEST BIRMINGHAM HOSPITALS N,Wound Management & Other Dressings,5961.21
SELLINDGE PRACTICE LTD,Fluticasone propionate/azelastine hydrochloride (Nasal),69.29
SENTINEL HEALTHCARE SOUTHWEST COMMUNITY ,Imiquimod,227.55
SHEFFIELD CHILDREN'S NHS FOUNDATION TRUS,Methylphenidate hydrochloride,870.4
SHERWOOD FOREST HOSPITALS NHS FOUNDATION,Lisdexamfetamine dimesylate,2116.09
SHROPSHIRE COMMUNITY HEALTH NHS TRUST,Lymphoedema Garments,1341.75
SIRONA CARE AND HEALTH,Melatonin,5874.95
SMART CJS,Buprenorphine,7.08
SOLENT MEDICAL SERVICES LIMITED,Latanoprost,39.77
SOLENT NHS TRUST,Sacubitril/valsartan,171.33
SOMERSET NHS FOUNDATION TRUST,Wound Management & Other Dressings,348.04
SOMERSET SURGICAL SERVICES HQ,Fusidic acid,26.53
SOUTH CENTRAL AMBULANCE SERVICE NHS FOUN,Nitrofurantoin,996.76
SOUTH DOWNS HEALTH AND CARE LTD,Nitrofurantoin,302.59
SOUTH EAST COAST AMBULANCE SERVICE NHS F,Nitrofurantoin,872.16
SOUTH TEES HOSPITALS NHS FOUNDATION TRUS,Colostomy Bags,3647.37
SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDA,Nitrofurantoin,258.09
SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,Lymphoedema Garments,1036.49
SOUTH WESTERN AMBULANCE SERVICE NHS FOUN,Flucloxacillin sodium,107.91
SPECTRUM COMMUNITY HEALTH - CIC,Buprenorphine hydrochloride,672.75
ST GEORGE'S UNIVERSITY HOSPITALS NHS FOU,Dulaglutide,342.69
ST JOSEPH'S HOSPICE,Rotigotine,420.81
ST MARGARETS HOSPICE,Oxycodone hydrochloride,7.73
ST MICHAEL'S HOSPICE,Buprenorphine,53.77
ST WILFRID'S HOSPICE,Morphine sulfate,29.79
START,Buprenorphine hydrochloride,784.09
STOCKPORT METROPOLITAN BOROUGH COUNCIL,Buprenorphine hydrochloride,1340.01
STOCKTON-ON-TEES BOROUGH COUNCIL,Buprenorphine hydrochloride,2558.96
SUFFOLK COUNTY COUNCIL,Emollients,5.02
SUFFOLK GP FEDERATION,Denosumab,2396.92
SUNDERLAND CITY COUNCIL,Buprenorphine hydrochloride,2380.44
SURREY AND BORDERS PARTNERSHIP NHS FOUND,Lisdexamfetamine dimesylate,926.43
SURREY MEDICAL NETWORK,Bisoprolol fumarate,0.19
SUSSEX COMMUNITY DERMATOLOGY SERVICE,Isotretinoin,3525.67
SUSSEX COMMUNITY NHS FOUNDATION TRUST,Sacubitril/valsartan,514.0
SYDENHAM HOUSE MEDICAL PRACTICE,Isotretinoin,170.56
TETBURY HOSPITAL TRUST LTD,Capsaicin,182.38
THE DUDLEY GROUP NHS FOUNDATION TRUST,Wound Management & Other Dressings,956.54
THE FORWARD TRUST,Buprenorphine hydrochloride,2038.13
THE HERNE BAY OPHTHALMOLOGY CLINIC,Ciclosporin (Eye Anti Inflammatory),123.6
THE NEWCASTLE UPON TYNE HOSPITALS NHS FO,Semaglutide,616.84
THE ROTHERHAM NHS FOUNDATION TRUST,Sacubitril/valsartan,1028.0
THE ROYAL WOLVERHAMPTON NHS TRUST,Sacubitril/valsartan,685.28
THE SOCIETY OF ST JAMES,Buprenorphine hydrochloride,1724.55
THE SUSSEX BEACON,Enteral nutrition,149.32
TORBAY AND SOUTH DEVON NHS FOUNDATION TR,Disulfiram,1479.14
TOWER HAMLETS TOBACCO CESSATION SERVICE,Bupropion hydrochloride,78.58
TURNING POINT,Buprenorphine hydrochloride,9418.55
UNIDENTIFIED,Leg Bags,2815.74
UNIVERSITY HOSPITALS OF MORECAMBE BAY NH,Wound Management & Other Dressings,4570.65
UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,Ciprofloxacin,104.96
UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATI,Isotretinoin,511.64
VOCARE,Nitrofurantoin,311.49
WARRINGTON AND HALTON TEACHING HOSPITALS,Sodium chloride,113.79
WARRINGTON BOROUGH COUNCIL,Buprenorphine hydrochloride,2449.88
WE ARE WITH YOU,Buprenorphine hydrochloride,3700.85
WEST BERKSHIRE COUNCIL,Methadone hydrochloride,7.63
WEST LONDON NHS TRUST,Paliperidone,881.45
WEST SUFFOLK NHS FOUNDATION TRUST,Melatonin,486.47
WESTMINISTER DRUG PROJECT,Buprenorphine hydrochloride,1569.76
WESTON HOSPICECARE,Oxycodone hydrochloride,96.02
WHITSTABLE MEDICAL PRACTICE,Acitretin,409.34
WIGAN METROPOLITAN BOROUGH COUNCIL,Buprenorphine hydrochloride,759.49
WILTSHIRE HEALTH & CARE,Other Appliances,85.16
WIRRAL COMMUNITY HEALTH AND CARE NHS FOU,Sacubitril/valsartan,2227.33
"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDA",Goserelin acetate,1978.69
WYE VALLEY NHS TRUST,Wound Management & Other Dressings,1129.2
YORK AND SCARBOROUGH TEACHING HOSPITALS ,Sacubitril/valsartan,257.0
YORKSHIRE AMBULANCE SERVICE NHS TRUST,Alginic acid compound preparations,12.45
