Prescriber,Substancia,Quantidade
ABINGTON MEDICAL CENTRE,Atorvastatin,1274
ABINGTON PARK SURGERY,Atorvastatin,1616
ABOUT HEALTH LN DERMATOLOGY,Adapalene and benzoyl peroxide,1
ABOUT HEALTH LTD,Emollients,179
ABRIDGE SURGERY,Atorvastatin,323
ACCIDENT AND EMERGENCY WWL,Doxycycline hyclate,4
ACCT 2,Clotrimazole,2
ACE LTD OOH,Methotrexate,190
ACHE CLINIC,Clobetasol propionate,29
ACHIEVE BOLTON RECOVERY SERVICE,Methadone hydrochloride,1713
ACKLAM MEDICAL CENTRE,Atorvastatin,1076
ACLE MEDICAL PARTNERSHIP,Atorvastatin,1092
ACMH-INTENSIVE HOME TREATMENT TEAM,Diazepam,1
ACOCKS GREEN MEDICAL CENTRE,Atorvastatin,434
ACORN MEDICAL CENTRE,Atorvastatin,351
ACORN MEDICAL PRACTICE,Atorvastatin,311
ACORN PRACTICE,Omeprazole,294
ACORN SURGERY,Atorvastatin,853
ACORNS CHILDREN'S HOSPICE,Levetiracetam,1
ACORNS CHILDRENS HOSPICE WALSALL,Domperidone,1
ACRE SURGERY,Atorvastatin,354
ACREFIELD SURGERY,Atorvastatin,120
ACTIVE RECOVERY (CICS),Skin Fillers And Protectives,22
ACTON LANE MEDICAL CENTRE,Atorvastatin,151
ACTON TOWN MEDICAL CENTRE,Atorvastatin,129
ACUTE ADULT MENTAL HEALTH (WEST),Methylphenidate hydrochloride,4
ACUTE AND URGENT CARE,Citalopram hydrobromide,1
ACUTE GP REFERRAL SERVICE,Ferrous sulfate,4
ACUTE LIAISON PSYCHIATRY SERVICE (ALPS),Citalopram hydrobromide,1
ACUTE MEDICINE DIR.,Wound Management & Other Dressings,3
ACUTE MENTAL HEALTH,Methylphenidate hydrochloride,11
ADAM HOUSE MEDICAL CENTRE,Atorvastatin,454
ADDACTION WIGAN & LEIGH (LEIGH),Methadone hydrochloride,611
ADDACTION WIGAN & LEIGH (WIGAN),Methadone hydrochloride,767
ADDERLEY GREEN SURGERY,Atorvastatin,815
ADDICTIONS SERVICE,Methadone hydrochloride,1555
ADDINGHAM SURGERY,Atorvastatin,482
ADDINGTON MEDICAL CENTRE,Atorvastatin,385
ADDINGTON MEDICAL PRACTICE,Levothyroxine sodium,562
ADDINGTON ROAD SURGERY,Atorvastatin,461
ADDISON HOUSE - HAQUE PRACTICE,Atorvastatin,1247
ADDISON ROAD MEDICAL PRACTICE,Atorvastatin,590
ADEL BECK SCH,Melatonin,5
ADELAIDE MEDICAL CENTRE,Atorvastatin,922
ADELAIDE STREET SURGERY,Atorvastatin,1795
ADHD CLINIC,Lisdexamfetamine dimesylate,19
ADHD SERVICE,Atomoxetine hydrochloride,1
ADHD SERVICE - CLINICAL PARTNERS,Methylphenidate hydrochloride,1
ADHD SPECIALIST NURSING TEAM,Methylphenidate hydrochloride,275
ADLER JS-THE SURGERY,Levothyroxine sodium,348
ADLINGTON MEDICAL CENTRE,Atorvastatin,600
ADSHALL ROAD MEDICAL PRAC,Atorvastatin,485
ADULT ADHD CHESHIRE PRIORY SERVICE,Lisdexamfetamine dimesylate,4
ADULT ADHD CLINIC,Lisdexamfetamine dimesylate,179
ADULT ADHD HALTON,Methylphenidate hydrochloride,52
ADULT ADHD KNOWSLEY,Lisdexamfetamine dimesylate,45
ADULT ADHD KNOWSLEY NMP,Lisdexamfetamine dimesylate,4
ADULT ADHD SERVICE,Lisdexamfetamine dimesylate,142
ADULT ADHD SERVICE NMP 1,Methylphenidate hydrochloride,14
ADULT ADHD WIGAN,Methylphenidate hydrochloride,111
ADULT COMMUNITY NURSING,Wound Management & Other Dressings,1481
ADULT COMMUNITY NURSING SERVICE,Elastic Hosiery,1
ADULT COMMUNITY SERVICES,Macrogol 3350,2
ADULT DRUG & ALCOHOL SERVICE,Methadone hydrochloride,1163
ADULT LD COMM SERVICES NW,Lisdexamfetamine dimesylate,32
ADULT LEARNING DISABILITY SERVICE,Lorazepam,3
ADULT MENTAL HEALTH COMMUNITY,Methylphenidate hydrochloride,74
ADULT MH COMMUNITY - LYMEBROOK,Methylphenidate hydrochloride,25
ADULT MH COMMUNITY - SUTHERLAND CENTRE,Quetiapine,18
ADUR HEALTH PARTNERSHIP,Atorvastatin,1920
ADUR MIAMI GP ACCESS HUB,Amoxicillin,3
AEGIS MEDICAL CENTRE,Atorvastatin,501
AELFGAR SURGERY,Atorvastatin,545
AGEING WELL,Amoxicillin,1
AILSA CRAIG MEDICAL CENTRE,Atorvastatin,783
AILSWORTH MEDICAL CENTRE,Atorvastatin,438
AINSDALE MEDICAL CENTRE,Atorvastatin,1117
AINSDALE VILLAGE SURGERY,Atorvastatin,412
AINTREE PARK GROUP PRACTICE,Atorvastatin,1540
AINTREE ROAD MEDICAL CENTRE,Atorvastatin,196
AIR BALLOON SURGERY,Atorvastatin,801
AIRE VALLEY SURGERY,Atorvastatin,730
AIREBOROUGH COMMUNITY CARE,Oxycodone hydrochloride,2
AIREBOROUGH FAMILY PRACTICE,Atorvastatin,573
AKERMAN MEDICAL PRACTICE,Atorvastatin,327
AL FAL MEDICAL GROUP,Atorvastatin,451
AL-SHAFA MEDICAL CENTRE,Atorvastatin,721
AL-SHIFA MEDICAL CENTRE,Atorvastatin,238
AL-WAQAS MEDICAL CENTRE,Atorvastatin,555
ALBANY HOUSE MEDICAL CENTRE,Atorvastatin,1655
ALBANY HOUSE SURGERY,Atorvastatin,429
ALBANY PRACTICE,Atorvastatin,543
ALBANY SURGERY,Atorvastatin,672
ALBERT ROAD SURGERY,Atorvastatin,535
ALBION HEALTH CENTRE,Atorvastatin,703
ALBION MEDICAL PRACTICE,Atorvastatin,886
ALBION PLACE MEDICAL PRACTICE,Levothyroxine sodium,784
ALBION STREET GROUP PRACTICE,Atorvastatin,712
ALBION SURGERY,Atorvastatin,518
ALBRIGHTON MEDICAL PRACT,Atorvastatin,924
ALCESTER HEALTH CENTRE,Omeprazole,417
ALCHESTER MEDICAL GROUP,Atorvastatin,1354
ALCONBURY SURGERY,Omeprazole,1399
ALDBOROUGH SURGERY,Amlodipine,305
ALDERLEY EDGE MEDICAL CENTRE,Atorvastatin,633
ALDERMOOR SURGERY,Atorvastatin,466
ALDERSBROOK MEDICAL CENTRE,Atorvastatin,342
ALDERWOOD MEDICAL PRACTICE,Atorvastatin,638
ALDINE HOUSE SCH,Azelastine hydrochloride,1
ALEX CENTRE UNREGISTERED WIC,Flucloxacillin sodium,1
ALEXANDER HOUSE SURGERY,Atorvastatin,736
ALEXANDRA & CRESTVIEW SURGERIES,Atorvastatin,1079
ALEXANDRA GROUP MED PRACT,Atorvastatin,584
ALEXANDRA MEDICAL CENTRE,Atorvastatin,230
ALEXANDRA SURGERY,Atorvastatin,283
ALFRED SQUIRE ROAD SURGERY,Atorvastatin,762
ALICE HOUSE HOSPICE,Morphine sulfate,13
ALL SAINTS MEDICAL CENTRE PMS,Amlodipine,265
ALL SAINTS SURGERY,Atorvastatin,459
ALLERTON MEDICAL CENTRE,Atorvastatin,814
ALLESLEY PARK MEDICAL CTR,Omeprazole,702
ALLESLEY VILLAGE SURGERY,Atorvastatin,494
ALLIANCE TEACHING PRACTICES,Atorvastatin,796
ALLPORT MEDICAL CENTRE,Atorvastatin,390
ALMA MEDICAL CENTRE,Atorvastatin,1203
ALMA ROAD SURGERY,Atorvastatin,1627
ALMOND ROAD SURGERY,Omeprazole,609
ALMONDSBURY SURGERY,Atorvastatin,284
ALNWICK MEDICAL GROUP,Atorvastatin,2706
ALPERTON MEDICAL CENTRE,Atorvastatin,503
ALPHA MEDICAL PRACTICE,Atorvastatin,559
ALPINE HOUSE SURGERY,Atorvastatin,888
ALRESFORD SURGERY,Atorvastatin,879
ALREWAS,Atorvastatin,442
ALSTON MEDICAL PRACTICE,Atorvastatin,267
ALTON STREET SURGERY,Omeprazole,687
ALTON SURGERY,Omeprazole,325
ALTRINCHAM MEDICAL PRACTICE,Atorvastatin,451
ALUM ROCK MEDICAL CENTRE,Atorvastatin,805
ALVANLEY FAMILY PRACTICE,Atorvastatin,542
ALVASTON MEDICAL CENTRE,Atorvastatin,1100
ALVELEY MEDICAL PRACTICE,Atorvastatin,432
ALVERTHORPE,Atorvastatin,362
ALWOODLEY MEDICAL CENTRE,Atorvastatin,1763
AMAANAH MEDICAL PRACTICE,Atorvastatin,248
AMBAR MEDICAL CENTRE,Atorvastatin,141
AMBER VALLEY HEALTH,Flucloxacillin sodium,8
AMBLESIDE HEALTH CENTRE,Atorvastatin,744
AMBROSE AVENUE GROUP PRACTICE,Levothyroxine sodium,1773
AMERSHAM HEALTH CENTRE,Atorvastatin,547
AMERSHAM VALE TRAINING PRACTICE,Salbutamol,256
AMHERST MEDICAL PRACTICE,Atorvastatin,1078
AMICUS HEALTH,Omeprazole,1097
AMMONITE HEALTH PARTNERSHIP,Atorvastatin,2662
AMP HEALTHCARE CARPAL TUNNEL SERV,Catheters,1
AMPLEFORTH SURGERY,Atorvastatin,543
AMPTHILL PRACTICE,Atorvastatin,525
AMWELL GROUP PRACTICE,Atorvastatin,375
AMWELL SURGERY,Atorvastatin,1310
ANCHOR MEDICAL PRACTICE,Lansoprazole,415
ANCOATS URBAN VILLAGE MEDICAL PRACTICE,Atorvastatin,739
ANCORA MEDICAL PRACTICE,Atorvastatin,2277
ANDAMAN SURGERY,Atorvastatin,439
ANDOVER MEDICAL CENTRE,Atorvastatin,252
ANERLEY SURGERY,Atorvastatin,162
ANFIELD GROUP PRACTICE,Atorvastatin,748
ANGEL HILL SURGERY,Atorvastatin,1502
ANGEL LANE SURGERY,Atorvastatin,1012
ANGEL LODGE,Amoxicillin,13
ANGEL MEDICAL PRACTICE,Hydroxocobalamin,27
ANGEL SURGERY,Amlodipine,384
ANGLIA COMMUNITY EYE SERVICE,Latanoprost,5
ANN MARIE HOWES CENTRE,Skin Fillers And Protectives,95
ANNANDALE MEDICAL CENTRE,Atorvastatin,441
ANNFIELD PLAIN SURGERY,Atorvastatin,547
ANSDELL MEDICAL CENTRE,Atorvastatin,1222
ANTICOAG SERVICE SOUTH DOC,Warfarin sodium,201
ANTICOAGULATION - HOLLYWOOD PRACTICE,Warfarin sodium,8
ANTICOAGULATION - INTRAHEALTH,Phenoxymethylpenicillin (Penicillin V),3
ANTICOAGULATION SERVICE - GR PHARMACY,Warfarin sodium,129
APCOS HEADCORN EYE CENTRE,Eye Products,2
APCOS ST ANDREWS,Other individually formulated bought in preparations,1
APCOS TENTERDEN OPTICIANS,Eye Products,1
APEX MEDICAL CENTRE,Atorvastatin,652
APOLLO COURT MEDICAL CENTRE,Omeprazole,85
APOLLO SURGERY,Atorvastatin,129
APPLEBY MEDICAL PRACTICE,Atorvastatin,539
APPLETREE MEDICAL PRACTICE,Atorvastatin,511
APPLIANCE PRESCRIPTION SERVICE,Night Drainage Bags,772
APSLEY SURGERY,Atorvastatin,922
AQP ANTICOAG QE HERITAGE BUILDING,Warfarin sodium,576
AQP ANTICOAG SANDWELL HOSPITAL,Warfarin sodium,364
AR-RAZI MEDICAL CENTRE,Atorvastatin,134
ARBURY MEDICAL CENTRE,Atorvastatin,820
ARBURY ROAD SURGERY,Atorvastatin,843
ARC,Paracetamol,14
ARCADIAN GARDENS SURGERY,Atorvastatin,411
ARCH HEALTHCARE,Quetiapine,533
ARCHERS PRACTICE,Omeprazole,294
ARCHWAY MEDICAL CENTRE,Sertraline hydrochloride,292
ARCHWAY SURGERY,Atorvastatin,124
ARCHWOOD MEDICAL PRACTICE,Lansoprazole,679
ARDEN HOUSE MEDICAL PRACTICE,Atorvastatin,269
ARDEN MEDICAL CENTRE,Atorvastatin,279
ARDEN MEMORY SERVICES,Donepezil hydrochloride,41
ARDEN MH ACUTE TEAM,Olanzapine,2
ARDINGLY COURT SURGERY,Atorvastatin,479
ARDWICK MEDICAL PRACTICE,Atorvastatin,287
ARGYLE HEALTH-ISLEWORTH PRACTICE,Atorvastatin,913
ARGYLL HOUSE,Omeprazole,403
ARLESEY MEDICAL CENTRE,Atorvastatin,282
ARLINGTON ROAD SURGERY,Atorvastatin,1209
ARNOLD MEDICAL CENTRE,Atorvastatin,588
ARNOS GROVE MEDICAL CENTR,Atorvastatin,411
ARRAN MEDICAL CENTRE,Atorvastatin,442
ARTHINGTON MEDICAL CENTRE,Atorvastatin,720
ARTHROPLASTY PRACTITIONER SERVICE,Wound Management & Other Dressings,1
ARTHUR MEDICAL CENTRE,Atorvastatin,744
ARTHUR RANK HOSPICE,Morphine sulfate,7
ARUN MIAMI GP ACCESS HUB,Nitrofurantoin,1
ARUNDEL SURGERY,Atorvastatin,341
ARYAN MEDICAL CENTRE,Atorvastatin,278
ASA MEDICAL GROUP,Atorvastatin,2150
ASCOT MEDICAL CENTRE,Atorvastatin,312
ASH GROVE,Ramipril,1307
ASH SURGERY,Omeprazole,239
ASH TREE HOUSE SURGERY,Atorvastatin,962
ASH TREES SURGERY,Atorvastatin,2773
ASHBOURNE MEDICAL PRACTICE,Atorvastatin,948
ASHBURN MEDICAL CENTRE,Atorvastatin,840
ASHBURNHAM ROAD SURGERY,Atorvastatin,175
ASHBURTON PARK MEDICAL CENTRE,Atorvastatin,307
ASHBURTON SURGERY,Atorvastatin,536
ASHBY TURN PRIMARY CARE PARTNERS,Atorvastatin,1567
ASHCHURCH SURGERY,Atorvastatin,504
ASHCROFT SURGERY,Atorvastatin,2249
ASHDOWN FOREST HEALTH CENTRE,Atorvastatin,950
ASHFIELD HOUSE (ANNESLEY),Atorvastatin,700
ASHFIELD MEDICAL CENTRE,Atorvastatin,1297
ASHFIELD ROAD SURGERY,Atorvastatin,485
ASHFIELD SURGERY,Atorvastatin,801
ASHFIELDS PRIMARY CARE CENTRE,Atorvastatin,1618
ASHFORD ANTICOAGULATION SERVICE,Warfarin sodium,94
ASHFORD GROUP,Furosemide,7
ASHFORD HUB,Doxycycline hyclate,1
ASHFORD MEDICAL PARTNERSHIP,Atorvastatin,1233
ASHFORD WIC,Amoxicillin,80
ASHGATE HOSPICE DAYCENTRE,Lymphoedema Garments,16
ASHINGDON MEDICAL CENTRE,Atorvastatin,373
ASHINGTON HOUSE SURGERY,Atorvastatin,816
ASHLEA MEDICAL PRACTICE,Atorvastatin,1007
ASHLEY CENTRE SURGERY,Atorvastatin,372
ASHLEY MEDICAL PRACTICE,Atorvastatin,156
ASHLEY SURGERY,Atorvastatin,471
ASHMORE PARK MEDICAL CENTRE,Lansoprazole,230
ASHOVER MEDICAL CENTRE,Atorvastatin,248
ASHTON GARDENS SURGERY,Amlodipine,143
ASHTON GP SERVICE,Atorvastatin,315
ASHTON MEDICAL GROUP,Atorvastatin,1691
ASHTON VIEW MEDICAL CTR,Atorvastatin,218
"ASHTON, LEIGH & WIGAN OOH",Amoxicillin,130
ASHURST PRIMARY CARE,Atorvastatin,345
ASHVILLE MEDICAL CENTRE PMS PRACTICE,Atorvastatin,1133
ASHVILLE SURGERY,Influenza,2116
ASHWELL MEDICAL CENTRE,Colecalciferol,1146
ASHWELL SURGERY,Atorvastatin,981
ASHWORTH STREET SURGERY,Omeprazole,972
ASKERN MEDICAL PRACTICE,Atorvastatin,570
ASPATRIA MEDICAL GROUP,Atorvastatin,1046
ASPEN MEDICAL PRACTICE,Atorvastatin,2052
ASPIRO HEALTHCARE,Salbutamol,5
ASPLANDS MEDICAL CENTRE,Atorvastatin,1281
ASPLEY MEDICAL CENTRE,Lansoprazole,667
ASPRI MEDICAL CENTRE,Atorvastatin,348
ASPULL SURGERY,Omeprazole,385
ASQUITH SURGERY,Atorvastatin,384
ASR MENTAL HEALTH SERVICE,Duloxetine hydrochloride,1
ASTLEY GENERAL PRACTICE,Omeprazole,188
ASTON HEALTHCARE LIMITED,Atorvastatin,1941
AT HOME SERVICE,Furosemide,18
AT MEDICS,Amlodipine,273
AT MEDICS - THE LOXFORD PRACTICE,Atorvastatin,1041
ATHENA MEDICAL CENTRE,Atorvastatin,357
ATHERLEY HOUSE SURGERY,Atorvastatin,368
ATKINSON HEALTH CENTRE,Atorvastatin,445
ATKINSON SCH,Methylphenidate hydrochloride,4
ATLANTIC MEDICAL GROUP,Atorvastatin,1393
ATLAS MEDICAL PRACTICE,Atorvastatin,1588
ATRIUM HEALTH CENTRE,Atorvastatin,699
ATTENBOROUGH SURGERY,Atorvastatin,2031
ATTLEBOROUGH SURGERY,Atorvastatin,1578
ATTWOOD GREEN HEALTH UNIT,Ciprofloxain/dexameth,1
AUBREY ROAD MEDICAL CENTRE,Atorvastatin,176
AUCKLAND MEDICAL GROUP,Atorvastatin,2465
AUCKLAND SURGERY,Atorvastatin,329
AUDLEM MEDICAL PRACTICE,Omeprazole,284
AUDLEY HEALTH CENTRE,Atorvastatin,1117
AUDLEY MILLS SURGERY,Atorvastatin,1192
AUGHTON SURGERY,Atorvastatin,458
AURORA MEDCARE,Atorvastatin,1201
AUSTEN ROAD SURGERY,Atorvastatin,230
AVELEY MEDICAL CENTRE,Atorvastatin,1086
AVENHAM SURGERY,Atorvastatin,572
AVENUE HOUSE,Quetiapine,50
AVENUE MEDICAL PRACTICE,Atorvastatin,169
AVENUE SURGERY,Atorvastatin,1492
AVISFORD MEDICAL GROUP,Omeprazole,1014
AVOCET WARD,Magnesium aspartate,1
AVON CMHS,Aripiprazole,6
AVON VALLEY PRACTICE,Atorvastatin,880
AVONSIDE HEALTH CENTRE,Omeprazole,512
AW SURGERIES,Lansoprazole,1352
AWBURN HOUSE MEDICAL PRACTICE,Atorvastatin,511
AXBRIDGE SURGERY,Atorvastatin,889
AXMINSTER MEDICAL PRACTICE,Atorvastatin,1654
AYLESBURY SURGERY,Atorvastatin,294
AYLESFORD MEDICAL CENTRE,Atorvastatin,745
AYLESHAM MEDICAL PRACTICE,Atorvastatin,544
AYLESTONE HEALTH CENTRE,Atorvastatin,389
AYLMER LODGE COOKLEY PARTNERSHIP,Atorvastatin,950
AYTON AND SNAINTON MEDICAL PRACTICE,Atorvastatin,1358
B & A CCG EXTENDED HOURS SERVICE,Amoxicillin,133
B&H EXTENDED HOURS SERVICE,Flucloxacillin sodium,59
B&H INTERMEDIATE CARE SERVICE,Paracetamol,30
B&I PCN HUB,Amoxicillin,6
B'WATER CH CN WARRINGTON,Wound Management & Other Dressings,1430
BABYLON GP AT HAND BIRMINGHAM,Sertraline hydrochloride,49
BACON LANE SURGERY,Atorvastatin,862
BACON ROAD MEDICAL CENTRE,Lansoprazole,408
BADDELEY GREEN SURGERY,Atorvastatin,506
BADDOW VILLAGE SURGERY,Atorvastatin,1874
BADGER AVS,Furosemide,6
BADGER GROUP OOH,Amoxicillin,598
BADGER OOH,Amoxicillin,1
BADGER OUT OF HOURS SERVICE,Amoxicillin,117
BADGERSWOOD SURGERY,Atorvastatin,1492
BAGARY'S MEDICAL PRACTICE,Atorvastatin,679
BAILDON MEDICAL PRACTICE,Atorvastatin,720
BAKERSFIELD MEDICAL CENTRE,Atorvastatin,275
BALAAM STREET PRACTICE,Atorvastatin,498
BALANCE STREET,Atorvastatin,1463
BALDERTON SURGERY,Atorvastatin,657
BALDWINS LANE SURGERY,Atorvastatin,601
BALFOUR MEDICAL CENTRE,Atorvastatin,435
BALFOUR ROAD SURGERY,Atorvastatin,523
BALHAM HEALTH CENTRE,Atorvastatin,111
BALHAM PARK SURGERY,Colecalciferol,634
BALL TREE SURGERY,Omeprazole,867
BALLARDS WALK SURGERY,Atorvastatin,658
BALLATER SURGERY,Omeprazole,307
BALMORAL GARDENS,Atorvastatin,437
BALMORAL SURGERY,Atorvastatin,742
BALMORE PARK SURGERY,Atorvastatin,1028
BALSALL COMMON & MERIDEN GROUP PRACTICE,Atorvastatin,1317
BALSALL HEATH HEALTH CENTRE (S),Lansoprazole,150
BAMPTON SURGERY,Atorvastatin,908
BANBURY CROSS HEALTH CENTRE,Atorvastatin,2530
BANBURY ROAD MEDICAL CENTRE,Atorvastatin,299
BANCROFT MEDICAL CENTRE,Atorvastatin,1323
BANES BLADDER AND BOWEL TEAM,Catheters,162
BANES COMMUNITY NURSING,Lymphoedema Garments,91
BANES COMMUNITY PAEDIATRICS,Melatonin,228
BANES COPD IMPACT SERVICE,Other Appliances,1
BANES ENHANCED MEDICAL SERVICE (BEMS+),Isotretinoin,37
BANK HOUSE SURGERY,Atorvastatin,223
BANKFIELD SURGERY,Atorvastatin,1230
BANKHOUSE SURGERY,Atorvastatin,850
BANNOCKBURN SURGERY,Atorvastatin,287
BARBOURNE HEALTH CENTRE,Atorvastatin,747
BARCROFT MEDICAL CENTRE,Atorvastatin,879
BARDOC GP OOH,Amoxicillin,207
BARKANTINE WALK-IN CTR,Amoxicillin,8
BARKING & DAGENHAM CCG,Emollients,11
BARKING DRUG & ALCOHOL RECOVERY,Methadone hydrochloride,353
BARKING HOSPITAL URGENT TREATMENT CENTRE,Amoxicillin,99
BARKING MEDICAL GROUP PRACTICE,Atorvastatin,784
BARLBOROUGH MEDICAL PRACTICE,Atorvastatin,611
BARLBY SURGERY,Atorvastatin,727
BARLOW MEDICAL CENTRE,Atorvastatin,690
BARN SURGERY,Atorvastatin,315
BARNARD CASTLE SURGERY,Atorvastatin,1242
BARNARD MEDICAL GROUP,Atorvastatin,1265
BARNBURGH SURGERY,Atorvastatin,344
BARNBY GATE SURGERY,Atorvastatin,1262
BARNET CCG-CLCH (NMP),Wound Management & Other Dressings,1905
BARNET COPD SERVICE,Ramipril,6
BARNET FEDERATED GPS LIMITED,Amoxicillin,135
BARNETBY MEDICAL CENTRE,Atorvastatin,418
BARNFIELD HILL SURGERY,Atorvastatin,686
BARNOLDSWICK MED CTR,Lansoprazole,738
BARNSBURY MEDICAL PRACTICE,Atorvastatin,188
BARNSLEY DRUG & ALCOHOL SERVICE,Methadone hydrochloride,1216
BARNSLEY HOSPICE,Oxycodone hydrochloride,1
BARNSLEY ROAD SURGERY,Atorvastatin,188
BARNSLEY SEXUAL HEALTH SERVICE,Doxycycline monohydrate,2
BARNT GREEN SURGERY,Atorvastatin,369
BARRACK LANE MEDICAL CENTRE,Atorvastatin,1219
BARRINGTON MEDICAL CENTRE,Atorvastatin,606
BARROW HEALTH CENTRE,Atorvastatin,459
BARROWFORD SURGERY,Ramipril,167
BARTHOLOMEW MEDICAL GROUP,Atorvastatin,1972
BARTLEMAS SURGERY,Atorvastatin,711
BARTLETT GROUP PRACTICE,Atorvastatin,2205
BARTLEY GREEN MEDICAL PRACTICE,Atorvastatin,483
BARTON,Atorvastatin,722
BARTON HILLS MEDICAL GROUP,Atorvastatin,473
BARTON HOUSE GROUP PRACTICE,Atorvastatin,509
BARTON HOUSE MED PRACTICE,Atorvastatin,703
BARTON SURGERY,Atorvastatin,1029
BARWELL & HOLLYCROFT MEDICAL CENTRES,Atorvastatin,1374
BASFORD HOUSE PRIMARY CARE ACCESS HUB,Amoxicillin,329
BASLOW HEALTH CENTRE,Atorvastatin,558
"BASLOW RD, SHOREHAM ST & YORK RD SRGIES",Atorvastatin,1381
BASSET LAW DERMATOLOGY SERVICE,Other emollient preparations,8
BASSETLAW HEALTH PARTNERSHIP,Wound Management & Other Dressings,69
BASSETLAW PRIMARY CARE CENTRE OOH,Flucloxacillin sodium,107
BATH ROAD SURGERY,Atorvastatin,1221
BATH ROW MEDICAL PRACTICE,Atorvastatin,319
BATH STREET MEDICAL CENTRE,Atorvastatin,142
BATHEASTON MEDICAL CENTRE,Atorvastatin,419
BATLEY HEALTH CENTRE SURGERY,Atorvastatin,457
BATTERSEA FIELDS PRACTICE,Atorvastatin,565
BATTERSEA RISE GROUP PRACTICE,Atorvastatin,325
BAWTRY AND BLYTH MEDICAL,Atorvastatin,615
BAY MEDICAL GROUP,Omeprazole,4907
BAY MEDICAL GROUP EXTENDED OOH,Amitriptyline hydrochloride,1
BB HEALTHCARE SOLUTIONS,Warfarin sodium,488
BCHC MEDICINES MANAGEMENT,Wound Management & Other Dressings,7178
BCPFT CYP&F GROUP,Nystatin,3
BDCT 0-19 CHILDRENS PH SERVICE,Emollients,2
BEACHES MEDICAL CENTRE,Atorvastatin,1451
BEACON HEALTH GROUP-DANBURY MEDICAL CTR,Atorvastatin,2705
BEACON HOUSE MINISTRIES,Flucloxacillin sodium,1
BEACON MEDICAL,Atorvastatin,1744
BEACON MEDICAL CENTRE,Atorvastatin,400
BEACON MEDICAL GROUP,Omeprazole,2632
BEACON MEDICAL PRACTICE,Atorvastatin,3725
BEACON MEDICAL SERVICES LIMITED,Bowel cleansing solutions,62
