Substancia,Valor_Medio_bruto,Valor_Medio_liquido,Maior_valor,Menor_valor
Betahistine hydrochloride,5.73,5.51,154.4,0.01
Betaine anhydrous,1198.68,1133.63,6455.86,324.3
Betamethasone esters,13.71,12.83,633.22,2.02
Betamethasone sodium phosphate,18.71,17.52,669.63,0.95
Betamethasone valerate,15.01,14.06,1201.56,1.07
Betaxolol,6.41,6.01,102.97,1.78
Bethanechol chloride,28.16,26.44,93.52,7.24
Bezafibrate,17.86,16.86,292.68,0.2
Bicalutamide,6.6,6.24,481.54,0.07
Bictegravir/emtricitabine/tenofovir alafenamide,879.51,821.95,821.95,821.95
Bifonazole,4.98,4.67,9.68,3.24
Bilastine,10.64,9.98,42.09,2.62
Bimatoprost,33.37,31.22,597.26,2.84
Biphasic insulin aspart,140.47,131.33,2458.69,5.5
Biphasic insulin lispro,97.95,91.57,1158.33,5.62
Biphasic isophane insulin,107.92,100.9,2393.66,3.38
Bisacodyl,12.83,12.22,2387.59,0.19
Bisoprolol fumarate,15.64,15.16,662.38,0.03
Boric acid,861.37,805.0,1428.69,434.57
Bosentan,1510.21,1411.37,1411.37,1411.37
Botulinum toxin type A,358.78,335.32,971.27,67.3
Bowel cleansing solutions,37.05,34.65,378.56,2.8
Brimonidine tart (Rosacea),40.11,37.5,188.95,31.48
Brimonidine tartrate,18.24,17.07,153.01,1.4
Brinzolamide,18.5,17.34,342.04,2.21
Brinzolamide and timolol,17.37,16.26,185.99,3.36
Brinzolamide/brimonidine,24.4,22.83,310.75,8.63
Brivaracetam,196.7,183.9,1942.39,2.28
Bromfenac,12.49,11.69,79.5,7.94
Bromocriptine,188.31,176.05,2617.24,4.79
Budesonide,127.31,119.02,9370.07,2.22
Bumetanide,8.64,8.28,2775.6,0.07
Bupivacaine hydrochloride,14.06,13.16,179.11,0.86
Buprenorph hydrochloride/naloxone hydrochloride,82.19,77.25,854.43,1.8
Buprenorphine,61.73,57.76,2138.53,0.21
Buprenorphine hydrochloride,134.31,127.12,16069.35,0.36
Bupropion hydrochloride,53.39,49.98,1093.09,2.71
Buserelin,105.16,98.29,98.29,98.29
Buspirone hydrochloride,27.02,25.42,2241.47,0.28
Busulfan,66.77,62.48,87.47,21.95
Butobarbital,565.8,528.79,528.79,528.79
Cabergoline,74.12,69.28,820.02,28.07
Caffeine,4.41,4.26,6.13,2.84
Calamine,2.15,2.03,26.75,0.25
Calcipotriol,81.71,76.38,2151.15,5.4
Calcitonin (Salmon),420.93,393.46,590.18,210.75
Calcitriol,19.0,17.85,226.7,0.62
Calcium acetate,12.23,11.78,516.34,0.49
Calcium acetate/magnesium carbonate,23.12,22.32,134.61,2.1
Calcium carbonate,10.81,10.26,2975.61,0.2
Calcium chloride,9.89,9.26,9.26,9.26
Calcium folinate,316.74,296.08,5457.45,9.75
Calcium gluconate,39.12,36.58,205.84,2.37
Calcium lactate,1.52,1.53,1.53,1.53
Calcium polystyrene sulfonate,157.07,147.04,460.72,34.66
Camellia sinensis extract,58.5,54.68,109.35,36.46
Canagliflozin,152.92,143.11,5422.69,1.34
Canagliflozin/metformin,76.33,71.43,989.45,1.94
Candesartan cilexetil,17.93,16.9,699.12,0.15
Cannabidiol,850.29,794.64,794.64,794.64
Capsaicin,36.51,34.14,579.71,13.63
Captopril,47.9,44.83,1822.75,0.34
Carbamazepine,12.23,11.56,5059.18,0.05
Carbimazole,9.39,8.98,1201.9,0.06
Carbocisteine,17.79,17.0,592.39,0.05
Carbomer,10.87,10.17,28.2,7.04
Carbomer 940/980,11.89,11.15,215.59,0.28
Carbomer 974P,8.33,7.8,84.11,4.21
Cariprazine,107.92,100.93,300.42,18.89
Carmellose sodium,16.29,15.24,689.72,0.15
Carvedilol,3.82,3.64,158.44,0.14
Castor oil,13.36,12.55,22.72,2.38
Catheter Maintenance Products,48.31,45.15,1556.01,2.94
Catheter Valves,26.78,25.05,1047.73,1.48
Catheters,172.83,161.52,3960.67,1.23
Cefaclor,18.79,17.59,136.09,2.11
Cefadroxil,18.82,17.67,58.67,6.27
Cefalexin,5.52,5.25,129.93,0.13
Cefixime,33.66,31.52,197.84,3.64
Cefradine,16.09,15.15,136.74,0.36
Ceftazidime pentahydrate,226.13,211.38,690.04,36.35
Ceftriaxone sodium,63.06,58.95,358.51,4.5
Cefuroxime axetil,44.3,41.43,397.47,4.27
Cefuroxime sodium,566.22,529.19,1401.82,14.31
Celecoxib,16.58,15.59,451.95,0.31
Celiprolol hydrochloride,21.99,20.59,114.41,1.33
Cenobamate,209.09,203.59,1042.07,42.63
Cervical Collar,2.77,2.6,4.62,2.3
Cetirizine hydrochloride,21.87,20.77,1090.07,0.03
Cetomacrogol,14.86,13.94,320.88,0.17
Cetrimide,4.36,4.09,249.48,0.54
Cetylpyridinium chloride,3.52,3.3,10.22,2.56
Charcoal,4.53,4.3,15.23,0.18
Chenodeoxycholic acid,7840.0,7326.92,7326.92,7326.92
Chiropody Appliances,12.2,11.41,126.16,1.03
Chlohexidine gluconate (Emollient),6.05,5.67,13.86,3.46
Chloral hydrate,646.19,604.14,6087.21,2.46
Chloramphenicol,32.49,30.41,657.78,0.65
Chlordiazepoxide hydrochloride,12.61,11.95,357.62,0.27
Chlorhex hydrochloride,2.94,2.76,8.81,2.2
Chlorhexidine acetate,24.64,23.04,75.72,2.54
Chlorhexidine gluconate,8.55,8.07,287.37,0.12
Chloroquine phosphate,13.94,13.14,48.24,1.32
Chlorothiazide,82.72,77.45,3236.46,13.68
Chloroxylenol,5.46,5.15,20.53,1.01
Chlorphenamine maleate,10.82,10.19,757.0,0.1
Chlorpromazine hydrochloride,77.35,72.4,893.72,0.28
Chlortalidone,104.29,97.55,658.27,11.08
Cholera,64.49,60.29,767.54,20.19
Cholesterol,684.37,639.57,639.57,639.57
Cholesterol/simvastatin,137.58,128.59,128.59,128.59
Choline salicylate,5.2,4.87,53.13,3.32
Choriogonadotropin alfa,188.3,175.99,422.35,35.21
Chorionic gonadotrophin,192.0,179.46,179.46,179.46
Ciclesonide,47.09,44.02,523.54,18.05
Ciclosporin,95.76,89.56,957.19,2.24
Ciclosporin (Eye Anti Inflammatory),156.2,146.01,1480.45,11.33
Cilostazol,33.39,31.27,204.76,1.92
Cimetidine,39.07,36.58,911.2,1.74
Cinacalcet hydrochloride,59.63,55.81,1410.24,0.96
Cinnarizine,10.6,10.02,164.96,0.17
Ciprofibrate,218.29,204.05,1145.22,28.74
Ciprofloxacin,8.33,7.9,512.24,0.08
Ciprofloxacin/fluocinolone,10.52,9.86,73.18,1.98
Ciprofloxain/dexameth,18.08,16.93,349.64,5.72
Citalopram hydrobromide,53.15,50.07,2583.18,0.07
Citalopram hydrochloride,18.05,16.89,418.16,7.47
Cladribine (Immunomodulating),2047.24,1913.24,1913.24,1913.24
Clarithromycin,27.86,26.16,1284.62,0.58
Clemastine fumarate,7.58,7.21,13.73,3.31
Clindamycin hydrochloride,24.24,22.78,857.51,0.21
Clindamycin phosphate,11.88,11.12,189.92,4.06
Clindamycin/tretinoin,19.15,17.92,245.62,11.16
Clobazam,64.37,60.28,2317.75,0.19
Clobetasol propionate,12.62,11.81,730.79,1.41
Clobetasone butyrate,15.62,14.63,2769.1,1.39
Clofazimine,639.24,597.46,1112.73,235.12
Clomethiazole,56.0,52.54,459.86,4.2
Clomethiazole edisilate,151.11,141.28,1232.99,29.36
Clomifene citrate,10.41,9.8,53.47,1.58
Clomipramine hydrochloride,25.7,24.08,279.04,0.22
Clonazepam,43.59,41.01,4765.08,0.44
Clonidine hydrochloride,70.37,65.89,14978.86,0.26
Clopidogrel,42.47,40.9,1394.2,0.04
Cloral betaine,517.4,483.64,483.64,483.64
Clotrimazole,15.48,14.5,476.63,1.15
Clozapine,46.01,43.38,331.82,0.22
Co-amilofruse (Amiloride hydrochloride/frusemide),21.03,19.72,241.98,0.23
Co-amilozide (Amiloride hydrochloride/hydrochlorothiazide),43.65,40.83,392.08,1.21
Co-amoxiclav (Amoxicillin/clavulanic acid),8.58,8.12,426.27,0.09
Co-beneldopa (Benserazide/levodopa),10.9,10.34,132.22,0.09
Co-careldopa (Carbidopa/levodopa),15.4,14.55,1467.24,0.07
Co-codamol (Codeine phosphate/paracetamol),24.69,23.3,2661.82,0.04
Co-cyprindiol (Cyprote acetate/ethinylestradiol),14.83,13.89,120.97,1.12
Co-danthramer (Dantron/poloxamer 188),366.33,342.37,2153.9,100.79
Co-danthrusate (Dantron/docusate sodium),405.36,378.85,861.0,215.24
Co-dydramol (Dihydrocodeine/paracetamol),33.02,30.96,2235.51,0.19
Co-fluampicil(Flucloxacillin/ampicillin),32.57,30.47,50.85,12.79
Co-flumactone (Hydroflumethiazide/spironolactone),20.05,18.83,71.47,2.64
Co-magaldrox (Magnesium/aluminium hydroxide),6.76,6.34,109.46,0.67
Co-phenotrope (Diphenox hydrochloride/atropine sulfate),563.39,526.66,2075.44,61.0
Co-proxamol (Dextropropoxyphene hydrochloride/paracetamol),360.0,336.68,2410.81,16.91
Co-simalcite (Simeticone/hydrotalcite),5.1,4.8,5.62,2.36
Co-tenidone (Atenolol/chlortalidone),3.56,3.36,38.75,0.21
Co-trimoxazole(Trimethoprim/sulfamethoxazole),7.47,7.08,153.65,0.21
Coal tar,13.36,12.51,294.49,3.23
Cocois,18.59,17.39,250.42,5.81
Cod liver oil,4.37,4.39,44.37,0.25
Codeine phosphate,12.71,12.0,1105.16,0.03
Colchicine,2.57,2.6,30.89,0.13
Colecalciferol,23.72,22.54,5701.44,0.05
Colesevelam hydrochloride,135.81,127.03,1293.4,4.3
Colestipol hydrochloride,30.58,28.61,168.8,1.99
Colestyramine,52.67,49.29,659.64,0.32
Colistimethate sodium,233.92,218.64,6904.12,3.14
Colostomy Bags,267.34,249.86,14985.25,2.03
Combined ethinylestradiol 20mcg,23.19,21.7,547.17,0.21
Combined ethinylestradiol 30mcg,16.55,15.53,1264.44,0.14
Combined ethinylestradiol 35mcg,9.15,8.58,165.37,0.18
Combined mestranol,3.23,3.05,8.2,0.79
Compound alginates and proprietary indigestion preparations,7.84,7.41,68.13,0.94
Compound antispasmodic preparations,3.03,2.84,2.84,2.84
Contraceptive Devices,19.66,18.38,295.78,8.36
Cortisone acetate,524.15,489.85,735.83,115.61
Crotamiton,7.36,6.9,101.69,2.34
Cyanocobalamin,56.05,52.82,5341.68,0.07
Cyclizine hydrochloride,6.81,6.65,734.77,0.15
Cyclizine lactate,30.0,28.09,591.02,1.16
Cycloidal Vibration Accessories,300.0,280.37,280.37,280.37
Cyclopentolate hydrochloride,15.67,14.66,185.58,7.55
Cyclophosphamide,72.68,68.02,259.83,18.3
Cyproheptadine hydrochloride,14.5,13.62,100.76,1.31
Cyproterone acetate,54.47,51.02,400.37,1.98
Dabigatran etexilate,128.05,119.83,2001.94,0.91
Dalteparin sodium,148.38,138.72,1139.89,1.74
Danazol,255.87,239.21,1463.49,15.56
Dantrolene sodium,36.64,34.4,4919.81,0.74
Dapagliflozin,437.13,408.85,15664.09,1.22
Dapagliflozin/metformin,121.41,113.54,3283.3,4.38
Dapoxetine hydrochloride,42.87,40.08,329.97,12.39
Dapsone,18.45,17.29,170.88,0.33
Darbepoetin alfa,224.37,211.06,1646.43,27.44
Darifenacin hydrobromide,65.4,61.2,571.6,1.81
Darunavir,184.97,172.94,259.87,8.46
Darunavir/cobicistat,31.72,29.76,29.76,29.76
Deferasirox,1035.72,968.04,1884.05,117.76
Deferiprone,373.36,348.97,728.95,204.22
Deflazacort,28.68,26.89,118.29,3.07
Degarelix,274.69,256.79,1813.8,120.9
Demeclocycline hydrochloride,930.54,869.97,7129.78,63.77
Denosumab,525.07,494.18,14265.78,171.02
Deodorants,15.63,14.61,375.51,2.33
Depigmenting agents,153.85,144.06,1073.8,13.15
Dequalinium chloride,11.03,10.33,60.74,6.5
Desloratadine,11.46,10.79,232.41,0.23
Desmopressin acetate,78.72,73.6,3191.47,1.06
Desogestrel,25.73,24.19,679.55,0.05
Detection Sensor Interstitial Fluid/Gluc,618.51,578.12,15114.4,23.38
Dev For Fungal Nail Infections,24.01,22.45,124.18,9.36
Dexamethasone,19.83,18.6,690.38,0.09
Dexamethasone phosphate,40.77,38.15,269.11,2.24
Dexamethasone sodium metasulphobenzoate,17.97,16.82,287.88,7.01
Dexamethasone sodium phosphate,29.13,27.26,74.79,7.59
Dexamfetamine sulfate,115.21,107.73,2799.2,2.59
Dexketoprofen,13.07,12.3,43.57,3.54
Dexpanthenol,8.12,7.61,89.18,2.5
Dextromethorphan hydrobrom compound prepartions,2.98,2.82,3.23,1.62
Dextromethorphan hydrobromide,589.04,550.5,15810.79,1.8
Diamorphine hydrochloride (Systemic),53.55,50.07,2599.99,1.88
Diazepam,8.55,8.25,2740.25,0.03
Diazoxide,257.15,240.41,4386.12,7.57
Dibrompropamidine isetionate,5.36,5.03,15.97,2.0
Dichlorobenzyl alcohol/amylmetacresol,8.91,8.34,8.34,8.34
Diclofenac diethyl,41.09,38.47,2047.12,3.24
Diclofenac potassium,16.76,15.71,83.12,0.5
Diclofenac sodium,24.74,23.16,823.52,0.07
Dicycloverine hydrochloride,307.17,287.15,2712.31,10.04
Dicycloverine hydrochloride compound preparations,9.71,9.11,67.32,2.36
Dienogest,38.5,36.0,115.97,4.94
Diethylamine salicylate,6.41,6.01,338.48,1.39
Diethylstilbestrol,214.68,200.67,731.49,61.07
Diflucortolone valerate,7.09,6.64,87.86,3.73
Digoxin,7.58,7.33,201.68,0.04
Dihydrocodeine tartrate,14.24,13.43,5169.91,0.16
Diltiazem hydrochloride,18.03,16.94,994.32,0.21
Dimenhydrinate/cinnarizine,24.59,23.08,112.19,1.68
Dimethyl fumar,603.09,563.73,2566.28,23.03
Dimeticone (Barrier),12.14,11.41,493.9,0.12
Dimeticone (Parasiticidal),9.43,8.83,44.88,3.07
Dinoprostone,33.0,30.95,30.95,30.95
Diphenhydramine hydrochloride,9.0,8.53,121.5,0.22
Diphtheria,42.85,40.04,5423.33,7.29
Dipipanone hydrochloride,1004.9,939.25,5765.31,82.36
Dipyridamole,42.44,39.7,1253.42,3.48
Discharge Solidifying Agents,67.14,62.82,1060.44,0.29
Disopyramide,44.11,41.31,239.12,2.24
Disopyramide phosphate,43.34,40.9,359.84,7.61
Distigmine bromide,689.84,644.7,644.7,644.7
Disulfiram,157.47,147.37,5094.65,6.49
Dithranol,5.99,5.61,28.2,3.52
Docusate sodium,27.9,26.41,3719.97,0.13
Dolutegravir/rilpivirine,699.02,653.28,653.28,653.28
Domperidone,14.09,13.26,599.4,0.12
Donepezil hydrochloride,14.33,13.74,1048.74,0.07
Doravirine,471.41,440.56,440.56,440.56
Dornase alfa,699.6,654.76,2319.73,433.11
Dorzolamide,30.19,28.24,497.28,3.61
Dorzolamide and timolol,32.35,30.26,1336.24,1.51
Dosulepin hydrochloride,23.35,21.88,1295.48,0.23
Doxazosin mesilate,12.69,12.03,372.14,0.03
Doxepin,293.25,274.11,4317.64,3.35
Doxepin hydrochloride,22.84,21.36,153.21,12.77
Doxycycline hyclate,8.87,8.56,559.41,0.21
Doxycycline monohydrate,20.09,18.83,192.76,0.57
Doxylamine succinate/pyridoxine hydrochloride,77.33,72.3,426.18,5.55
Dronabinol/cannabidiol,377.11,354.07,1682.2,93.57
Dronedarone hydrochloride,102.75,96.13,707.19,1.17
Dry Mouth Products,11.13,10.42,594.53,0.8
Dulaglutide,328.81,307.34,9516.52,17.11
Duloxetine hydrochloride,39.65,37.27,1479.14,0.2
Dutasteride,6.66,6.37,134.44,0.18
Dydrogesterone,1108.8,1036.34,2121.98,329.44
Econazole nitrate,6.19,5.8,66.26,3.48
Edoxaban,487.13,455.5,16532.39,1.64
Eflornithine monohydrate chloride,78.45,73.33,372.12,53.15
Elastic Hosiery,33.17,31.02,2085.15,3.6
Elbasvir/grazoprevir,434.52,406.19,406.19,406.19
Eletriptan,58.03,54.25,504.73,7.12
Eltrombopag,2156.0,2014.97,4317.61,359.91
Emollient bath and shower preparations,13.66,12.79,730.81,0.12
Emollients,23.19,21.72,2879.09,0.12
Empagliflozin,368.19,344.34,9029.09,1.34
Empagliflozin/linagliptin,111.55,104.3,2611.42,3.84
Empagliflozin/metformin,130.0,121.57,4754.81,3.06
Emtricitabine,88.02,82.32,129.9,34.75
Emtricitabine and tenofovir alafenamide,355.73,332.46,332.46,332.46
Emtricitabine and tenofovir disoproxil,290.51,271.63,466.08,33.35
Emulsifying wax,48.51,45.35,252.17,15.52
Enalapril maleate,15.08,14.17,715.83,0.2
Enalapril maleate with diuretic,35.9,33.58,448.49,4.79
Enoxaparin,152.59,142.66,1479.17,1.95
Entacapone,16.31,15.36,368.48,0.21
Entecavir,508.6,475.39,2218.06,11.43
Enteral nutrition,125.84,117.65,5431.93,0.46
Enzalutamide,2734.67,2568.18,2605.68,2555.68
Ephedrine hydrochloride,366.24,342.31,4102.18,1.79
Epinastine hydrochloride,16.24,15.19,111.02,9.25
Eplerenone,23.55,22.21,597.74,0.28
Epoetin alfa,238.8,226.07,1488.63,31.12
Epoetin beta,240.67,224.97,786.63,13.22
Epoetin zeta,115.4,107.86,161.77,53.94
Eprosartan,27.77,26.0,1311.12,1.71
Erdosteine,13.44,12.63,79.65,1.51
Erenumab (old),386.5,361.21,361.21,361.21
Ergocalciferol,62.67,58.68,886.63,0.18
Ertapenem sodium,216.27,202.13,295.81,59.17
Ertugliflozin,72.12,67.46,1264.16,2.19
Erythromycin,12.21,11.45,387.83,0.02
Erythromycin ethylsuccinate,25.01,23.39,736.17,1.55
Erythromycin stearate,17.9,16.85,408.28,2.15
Escitalopram,8.31,7.88,330.08,0.15
Eslicarbazepine acetate,174.52,163.21,831.14,6.47
Esomeprazole,27.46,25.77,815.28,0.17
Estradiol,32.16,30.11,1907.18,0.17
Estradiol and estriol with progestogen,13.75,12.9,83.06,3.6
Estradiol and nomegestrol,27.79,26.0,148.08,4.75
Estradiol valandestradiol valerate with dienogest,33.95,31.81,94.38,6.05
Estradiol valerate,9.46,8.9,68.23,0.2
Estradiol with progestogen,59.78,55.92,2477.81,0.35
"Estradiol, estriol and estrone",13.2,12.9,12.9,12.9
Estriol,40.98,38.34,1192.8,1.16
Etanercept,993.25,928.28,2004.6,167.16
Ethambutol hydrochloride,40.05,37.54,179.74,2.42
Ethinylestradiol,2284.23,2134.72,3794.25,834.27
Ethosuximide,567.34,530.24,3156.83,16.28
Etodolac,35.37,33.17,627.22,2.52
Etonogestrel,259.97,242.99,3275.21,77.97
Etonogestrel/ethinylestradiol,50.08,46.83,444.29,9.25
Etoposide,399.28,373.17,373.17,373.17
Etoricoxib,18.06,16.94,521.74,0.24
Everolimus,4.95,4.74,7.05,2.43
Evolocumab,455.63,425.82,953.81,159.08
Exemestane,38.4,35.99,497.92,1.56
Exenatide,136.15,127.26,1645.69,17.25
Eye Products,21.94,20.54,1947.0,0.18
Ezetimibe,28.67,27.14,574.13,0.24
Faecal Collectors,58.92,55.07,408.26,17.01
Famciclovir,741.74,693.28,4464.7,49.94
Famotidine,131.49,123.05,2409.34,0.64
Febuxostat,14.73,13.82,273.23,0.21
Felbamate,4672.61,4366.81,11887.4,1422.37
Felbinac,9.46,8.85,22.55,2.12
Felodipine,43.61,40.91,1664.21,0.24
Fenofibrate,12.06,11.36,303.91,0.42
Fentanyl,70.02,65.47,6818.54,1.41
Fentanyl citrate,21.7,20.31,80.39,2.79
Ferric maltol,69.78,65.33,444.92,5.67
Ferrous fumarate,16.95,16.31,788.53,0.05
Ferrous gluconate,4.22,4.04,235.58,0.19
Ferrous sulfate,15.99,15.2,841.11,0.04
Fesoterodine fumarate,58.57,54.81,578.52,6.14
Fexofenadine hydrochloride,16.87,16.01,1441.73,0.16
Fidaxomicin,1426.7,1333.33,2523.29,1261.63
Filgrastim,349.1,326.29,591.02,46.98
Filters/Bridges,61.29,57.28,646.7,9.37
Finasteride,94.27,88.64,1572.3,0.21
Finerenone,36.68,34.29,34.29,34.29
Fingolimod,1960.0,1831.72,2747.58,1373.79
Flanges,90.46,84.54,327.28,15.36
Flavoxate hydrochloride,14.14,13.33,401.69,0.84
Flecainide acetate,8.19,7.76,159.67,0.15
Flubiprofen,6.12,5.75,16.21,3.21
Flucloxacillin magnesium,16.04,15.0,15.0,15.0
Flucloxacillin sodium,20.48,19.3,1755.87,0.2
Fluconazole,6.48,6.08,1641.82,0.13
Fludrocortisone acetate,23.11,21.78,3344.71,0.28
Fludroxycortide,51.65,48.28,1763.03,5.6
Flumetasone pivalate,14.76,13.81,74.2,10.6
Flunarizine dihydrochloride,257.61,241.06,1187.85,47.98
