Prescriber,Substancia,Maior_valor
DMC COMMUNITY OUTPATIENT SERVICES,Isotretinoin,1647.72
DURHAM COUNTY COUNCIL,Buprenorphine hydrochloride,824.06
EAST KENT HOSPITALS UNIVERSITY NHS FOUND,Nitrofurantoin,551.21
EAST LANCASHIRE MEDICAL SERVICES LTD,Nitrofurantoin,613.45
EAST SUFFOLK AND NORTH ESSEX NHS FOUNDAT,Lymphoedema Garments,1512.61
EAST SUSSEX HEALTHCARE NHS TRUST,Wound Management & Other Dressings,1675.23
EDP DRUG AND ALCOHOL SERVICES,Buprenorphine hydrochloride,1224.88
EPSOM AND ST HELIER UNIVERSITY HOSPITALS,Skin Fillers And Protectives,19.09
ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDAT,Buprenorphine,16.46
FAVERSHAM MEDICAL PRACTICE MIU,Dexamethasone,76.71
FRAMEWORK,Acamprosate calcium,97.5
GATESHEAD METROPOLITAN BOROUGH COUNCIL,Buprenorphine hydrochloride,1355.32
GLOUCESTERSHIRE CARE SERVICES NHS TRUST,Piroxicam,26.42
GLOUCESTERSHIRE HEALTH AND CARE NHS FOUN,Lorazepam,276.63
GREAT WESTERN HOSPITALS NHS FOUNDATION T,Dalteparin sodium,197.89
GREATER MANCHESTER MENTAL HEALTH NHS FOU,Methylphenidate hydrochloride,1445.08
GREENBROOK HEALTHCARE,Flucloxacillin sodium,175.82
GTD HEALTHCARE,Rivaroxaban,1415.28
GUY'S AND ST THOMAS' NHS FOUNDATION TRUS,Wound Management & Other Dressings,2863.7
HARROGATE AND DISTRICT NHS FOUNDATION TR,Wound Management & Other Dressings,501.11
HARTLEPOOL BOROUGH COUNCIL,Emollients,11.76
HCRG CARE LTD,Nitrofurantoin,17.78
HCRG CARE SERVICES LTD,Apremilast,2056.02
HEALTHHARMONIE LIMITED,Isotretinoin,839.58
HERE,Progesterone,302.29
HEREFORDSHIRE AND WORCESTERSHIRE HEALTH ,Isocarboxazid,349.3
HERNE BAY HEALTH CARE LTD,Phosphates (Rectal),52.22
HERTFORDSHIRE COMMUNITY NHS TRUST,Calcium folinate,3508.36
HOMERTON UNIVERSITY HOSPITAL NHS FOUNDAT,Lymphoedema Garments,517.7
HUMANKIND,Buprenorphine hydrochloride,3494.21
HUMBER TEACHING NHS FOUNDATION TRUST,Catheters,138.92
INHEALTH LIMITED,Fluticasone propionate/azelastine hydrochloride (Nasal),553.74
INTEGRATED CARE 24 LTD,Nitrofurantoin,443.56
ISIGHT,Bimatoprost,197.06
ISLE OF WIGHT NHS TRUST,Nitrofurantoin,443.56
KENT COMMUNITY HEALTH NHS FOUNDATION TRU,Nitrofurantoin,275.61
KING'S COLLEGE HOSPITAL NHS FOUNDATION T,Nitrofurantoin,266.72
KIRKLEES COUNCIL,Buprenorphine hydrochloride,4441.25
LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATIO,Insulin Lispro,27.54
LANCASTER HOUSE CONSULTING DIAGNOSTICS S,Catheters,2801.57
LEEDS CITY COUNCIL,Methadone hydrochloride,2402.65
LEEDS COMMUNITY HEALTHCARE NHS TRUST,Clonidine hydrochloride,599.2
LEWISHAM AND GREENWICH NHS TRUST,Sacubitril/valsartan,684.63
LINCOLNSHIRE AND DISTRICTS MEDICAL SERVI,Prednisolone sodium metasulphobenzoate,191.55
LINCOLNSHIRE COMMUNITY HEALTH SERVICES N,Enoxaparin,905.63
LIVERPOOL UNIVERSITY HOSPITALS NHS FOUND,Apixaban,447.57
LIVES,Haloperidol,107.91
LIVEWELL SOUTHWEST,Buprenorphine hydrochloride,1924.0
LIVI,Benzoyl peroxide and clindamycin phosphate,24.57
LLR PROVIDER COMPANY LTD,Fluorouracil (Sunscreen),584.42
LOCALA COMMUNITY PARTNERSHIPS CIC,Ulipristal acetate (Emergency Contraceptive),118.28
LONDON AMBULANCE SERVICE NHS TRUST,Nitrofurantoin,462.31
LONDON CENTRAL AND WEST UNSCHEDULED CARE,Levomepromazine maleate,231.03
LONDON NORTH WEST UNIVERSITY HEALTHCARE ,Combined ethinylestradiol 20mcg,255.35
MANCHESTER UNIVERSITY NHS FOUNDATION TRU,Skin Fillers And Protectives,1101.62
MEDWAY COMMUNITY HEALTHCARE,Venous Ulcer Compression System,2468.93
MERSEY CARE NHS FOUNDATION TRUST,Lisdexamfetamine dimesylate,769.46
MIDDLESBROUGH BOROUGH COUNCIL,Buprenorphine hydrochloride,2761.3
MIDLANDS PARTNERSHIP NHS FOUNDATION TRUS,Semaglutide,2464.54
MILLENNIUM HEALTH LTD,Phenoxymethylpenicillin (Penicillin V),353.69
NAVIGO HEALTH AND SOCIAL CARE CIC,Chlorpromazine hydrochloride,315.42
NEW HAYESBANK SURGERY CLINICS,Ciclosporin (Eye Anti Inflammatory),269.17
NEW MEDICAL SYSTEMS LIMITED,Ciclosporin (Eye Anti Inflammatory),201.87
NEWCASTLE CITY COUNCIL,Buprenorphine hydrochloride,1969.49
"NHS BATH AND NORTH EAST SOMERSET, SWINDO",Apixaban,11934.45
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNE",Edoxaban,11266.49
NHS BIRMINGHAM AND SOLIHULL ICB - 15E,Apixaban,16957.94
NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,Enteral nutrition,185.28
NHS BLACK COUNTRY ICB - D2P2L,Rivaroxaban,15733.77
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GL",Apixaban,22377.99
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BER",Apixaban,16857.86
NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB ,Apixaban,17006.56
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTE,Semaglutide,136.92
NHS CHESHIRE AND MERSEYSIDE ICB - 01F,Apixaban,10890.87
NHS CHESHIRE AND MERSEYSIDE ICB - 01J,Apixaban,9498.43
NHS CHESHIRE AND MERSEYSIDE ICB - 01T,Apixaban,6862.74
NHS CHESHIRE AND MERSEYSIDE ICB - 01V,Apixaban,9498.43
NHS CHESHIRE AND MERSEYSIDE ICB - 01X,Apixaban,10294.11
NHS CHESHIRE AND MERSEYSIDE ICB - 02E,Apixaban,9299.51
NHS CHESHIRE AND MERSEYSIDE ICB - 12F,Ileostomy Bags,12961.41
NHS CHESHIRE AND MERSEYSIDE ICB - 27D,Apixaban,17604.43
NHS CHESHIRE AND MERSEYSIDE ICB - 99A,Apixaban,5370.84
NHS CHESHIRE AND MERSEYSIDE INTEGRATED C,Detection Sensor Interstitial Fluid/Gluc,196.29
NHS CORNWALL AND THE ISLES OF SCILLY ICB,Edoxaban,16532.39
NHS COVENTRY AND WARWICKSHIRE ICB - B2M3,Apixaban,10493.03
NHS DERBY AND DERBYSHIRE ICB - 15M,Influenza,22759.83
NHS DERBY AND DERBYSHIRE INTEGRATED CARE,Enoxaparin,230.2
NHS DEVON ICB - 15N,Rivaroxaban,13943.69
NHS DEVON INTEGRATED CARE BOARD,Melatonin,107.5
NHS DORSET ICB - 11J,Apixaban,23919.23
NHS DORSET INTEGRATED CARE BOARD,Beclometasone dipropionate,27.41
NHS FRIMLEY ICB - D4U1Y,Apixaban,13922.67
NHS GLOUCESTERSHIRE ICB - 11M,Rivaroxaban,11776.78
NHS GREATER MANCHESTER ICB - 00T,Apixaban,10244.38
NHS GREATER MANCHESTER ICB - 00V,Apixaban,23621.76
NHS GREATER MANCHESTER ICB - 00Y,Apixaban,11288.71
NHS GREATER MANCHESTER ICB - 01D,Apixaban,6315.71
NHS GREATER MANCHESTER ICB - 01G,Apixaban,6265.2
NHS GREATER MANCHESTER ICB - 01W,Apixaban,12929.8
NHS GREATER MANCHESTER ICB - 01Y,Rivaroxaban,7019.88
NHS GREATER MANCHESTER ICB - 02A,Apixaban,6813.01
NHS GREATER MANCHESTER ICB - 02H,Apixaban,6614.09
NHS GREATER MANCHESTER ICB - 14L,Chenodeoxycholic acid,7326.92
NHS GREATER MANCHESTER INTEGRATED CARE B,Enteral nutrition,32.98
NHS HAMPSHIRE AND ISLE OF WIGHT ICB - 10,Beclometasone dipropionate,15621.97
NHS HAMPSHIRE AND ISLE OF WIGHT ICB - D9,Apixaban,17206.59
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRAT,Lacosamide,67.47
NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB,Apixaban,17900.57
NHS HEREFORDSHIRE AND WORCESTERSHIRE INT,Chloramphenicol,53.42
NHS HERTFORDSHIRE AND WEST ESSEX ICB - 0,Apixaban,18052.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,Apixaban,22923.32
NHS HUMBER AND NORTH YORKSHIRE ICB - 03F,Apixaban,22726.62
NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,Edoxaban,13236.69
NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,Apixaban,9398.01
NHS HUMBER AND NORTH YORKSHIRE ICB - 03Q,Apixaban,19295.15
NHS HUMBER AND NORTH YORKSHIRE ICB - 42D,Apixaban,11436.89
NHS HUMBER AND NORTH YORKSHIRE INTEGRATE,Warfarin sodium,1.69
NHS KENT AND MEDWAY ICB - 91Q,Apixaban,19790.08
NHS KENT AND MEDWAY INTEGRATED CARE BOAR,Detection Sensor Interstitial Fluid/Gluc,65.43
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 0,Beclometasone dipropionate,18229.75
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRA,Methadone hydrochloride,2.35
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAN",Edoxaban,12732.05
NHS LINCOLNSHIRE ICB - 71E,Midazolam maleate,24223.4
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,Somatropin,108.33
NHS MID AND SOUTH ESSEX ICB - 06Q,Wound Management & Other Dressings,18611.58
NHS MID AND SOUTH ESSEX ICB - 07G,Apixaban,6017.33
NHS MID AND SOUTH ESSEX ICB - 99E,Apixaban,8353.6
NHS MID AND SOUTH ESSEX ICB - 99F,Rivaroxaban,7254.49
NHS MID AND SOUTH ESSEX ICB - 99G,Trientine dihydrochloride,8621.52
NHS MID AND SOUTH ESSEX INTEGRATED CARE ,Sacubitril/valsartan,85.58
NHS NORFOLK AND WAVENEY ICB - 26A,Edoxaban,16398.1
NHS NORFOLK AND WAVENEY INTEGRATED CARE ,Catheters,267.14
NHS NORTH CENTRAL LONDON ICB - 93C,Influenza,17270.33
NHS NORTH EAST AND NORTH CUMBRIA ICB - 0,Apixaban,26108.26
NHS NORTH EAST AND NORTH CUMBRIA ICB - 1,Apixaban,12183.85
NHS NORTH EAST AND NORTH CUMBRIA ICB - 8,Apixaban,10691.95
NHS NORTH EAST AND NORTH CUMBRIA ICB - 9,Apixaban,9546.97
NHS NORTH EAST AND NORTH CUMBRIA INTEGRA,Warfarin sodium,1.19
NHS NORTH EAST LONDON ICB - A3A8R,Clonidine hydrochloride,13480.96
NHS NORTH WEST LONDON ICB - W2U3Z,Wound Management & Other Dressings,9128.6
NHS NORTH WEST LONDON INTEGRATED CARE BO,Rivaroxaban,23.66
NHS NORTHAMPTONSHIRE ICB - 78H,Glycopyrronium bromide,31330.52
NHS NORTHAMPTONSHIRE INTEGRATED CARE BOA,Detection Sensor Interstitial Fluid/Gluc,130.85
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB -,Apixaban,20588.23
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEG,Two Piece Ostomy Systems,209.64
NHS PRACTITIONER HEALTH,Disulfiram,159.42
"NHS SHROPSHIRE, TELFORD AND WREKIN ICB -",Apixaban,12531.63
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEG",Gabapentin,3.67
NHS SOMERSET ICB - 11X,Apixaban,11935.2
NHS SOUTH EAST LONDON ICB - 72Q,Morphine sulfate,6566.39
NHS SOUTH EAST LONDON INTEGRATED CARE BO,Aripiprazole,7.59
NHS SOUTH WEST LONDON ICB - 36L,Wound Management & Other Dressings,8837.03
NHS SOUTH WEST LONDON INTEGRATED CARE BO,Buprenorphine hydrochloride,2.65
NHS SOUTH YORKSHIRE ICB - 02P,Apixaban,15364.59
NHS SOUTH YORKSHIRE ICB - 02X,Apixaban,12283.31
NHS SOUTH YORKSHIRE ICB - 03L,Apixaban,15316.47
NHS SOUTH YORKSHIRE ICB - 03N,Apixaban,10194.65
NHS SOUTH YORKSHIRE INTEGRATED CARE BOAR,Colostomy Bags,208.2
NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,Apixaban,16162.26
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INT,Levodopa/carbidopa/entacapone,72.66
NHS SUFFOLK AND NORTH EAST ESSEX ICB - 0,Apixaban,23522.3
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRA,Tracheostomy & Laryngectomy Appliances,156.85
NHS SURREY HEARTLANDS  ICB - 92A,Influenza,20184.08
NHS SURREY HEARTLANDS INTEGRATED CARE BO,Buprenorphine hydrochloride,1.65
NHS SUSSEX ICB - 09D,Triptorelin,7158.57
NHS SUSSEX ICB - 70F,Apixaban,13576.29
NHS SUSSEX ICB - 97R,Apixaban,14618.8
NHS SUSSEX INTEGRATED CARE BOARD,Urostomy Bags,309.58
NHS WEST YORKSHIRE ICB - 02T,Apixaban,6813.01
NHS WEST YORKSHIRE ICB - 03R,Apixaban,14868.93
NHS WEST YORKSHIRE ICB - 15F,Clonidine hydrochloride,14978.86
NHS WEST YORKSHIRE ICB - 36J,Rivaroxaban,27325.57
NHS WEST YORKSHIRE ICB - X2C4Y,Apixaban,8055.26
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,Wound Management & Other Dressings,351.4
NORFOLK COMMUNITY HEALTH AND CARE NHS TR,Glycopyrronium bromide,3722.95
NORTH CUMBRIA INTEGRATED CARE NHS FOUNDA,Other Appliances,934.78
NORTH EAST AMBULANCE SERVICE NHS FOUNDAT,Nitrofurantoin,293.39
NORTH EAST LINCOLNSHIRE COUNCIL,Buprenorphine hydrochloride,1740.9
NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS ,Calcipotriol,148.34
NORTH STAFFORDSHIRE COMBINED HEALTHCARE ,Melatonin,855.29
NORTH TEES AND HARTLEPOOL NHS FOUNDATION,Wound Management & Other Dressings,717.65
NORTH YORKSHIRE COUNTY COUNCIL,Buprenorphine hydrochloride,335.3
NORTHERN CARE ALLIANCE NHS FT,Dorzolamide,22.61
NORTHUMBRIA HEALTHCARE NHS FOUNDATION TR,Omeprazole,199.0
NOTTINGHAM CITYCARE PARTNERSHIP,Phenoxymethylpenicillin (Penicillin V),754.54
NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATIO,Nitrofurantoin,213.37
NOVUS HEALTH LTD,Fluorouracil (Sunscreen),953.52
OMNES HEALTHCARE LTD,Ciclosporin,765.75
ONE HEALTHCARE,Mirabegron,81.32
ONE MEDICAL GROUP LIMITED,Nitrofurantoin,1280.24
OPEROSE HEALTH (GROUP) UK LIMITED,Latanoprost,525.02
OXFORD HEALTH NHS FOUNDATION TRUST,Nitrofurantoin,657.9
OXLEAS NHS FOUNDATION TRUST,Sacubitril/valsartan,1119.15
PDS MEDICAL LTD,Apixaban,298.38
PENNINE MUSCULOSKELETAL PARTNERSHIP (ICA,Sulfasalazine,1099.09
PHOENIX HEALTH SOLUTIONS LIMITED HQ,Leuprorelin acetate,1476.79
PRACTICE BASED CLINICAL SERVICES LIMITED,Fluticasone propionate (Nasal),36.43
PRACTICE PLUS GROUP,Nitrofurantoin,711.24
PRIMARY EYECARE SERVICES LTD,Acetylcysteine,83.09
PROVIDE,Prochlorperazine maleate,1.84
PSYCHIATRY-UK,Lisdexamfetamine dimesylate,772.98
RAMSAY HEALTHCARE UK OPERATIONS LIMITED,Vancomycin hydrochloride,495.28
REDCAR AND CLEVELAND BOROUGH COUNCIL,Nicotine,515.25
ROTHERHAM DONCASTER AND SOUTH HUMBER NHS,Lisdexamfetamine dimesylate,2436.63
ROYAL DEVON UNIVERSITY HEALTHCARE NHSFT,Lymphoedema Garments,427.05
SANDWELL AND WEST BIRMINGHAM HOSPITALS N,Wound Management & Other Dressings,6616.84
SELLINDGE PRACTICE LTD,Fluticasone propionate/azelastine hydrochloride (Nasal),27.69
SENTINEL HEALTHCARE SOUTHWEST COMMUNITY ,Imiquimod,227.32
SHEFFIELD CHILDREN'S NHS FOUNDATION TRUS,Methylphenidate hydrochloride,785.36
SHERWOOD FOREST HOSPITALS NHS FOUNDATION,Methylphenidate hydrochloride,1645.98
SHROPSHIRE COMMUNITY HEALTH NHS TRUST,Lymphoedema Garments,517.7
SIRONA CARE AND HEALTH,Melatonin,4746.94
SOLENT MEDICAL SERVICES LIMITED,Latanoprost and timolol,63.1
SOLENT NHS TRUST,Beclometasone dipropionate,164.44
SOMERSET NHS FOUNDATION TRUST,Semaglutide,205.38
SOMERSET SURGICAL SERVICES HQ,Ketorolac trometamol,2.82
SOUTH CENTRAL AMBULANCE SERVICE NHS FOUN,Nitrofurantoin,337.84
SOUTH DOWNS HEALTH AND CARE LTD,Ethosuximide,591.91
SOUTH EAST COAST AMBULANCE SERVICE NHS F,Nitrofurantoin,1049.08
SOUTH TEES HOSPITALS NHS FOUNDATION TRUS,Colostomy Bags,3903.91
SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDA,Nitrofurantoin,443.56
SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,Lymphoedema Garments,2773.26
SOUTH WESTERN AMBULANCE SERVICE NHS FOUN,Flucloxacillin sodium,107.32
SPECTRUM COMMUNITY HEALTH - CIC,Buprenorphine hydrochloride,1120.11
ST GEORGE'S UNIVERSITY HOSPITALS NHS FOU,Methotrexate,161.5
ST JOSEPH'S HOSPICE,Haloperidol,107.91
ST MARGARETS HOSPICE,Morphine sulfate,31.99
ST MICHAEL'S HOSPICE,Oxycodone hydrochloride,27.26
ST WILFRID'S HOSPICE,Dexamethasone,60.7
START,Buprenorphine hydrochloride,1120.11
STOCKPORT METROPOLITAN BOROUGH COUNCIL,Buprenorphine hydrochloride,1332.82
STOCKTON-ON-TEES BOROUGH COUNCIL,Buprenorphine hydrochloride,1802.74
SUFFOLK COUNTY COUNCIL,Emollients,2.51
SUFFOLK GP FEDERATION,Denosumab,14265.78
SUNDERLAND CITY COUNCIL,Buprenorphine hydrochloride,1916.17
SURREY AND BORDERS PARTNERSHIP NHS FOUND,Clonidine hydrochloride,2595.61
SUSSEX COMMUNITY DERMATOLOGY SERVICE,Fluorouracil (Sunscreen),3106.64
SUSSEX COMMUNITY NHS FOUNDATION TRUST,Lymphoedema Garments,1008.41
SYDENHAM HOUSE MEDICAL PRACTICE,Ciclosporin,233.24
TETBURY HOSPITAL TRUST LTD,Sodium chloride,264.43
THE DUDLEY GROUP NHS FOUNDATION TRUST,Lymphoedema Garments,1675.26
THE FORWARD TRUST,Buprenorphine hydrochloride,1345.86
THE HERNE BAY OPHTHALMOLOGY CLINIC,Ciclosporin (Eye Anti Inflammatory),67.3
THE MID CHESHIRE HOSPITALS NHS TRUST,Fluorouracil (Sunscreen),676.69
THE NEWCASTLE UPON TYNE HOSPITALS NHS FO,Semaglutide,547.74
THE ROTHERHAM NHS FOUNDATION TRUST,Sacubitril/valsartan,1283.69
THE ROYAL WOLVERHAMPTON NHS TRUST,Apremilast,1542.01
THE SOCIETY OF ST JAMES,Buprenorphine hydrochloride,107.49
THE SUSSEX BEACON,Oxycodone hydrochloride,17.92
TORBAY AND SOUTH DEVON NHS FOUNDATION TR,Disulfiram,2055.74
TOWER HAMLETS TOBACCO CESSATION SERVICE,Bupropion hydrochloride,314.01
TURNING POINT,Buprenorphine hydrochloride,5824.57
UNIDENTIFIED,Night Drainage Bags,4065.49
UNIVERSITY HOSPITALS COVENTRY AND WARWIC,Aciclovir,73.82
UNIVERSITY HOSPITALS DORSET NHS FT,Diclofenac sodium,16.13
UNIVERSITY HOSPITALS OF MORECAMBE BAY NH,Wound Management & Other Dressings,1252.75
UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,Fluconazole,132.81
UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATI,Isotretinoin,723.28
VOCARE,Nitrofurantoin,417.72
WARRINGTON AND HALTON TEACHING HOSPITALS,Sodium chloride,10.48
WARRINGTON BOROUGH COUNCIL,Buprenorphine hydrochloride,2738.54
WE ARE WITH YOU,Buprenorphine hydrochloride,4560.81
WEST BERKSHIRE COUNCIL,Buprenorphine hydrochloride,18.09
WEST LONDON NHS TRUST,Melatonin,950.52
WEST SUFFOLK NHS FOUNDATION TRUST,Melatonin,855.3
WESTMINISTER DRUG PROJECT,Buprenorphine hydrochloride,2240.22
WESTON HOSPICECARE,Haloperidol,107.91
WHITSTABLE MEDICAL PRACTICE,Acitretin,642.78
WIGAN METROPOLITAN BOROUGH COUNCIL,Methadone hydrochloride,813.59
WILTSHIRE HEALTH & CARE,Silver sulfadiazine,110.96
WIRRAL COMMUNITY HEALTH AND CARE NHS FOU,Sacubitril/valsartan,2567.37
"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDA",Entecavir,2218.06
WYE VALLEY NHS TRUST,Wound Management & Other Dressings,752.03
YORK AND SCARBOROUGH TEACHING HOSPITALS ,Sacubitril/valsartan,427.9
