Prescriber,Substancia,Quantidade
ALFRED SQUIRE ROAD SURGERY,Atorvastatin,741
ALICE HOUSE HOSPICE,Morphine sulfate,10
ALL SAINTS MEDICAL CENTRE PMS,Atorvastatin,282
ALL SAINTS SURGERY,Atorvastatin,498
ALLERTON MEDICAL CENTRE,Atorvastatin,922
ALLESLEY PARK MEDICAL CTR,Omeprazole,783
ALLESLEY VILLAGE SURGERY,Atorvastatin,531
ALLIANCE TEACHING PRACTICES,Atorvastatin,837
ALLPORT MEDICAL CENTRE,Atorvastatin,402
ALMA MEDICAL CENTRE,Atorvastatin,1245
ALMA ROAD SURGERY,Atorvastatin,1708
ALMOND ROAD SURGERY,Atorvastatin,593
ALMONDSBURY SURGERY,Atorvastatin,308
ALNWICK MEDICAL GROUP,Atorvastatin,3008
ALPERTON MEDICAL CENTRE,Atorvastatin,490
ALPHA MEDICAL PRACTICE,Atorvastatin,660
ALPINE HOUSE SURGERY,Atorvastatin,911
ALRESFORD SURGERY,Atorvastatin,874
ALREWAS,Atorvastatin,485
ALSTON MEDICAL PRACTICE,Atorvastatin,266
ALTON STREET SURGERY,Omeprazole,777
ALTON SURGERY,Atorvastatin,301
ALTRINCHAM MEDICAL PRACTICE,Atorvastatin,464
ALUM ROCK MEDICAL CENTRE,Atorvastatin,830
ALVANLEY FAMILY PRACTICE,Atorvastatin,523
ALVASTON MEDICAL CENTRE,Atorvastatin,1008
ALVELEY MEDICAL PRACTICE,Atorvastatin,419
ALVERTHORPE,Atorvastatin,396
ALWOODLEY MEDICAL CENTRE,Atorvastatin,1849
AMAANAH MEDICAL PRACTICE,Atorvastatin,291
AMBAR MEDICAL CENTRE,Atorvastatin,139
AMBER VALLEY HEALTH,Flucloxacillin sodium,7
AMBLESIDE HEALTH CENTRE,Atorvastatin,803
AMBROSE AVENUE GROUP PRACTICE,Levothyroxine sodium,1587
AMERSHAM HEALTH CENTRE,Atorvastatin,561
AMERSHAM VALE TRAINING PRACTICE,Atorvastatin,248
AMHERST MEDICAL PRACTICE,Atorvastatin,1167
AMICUS HEALTH,Omeprazole,1246
AMMONITE HEALTH PARTNERSHIP,Atorvastatin,2670
AMP HEALTHCARE OPHTHALMOLOGY,Ciprofloxacin,1
AMPLEFORTH SURGERY,Atorvastatin,542
AMPTHILL PRACTICE,Atorvastatin,557
AMWELL GROUP PRACTICE,Atorvastatin,379
AMWELL SURGERY,Atorvastatin,1335
ANCHOR MEDICAL PRACTICE,Lansoprazole,433
ANCOATS URBAN VILLAGE MEDICAL PRACTICE,Atorvastatin,794
ANCORA MEDICAL PRACTICE,Atorvastatin,2392
ANDAMAN SURGERY,Atorvastatin,471
ANDOVER MEDICAL CENTRE,Atorvastatin,273
ANERLEY SURGERY,Atorvastatin,220
ANFIELD GROUP PRACTICE,Atorvastatin,806
ANGEL HILL SURGERY,Atorvastatin,1483
ANGEL LANE SURGERY,Atorvastatin,1056
ANGEL LODGE,Alginic acid compound preparations,13
ANGEL SURGERY,Amlodipine,388
ANGLIA COMMUNITY EYE SERVICE,Latanoprost,5
ANN MARIE HOWES CENTRE,Skin Fillers And Protectives,102
ANNANDALE MEDICAL CENTRE,Atorvastatin,446
ANNFIELD PLAIN SURGERY,Atorvastatin,581
ANSDELL MEDICAL CENTRE,Atorvastatin,1393
ANTICOAG SERVICE SOUTH DOC,Warfarin sodium,207
ANTICOAGULATION - HOLLYWOOD PRACTICE,Warfarin sodium,3
ANTICOAGULATION - INTRAHEALTH,Benzoyl peroxide and clindamycin phosphate,1
ANTICOAGULATION SERVICE - GR PHARMACY,Warfarin sodium,127
APCOS HEADCORN EYE CENTRE,Eye Products,7
APEX MEDICAL CENTRE,Atorvastatin,691
APOLLO COURT MEDICAL CENTRE,Colecalciferol,3
APOLLO SURGERY,Atorvastatin,125
APPLEBY MEDICAL PRACTICE,Atorvastatin,576
APPLETREE MEDICAL PRACTICE,Atorvastatin,587
APPLIANCE PRESCRIPTION SERVICE,Night Drainage Bags,663
APSLEY SURGERY,Atorvastatin,1005
AQP ANTICOAG QE HERITAGE BUILDING,Warfarin sodium,617
AQP ANTICOAG SANDWELL HOSPITAL,Warfarin sodium,356
AQP ANTICOAG STOCKLAND GREEN,Metformin hydrochloride,2
AQP SLH THE CASTLE,Amoxicillin,2
AR-RAZI MEDICAL CENTRE,Atorvastatin,144
ARBURY MEDICAL CENTRE,Atorvastatin,921
ARBURY ROAD SURGERY,Atorvastatin,923
ARC,Emollients,5
ARC BUCKS PCN,Neomycin sulfate,1
ARCADIAN GARDENS SURGERY,Atorvastatin,366
ARCH HEALTHCARE,Quetiapine,561
ARCHERS PRACTICE,Omeprazole,280
ARCHWAY MEDICAL CENTRE,Sertraline hydrochloride,290
ARCHWAY SURGERY,Ramipril,127
ARCHWOOD MEDICAL PRACTICE,Atorvastatin,619
ARDEN HOUSE MEDICAL PRACTICE,Atorvastatin,268
ARDEN MEDICAL CENTRE,Atorvastatin,301
ARDEN MEMORY SERVICES,Donepezil hydrochloride,34
ARDEN MH ACUTE TEAM,Fluoxetine hydrochloride,1
ARDINGLY COURT SURGERY,Atorvastatin,515
ARDWICK MEDICAL PRACTICE,Atorvastatin,287
ARGYLE HEALTH-ISLEWORTH PRACTICE,Atorvastatin,723
ARGYLL HOUSE,Omeprazole,489
ARIEL HEALTHCARE,Atorvastatin,826
ARLESEY MEDICAL CENTRE,Atorvastatin,291
ARLINGTON ROAD SURGERY,Atorvastatin,1354
ARNOLD MEDICAL CENTRE,Atorvastatin,617
ARNOS GROVE MEDICAL CENTR,Atorvastatin,397
ARRAN MEDICAL CENTRE,Atorvastatin,471
ARTHINGTON MEDICAL CENTRE,Atorvastatin,734
ARTHUR MEDICAL CENTRE,Atorvastatin,817
ARTHUR RANK HOSPICE,Haloperidol,4
ARUNDEL SURGERY,Atorvastatin,454
ARYAN MEDICAL CENTRE,Atorvastatin,287
ASA MEDICAL GROUP,Atorvastatin,2254
ASCOT MEDICAL CENTRE,Atorvastatin,339
ASH GROVE,Ramipril,1491
ASH SURGERY,Omeprazole,237
ASH TREE HOUSE SURGERY,Atorvastatin,1199
ASH TREES SURGERY,Atorvastatin,2834
ASHBOURNE MEDICAL PRACTICE,Atorvastatin,1131
ASHBURN MEDICAL CENTRE,Atorvastatin,665
ASHBURNHAM ROAD SURGERY,Atorvastatin,190
ASHBURTON PARK MEDICAL CENTRE,Atorvastatin,326
ASHBURTON SURGERY,Atorvastatin,754
ASHBY TURN PRIMARY CARE PARTNERS,Atorvastatin,1605
ASHCHURCH SURGERY,Atorvastatin,524
ASHCROFT SURGERY,Atorvastatin,2327
ASHDOWN FOREST HEALTH CENTRE,Atorvastatin,1091
ASHFIELD HOUSE (ANNESLEY),Atorvastatin,803
ASHFIELD MEDICAL CENTRE,Atorvastatin,1237
ASHFIELD ROAD SURGERY,Atorvastatin,567
ASHFIELD SURGERY,Atorvastatin,997
ASHFIELDS PRIMARY CARE CENTRE,Atorvastatin,1663
ASHFORD ANTICOAGULATION SERVICE,Warfarin sodium,88
ASHFORD GROUP,Sacubitril/valsartan,9
ASHFORD HUB,Amoxicillin,1
ASHFORD MEDICAL PARTNERSHIP,Atorvastatin,1333
ASHFORD WIC,Flucloxacillin sodium,67
ASHGATE HOSPICE DAYCENTRE,Oxycodone hydrochloride,4
ASHINGDON MEDICAL CENTRE,Atorvastatin,400
ASHINGTON HOUSE SURGERY,Atorvastatin,814
ASHLEA MEDICAL PRACTICE,Atorvastatin,1015
ASHLEY CENTRE SURGERY,Atorvastatin,381
ASHLEY MEDICAL PRACTICE,Atorvastatin,155
ASHLEY SURGERY,Atorvastatin,528
ASHMORE PARK MEDICAL CENTRE,Atorvastatin,246
ASHOVER MEDICAL CENTRE,Atorvastatin,250
ASHTON GARDENS SURGERY,Amlodipine,162
ASHTON GP SERVICE,Atorvastatin,336
ASHTON MEDICAL GROUP,Atorvastatin,1649
ASHTON VIEW MEDICAL CTR,Atorvastatin,245
"ASHTON, LEIGH & WIGAN OOH",Amoxicillin,126
ASHURST PRIMARY CARE,Atorvastatin,367
ASHVILLE MEDICAL CENTRE PMS PRACTICE,Atorvastatin,1100
ASHVILLE SURGERY,Atorvastatin,1257
ASHWELL MEDICAL CENTRE,Colecalciferol,1190
ASHWELL SURGERY,Atorvastatin,1108
ASHWORTH STREET SURGERY,Atorvastatin,973
ASKERN MEDICAL PRACTICE,Atorvastatin,590
ASPATRIA MEDICAL GROUP,Atorvastatin,1062
ASPEN MEDICAL PRACTICE,Atorvastatin,2095
ASPIRO HEALTHCARE,Amitriptyline hydrochloride,3
ASPLANDS MEDICAL CENTRE,Atorvastatin,1133
ASPLEY MEDICAL CENTRE,Lansoprazole,673
ASPRI MEDICAL CENTRE,Atorvastatin,366
ASPULL SURGERY,Omeprazole,397
ASQUITH SURGERY,Atorvastatin,423
ASR MENTAL HEALTH SERVICE,Venlafaxine,2
ASTLEY GENERAL PRACTICE,Omeprazole,189
ASTON HEALTHCARE LIMITED,Atorvastatin,2037
AT HOME SERVICE,Potassium chloride,17
AT MEDICS,Amlodipine,290
AT MEDICS - THE LOXFORD PRACTICE,Atorvastatin,1095
AT MEDICS / STREATHAM AH,Other Appliances,14
ATHENA MEDICAL CENTRE,Atorvastatin,457
ATHERLEY HOUSE SURGERY,Atorvastatin,400
ATKINSON HEALTH CENTRE,Influenza,1115
ATKINSON SCH,Fluoxetine hydrochloride,2
ATLANTIC MEDICAL GROUP,Atorvastatin,1489
ATLAS MEDICAL PRACTICE,Atorvastatin,1562
ATRIUM HEALTH CENTRE,Atorvastatin,750
ATTENBOROUGH SURGERY,Atorvastatin,2158
ATTLEBOROUGH SURGERY,Atorvastatin,1610
ATTWOOD GREEN HEALTH UNIT,Eye Products,11
AUBREY ROAD MEDICAL CENTRE,Atorvastatin,175
AUCKLAND MEDICAL GROUP,Atorvastatin,2488
AUCKLAND SURGERY,Atorvastatin,358
AUDLEM MEDICAL PRACTICE,Omeprazole,310
AUDLEY HEALTH CENTRE,Atorvastatin,1175
AUDLEY MILLS SURGERY,Atorvastatin,1311
AUGHTON SURGERY,Atorvastatin,501
AURORA MEDCARE,Atorvastatin,1229
AUSTEN ROAD SURGERY,Atorvastatin,251
AVELEY MEDICAL CENTRE,Atorvastatin,1209
AVENHAM SURGERY,Atorvastatin,623
AVENUE HOUSE,Zopiclone,32
AVENUE MEDICAL PRACTICE,Atorvastatin,191
AVENUE SURGERY,Atorvastatin,1536
AVHAC WALK IN PATIENTS WIC,Other individually formulated bought in preparations,1
AVISFORD MEDICAL GROUP,Atorvastatin,1001
AVOCET WARD,Cyclizine hydrochloride,1
AVON CMHS,Enteral nutrition,11
AVON VALLEY PRACTICE,Atorvastatin,1029
AVONSIDE HEALTH CENTRE,Omeprazole,489
AW SURGERIES,Lansoprazole,1256
AWBURN HOUSE MEDICAL PRACTICE,Atorvastatin,528
AXBRIDGE SURGERY,Atorvastatin,943
AXMINSTER MEDICAL PRACTICE,Atorvastatin,1723
AYLESBURY SURGERY,Atorvastatin,297
AYLESFORD MEDICAL CENTRE,Atorvastatin,761
AYLESHAM MEDICAL PRACTICE,Atorvastatin,567
AYLESTONE HEALTH CENTRE,Atorvastatin,398
AYLMER LODGE COOKLEY PARTNERSHIP,Omeprazole,1020
AYTON AND SNAINTON MEDICAL PRACTICE,Atorvastatin,1644
B & A CCG EXTENDED HOURS SERVICE,Amoxicillin,84
B&H EXTENDED HOURS SERVICE,Flucloxacillin sodium,74
B&H INTERMEDIATE CARE SERVICE,Paracetamol,30
B&I PCN HUB,Amoxicillin,6
B'WATER CH CN WARRINGTON,Wound Management & Other Dressings,1528
BABYLON GP AT HAND BIRMINGHAM,Sertraline hydrochloride,52
BACON LANE SURGERY,Atorvastatin,899
BACON ROAD MEDICAL CENTRE,Lansoprazole,485
BADDELEY GREEN SURGERY,Atorvastatin,530
BADDOW VILLAGE SURGERY,Atorvastatin,1717
BADGER AVS,Amoxicillin,7
BADGER GROUP OOH,Phenoxymethylpenicillin (Penicillin V),73
BADGER OOH,Phenoxymethylpenicillin (Penicillin V),1
BADGER OUT OF HOURS SERVICE,Amoxicillin,16
BADGERSWOOD SURGERY,Atorvastatin,1398
BAGARY'S MEDICAL PRACTICE,Atorvastatin,745
BAILDON MEDICAL PRACTICE,Atorvastatin,848
BAKERSFIELD MEDICAL CENTRE,Atorvastatin,265
BALAAM STREET PRACTICE,Atorvastatin,515
BALANCE STREET,Atorvastatin,1571
BALDERTON SURGERY,Atorvastatin,647
BALDWINS LANE SURGERY,Atorvastatin,603
BALFOUR MEDICAL CENTRE,Atorvastatin,451
BALFOUR ROAD SURGERY,Atorvastatin,528
BALHAM HEALTH CENTRE,Influenza,170
BALHAM PARK SURGERY,Colecalciferol,587
BALL TREE SURGERY,Omeprazole,872
BALLARDS WALK SURGERY,Atorvastatin,698
BALLATER SURGERY,Atorvastatin,332
BALMORAL GARDENS,Atorvastatin,458
BALMORAL SURGERY,Atorvastatin,716
BALMORE PARK SURGERY,Atorvastatin,1087
BALSALL COMMON & MERIDEN GROUP PRACTICE,Atorvastatin,1425
BALSALL HEATH HEALTH CENTRE (S),Atorvastatin,155
BAMPTON SURGERY,Atorvastatin,984
BANBURY CROSS HEALTH CENTRE,Atorvastatin,2135
BANBURY ROAD MEDICAL CENTRE,Atorvastatin,261
BANCROFT MEDICAL CENTRE,Atorvastatin,1323
BANES BLADDER AND BOWEL TEAM,Catheters,178
BANES COMMUNITY NURSING,Lymphoedema Garments,58
BANES COMMUNITY PAEDIATRICS,Melatonin,193
BANES COPD IMPACT SERVICE,Prednisolone,3
BANES ENHANCED MEDICAL SERVICE (BEMS+),Isotretinoin,42
BANK HOUSE SURGERY,Atorvastatin,238
BANKFIELD SURGERY,Atorvastatin,1281
BANKHOUSE SURGERY,Atorvastatin,874
BANNOCKBURN SURGERY,Atorvastatin,329
BARBOURNE HEALTH CENTRE,Atorvastatin,774
BARCROFT MEDICAL CENTRE,Atorvastatin,943
BARDOC GP OOH,Amoxicillin,167
BARKANTINE WALK-IN CTR,Amoxicillin,2
BARKING & DAGENHAM CCG,Elastic Hosiery,12
BARKING DRUG & ALCOHOL RECOVERY,Methadone hydrochloride,393
BARKING HOSPITAL URGENT TREATMENT CENTRE,Flucloxacillin sodium,82
BARKING MEDICAL GROUP PRACTICE,Atorvastatin,854
BARLBOROUGH MEDICAL PRACTICE,Atorvastatin,652
BARLBY SURGERY,Atorvastatin,719
BARLOW MEDICAL CENTRE,Atorvastatin,683
BARN SURGERY,Atorvastatin,337
BARNARD CASTLE SURGERY,Atorvastatin,1308
BARNARD MEDICAL GROUP,Atorvastatin,1072
BARNBURGH SURGERY,Atorvastatin,346
BARNBY GATE SURGERY,Atorvastatin,1279
BARNET CCG-CLCH (NMP),Wound Management & Other Dressings,1717
BARNET COPD SERVICE,Other Appliances,6
BARNET FEDERATED GPS LIMITED,Nicotine,102
BARNETBY MEDICAL CENTRE,Atorvastatin,511
BARNFIELD HILL SURGERY,Atorvastatin,721
BARNOLDSWICK MED CTR,Lansoprazole,761
BARNSBURY MEDICAL PRACTICE,Atorvastatin,183
BARNSLEY DRUG & ALCOHOL SERVICE,Methadone hydrochloride,1205
BARNSLEY HOSPICE,Oxycodone hydrochloride,2
BARNSLEY ROAD SURGERY,Atorvastatin,193
BARNSLEY SEXUAL HEALTH SERVICE,Codeine phosphate,1
BARNT GREEN SURGERY,Atorvastatin,483
BARRACK LANE MEDICAL CENTRE,Atorvastatin,1224
BARRINGTON MEDICAL CENTRE,Atorvastatin,634
BARROW HEALTH CENTRE,Atorvastatin,522
BARROWFORD SURGERY,Ramipril,182
BARTHOLOMEW MEDICAL GROUP,Atorvastatin,2130
BARTLEMAS SURGERY,Atorvastatin,669
BARTLETT GROUP PRACTICE,Atorvastatin,2266
BARTLEY GREEN MEDICAL PRACTICE,Atorvastatin,492
BARTON,Atorvastatin,749
BARTON HILLS MEDICAL GROUP,Atorvastatin,486
BARTON HOUSE GROUP PRACTICE,Atorvastatin,478
BARTON HOUSE MED PRACTICE,Atorvastatin,680
BARTON MOSS SECURE CHILDREN'S HOME,Emollients,1
BARTON SURGERY,Atorvastatin,1171
BARWELL & HOLLYCROFT MEDICAL CENTRES,Atorvastatin,1458
BASFORD HOUSE PRIMARY CARE ACCESS HUB,Amoxicillin,164
BASLOW HEALTH CENTRE,Atorvastatin,601
"BASLOW RD, SHOREHAM ST & YORK RD SRGIES",Atorvastatin,1425
BASSET LAW DERMATOLOGY SERVICE,Fluorouracil (Sunscreen),3
BASSETLAW DRUG & ALCOHOL SERVICE,Morphine sulfate,3
BASSETLAW HEALTH PARTNERSHIP,Wound Management & Other Dressings,69
BASSETLAW PRIMARY CARE CENTRE OOH,Flucloxacillin sodium,87
BATH ROAD SURGERY,Atorvastatin,1207
BATH ROW MEDICAL PRACTICE,Atorvastatin,348
BATH STREET MEDICAL CENTRE,Atorvastatin,153
BATHEASTON MEDICAL CENTRE,Atorvastatin,434
BATLEY HEALTH CENTRE SURGERY,Atorvastatin,539
BATTERSEA FIELDS PRACTICE,Atorvastatin,622
BATTERSEA RISE GROUP PRACTICE,Atorvastatin,329
BAWTRY AND BLYTH MEDICAL,Atorvastatin,664
BAY MEDICAL GROUP,Atorvastatin,5171
BAY MEDICAL GROUP EXTENDED OOH,Amlodipine,1
BB HEALTHCARE SOLUTIONS,Warfarin sodium,422
BCHC MEDICINES MANAGEMENT,Wound Management & Other Dressings,7918
BCPFT CYP&F GROUP,Emollient bath and shower preparations,1
BDCT 0-19 CHILDRENS PH SERVICE,Emollients,1
BEACHES MEDICAL CENTRE,Atorvastatin,1597
BEACON HEALTH GROUP-DANBURY MEDICAL CTR,Atorvastatin,2875
