Prescribers,Novo
AMWELL GROUP PRACTICE,Sim
AMWELL SURGERY,Sim
ANCHOR MEDICAL PRACTICE,Sim
ANCOATS URBAN VILLAGE MEDICAL PRACTICE,Sim
ANCORA MEDICAL PRACTICE,Sim
ANDAMAN SURGERY,Sim
ANDOVER MEDICAL CENTRE,Sim
ANERLEY SURGERY,Sim
ANFIELD GROUP PRACTICE,Sim
ANGEL HILL SURGERY,Sim
ANGEL LANE SURGERY,Sim
ANGEL LODGE,Sim
ANGEL SURGERY,Sim
ANN MARIE HOWES CENTRE,Sim
ANNANDALE MEDICAL CENTRE,Sim
ANNFIELD PLAIN SURGERY,Sim
ANSDELL MEDICAL CENTRE,Sim
ANTICOAG SERVICE SOUTH DOC,Sim
APEX MEDICAL CENTRE,Sim
APOLLO SURGERY,Sim
APPLEBY MEDICAL PRACTICE,Sim
APPLETREE MEDICAL PRACTICE,Sim
APPLIANCE PRESCRIPTION SERVICE,Sim
APSLEY SURGERY,Sim
AQP ANTICOAG SANDWELL HOSPITAL,Sim
AR-RAZI MEDICAL CENTRE,Sim
ARBURY MEDICAL CENTRE,Sim
ARBURY ROAD SURGERY,Sim
ARC,Sim
ARCADIAN GARDENS SURGERY,Sim
ARCH HEALTHCARE,Sim
ARCHERS PRACTICE,Sim
ARCHWAY MEDICAL CENTRE,Sim
ARCHWAY SURGERY,Sim
ARCHWOOD MEDICAL PRACTICE,Sim
ARDEN HOUSE MEDICAL PRACTICE,Sim
ARDEN MEDICAL CENTRE,Sim
ARDINGLY COURT SURGERY,Sim
ARDWICK MEDICAL PRACTICE,Sim
ARGYLE HEALTH-ISLEWORTH PRACTICE,Sim
ARGYLL HOUSE,Sim
ARIEL HEALTHCARE,Sim
ARLESEY MEDICAL CENTRE,Sim
ARLINGTON ROAD SURGERY,Sim
ARNOLD MEDICAL CENTRE,Sim
ARNOS GROVE MEDICAL CENTR,Sim
ARRAN MEDICAL CENTRE,Sim
ARTHINGTON MEDICAL CENTRE,Sim
ARTHUR MEDICAL CENTRE,Sim
ARTHUR RANK HOSPICE,Sim
ARUNDEL SURGERY,Sim
ARYAN MEDICAL CENTRE,Sim
ASA MEDICAL GROUP,Sim
ASCOT MEDICAL CENTRE,Sim
ASH GROVE,Sim
ASH SURGERY,Sim
ASH TREE HOUSE SURGERY,Sim
ASH TREES SURGERY,Sim
ASHBOURNE MEDICAL PRACTICE,Sim
ASHBURN MEDICAL CENTRE,Sim
ASHBURNHAM ROAD SURGERY,Sim
ASHBURTON PARK MEDICAL CENTRE,Sim
ASHBURTON SURGERY,Sim
ASHBY TURN PRIMARY CARE PARTNERS,Sim
ASHCHURCH SURGERY,Sim
ASHCROFT SURGERY,Sim
ASHDOWN FOREST HEALTH CENTRE,Sim
ASHFIELD HOUSE (ANNESLEY),Sim
ASHFIELD MEDICAL CENTRE,Sim
ASHFIELD ROAD SURGERY,Sim
ASHFIELD SURGERY,Sim
ASHFIELDS PRIMARY CARE CENTRE,Sim
ASHFORD GROUP,Sim
ASHFORD MEDICAL PARTNERSHIP,Sim
ASHFORD WIC,Sim
ASHINGDON MEDICAL CENTRE,Sim
ASHINGTON HOUSE SURGERY,Sim
ASHLEA MEDICAL PRACTICE,Sim
ASHLEY CENTRE SURGERY,Sim
ASHLEY MEDICAL PRACTICE,Sim
ASHLEY SURGERY,Sim
ASHMORE PARK MEDICAL CENTRE,Sim
ASHOVER MEDICAL CENTRE,Sim
ASHTON GARDENS SURGERY,Sim
ASHTON GP SERVICE,Sim
ASHTON MEDICAL GROUP,Sim
ASHTON VIEW MEDICAL CTR,Sim
"ASHTON, LEIGH & WIGAN OOH",Sim
ASHURST PRIMARY CARE,Sim
ASHVILLE MEDICAL CENTRE PMS PRACTICE,Sim
ASHVILLE SURGERY,Sim
ASHWELL MEDICAL CENTRE,Sim
ASHWELL SURGERY,Sim
ASHWORTH STREET SURGERY,Sim
ASKERN MEDICAL PRACTICE,Sim
ASPATRIA MEDICAL GROUP,Sim
ASPEN MEDICAL PRACTICE,Sim
ASPIRO HEALTHCARE,Sim
ASPLANDS MEDICAL CENTRE,Sim
ASPLEY MEDICAL CENTRE,Sim
ASPRI MEDICAL CENTRE,Sim
ASPULL SURGERY,Sim
ASQUITH SURGERY,Sim
ASTLEY GENERAL PRACTICE,Sim
ASTON HEALTHCARE LIMITED,Sim
AT HOME SERVICE,Sim
AT MEDICS,Sim
AT MEDICS - THE LOXFORD PRACTICE,Sim
AT MEDICS / STREATHAM AH,Sim
ATHENA MEDICAL CENTRE,Sim
ATHERLEY HOUSE SURGERY,Sim
ATKINSON HEALTH CENTRE,Sim
ATLANTIC MEDICAL GROUP,Sim
ATLAS MEDICAL PRACTICE,Sim
ATRIUM HEALTH CENTRE,Sim
ATTENBOROUGH SURGERY,Sim
ATTLEBOROUGH SURGERY,Sim
AUBREY ROAD MEDICAL CENTRE,Sim
AUCKLAND MEDICAL GROUP,Sim
AUCKLAND SURGERY,Sim
AUDLEM MEDICAL PRACTICE,Sim
AUDLEY HEALTH CENTRE,Sim
AUDLEY MILLS SURGERY,Sim
AUGHTON SURGERY,Sim
AURORA MEDCARE,Sim
AUSTEN ROAD SURGERY,Sim
AVELEY MEDICAL CENTRE,Sim
AVENHAM SURGERY,Sim
AVENUE HOUSE,Sim
AVENUE MEDICAL PRACTICE,Sim
AVENUE SURGERY,Sim
AVISFORD MEDICAL GROUP,Sim
AVON VALLEY PRACTICE,Sim
AVONSIDE HEALTH CENTRE,Sim
AW SURGERIES,Sim
AWBURN HOUSE MEDICAL PRACTICE,Sim
AXBRIDGE SURGERY,Sim
AXMINSTER MEDICAL PRACTICE,Sim
AYLESBURY SURGERY,Sim
AYLESFORD MEDICAL CENTRE,Sim
AYLESHAM MEDICAL PRACTICE,Sim
AYLESTONE HEALTH CENTRE,Sim
AYLMER LODGE COOKLEY PARTNERSHIP,Sim
AYTON AND SNAINTON MEDICAL PRACTICE,Sim
B & A CCG EXTENDED HOURS SERVICE,Sim
B&H EXTENDED HOURS SERVICE,Sim
B&H INTERMEDIATE CARE SERVICE,Sim
B'WATER CH CN WARRINGTON,Sim
BABYLON GP AT HAND BIRMINGHAM,Sim
BACON LANE SURGERY,Sim
BACON ROAD MEDICAL CENTRE,Sim
BADDELEY GREEN SURGERY,Sim
BADDOW VILLAGE SURGERY,Sim
BADGER AVS,Sim
BADGER GROUP OOH,Sim
BADGER OUT OF HOURS SERVICE,Sim
BADGERSWOOD SURGERY,Sim
BAGARY'S MEDICAL PRACTICE,Sim
BAILDON MEDICAL PRACTICE,Sim
BAKERSFIELD MEDICAL CENTRE,Sim
BALAAM STREET PRACTICE,Sim
BALANCE STREET,Sim
BALDERTON SURGERY,Sim
BALDWINS LANE SURGERY,Sim
BALFOUR MEDICAL CENTRE,Sim
BALFOUR ROAD SURGERY,Sim
BALHAM HEALTH CENTRE,Sim
BALHAM PARK SURGERY,Sim
BALL TREE SURGERY,Sim
BALLARDS WALK SURGERY,Sim
BALLATER SURGERY,Sim
BALMORAL GARDENS,Sim
BALMORAL SURGERY,Sim
BALMORE PARK SURGERY,Sim
BALSALL COMMON & MERIDEN GROUP PRACTICE,Sim
BALSALL HEATH HEALTH CENTRE (S),Sim
BAMPTON SURGERY,Sim
BANBURY CROSS HEALTH CENTRE,Sim
BANBURY ROAD MEDICAL CENTRE,Sim
BANCROFT MEDICAL CENTRE,Sim
BANES BLADDER AND BOWEL TEAM,Sim
BANES COMMUNITY NURSING,Sim
BANES COMMUNITY PAEDIATRICS,Sim
BANES ENHANCED MEDICAL SERVICE (BEMS+),Sim
BANK HOUSE SURGERY,Sim
BANKFIELD SURGERY,Sim
BANKHOUSE SURGERY,Sim
BANNOCKBURN SURGERY,Sim
BARBOURNE HEALTH CENTRE,Sim
BARCROFT MEDICAL CENTRE,Sim
BARDOC GP OOH,Sim
BARKING DRUG & ALCOHOL RECOVERY,Sim
BARKING HOSPITAL URGENT TREATMENT CENTRE,Sim
BARKING MEDICAL GROUP PRACTICE,Sim
BARLBOROUGH MEDICAL PRACTICE,Sim
BARLBY SURGERY,Sim
BARLOW MEDICAL CENTRE,Sim
BARN SURGERY,Sim
BARNARD CASTLE SURGERY,Sim
BARNARD MEDICAL GROUP,Sim
BARNBURGH SURGERY,Sim
BARNBY GATE SURGERY,Sim
BARNET CCG-CLCH (NMP),Sim
BARNET FEDERATED GPS LIMITED,Sim
BARNETBY MEDICAL CENTRE,Sim
BARNFIELD HILL SURGERY,Sim
BARNOLDSWICK MED CTR,Sim
BARNSBURY MEDICAL PRACTICE,Sim
BARNSLEY DRUG & ALCOHOL SERVICE,Sim
BARNSLEY ROAD SURGERY,Sim
BARNT GREEN SURGERY,Sim
BARRACK LANE MEDICAL CENTRE,Sim
BARRINGTON MEDICAL CENTRE,Sim
BARROW HEALTH CENTRE,Sim
BARROWFORD SURGERY,Sim
BARTHOLOMEW MEDICAL GROUP,Sim
BARTLEMAS SURGERY,Sim
BARTLETT GROUP PRACTICE,Sim
BARTLEY GREEN MEDICAL PRACTICE,Sim
BARTON,Sim
BARTON HILLS MEDICAL GROUP,Sim
BARTON HOUSE GROUP PRACTICE,Sim
BARTON HOUSE MED PRACTICE,Sim
BARTON MOSS SECURE CHILDREN'S HOME,Sim
BARTON SURGERY,Sim
BARWELL & HOLLYCROFT MEDICAL CENTRES,Sim
BASFORD HOUSE PRIMARY CARE ACCESS HUB,Sim
BASLOW HEALTH CENTRE,Sim
"BASLOW RD, SHOREHAM ST & YORK RD SRGIES",Sim
BASSETLAW HEALTH PARTNERSHIP,Sim
BASSETLAW PRIMARY CARE CENTRE OOH,Sim
BATH ROAD SURGERY,Sim
BATH ROW MEDICAL PRACTICE,Sim
BATH STREET MEDICAL CENTRE,Sim
BATHEASTON MEDICAL CENTRE,Sim
BATLEY HEALTH CENTRE SURGERY,Sim
BATTERSEA FIELDS PRACTICE,Sim
BATTERSEA RISE GROUP PRACTICE,Sim
BAWTRY AND BLYTH MEDICAL,Sim
BAY MEDICAL GROUP,Sim
BB HEALTHCARE SOLUTIONS,Sim
BCHC MEDICINES MANAGEMENT,Sim
BEACHES MEDICAL CENTRE,Sim
BEACON HEALTH GROUP-DANBURY MEDICAL CTR,Sim
BEACON MEDICAL,Sim
BEACON MEDICAL CENTRE,Sim
BEACON MEDICAL GROUP,Sim
BEACON MEDICAL PRACTICE,Sim
BEACON PRIMARY CARE,Sim
BEACON SURGERY,Sim
BEACON VIEW MEDICAL CENTRE,Sim
BEACONSFIELD MEDICAL PRACTICE,Sim
BEACONSFIELD ROAD SURGERY,Sim
BEAN MEDICAL PRACTICE,Sim
BEARSTED,Sim
BEARWOOD MEDICAL CENTRE,Sim
BEARWOOD ROAD SURGERY,Sim
BEAUCHAMP HOUSE,Sim
BEAUCHIEF MEDICAL PRACTICE,Sim
BEAUFORT ROAD SURGERY,Sim
BEAUMONT LODGE MEDICAL PRACTICE,Sim
BEAUMONT PARK SURGERY,Sim
BEAUMONT VILLA SURGERY,Sim
BECCLES MEDICAL CENTRE,Sim
BECKENHAM BEACON URGENT CARE CENTRE,Sim
BECKETT HOUSE PRACTICE,Sim
BECKINGTON FAMILY PRACTICE,Sim
BEDFORD HILL FAMILY PRACTICE,Sim
BEDFORD STREET SURGERY,Sim
BEDFORDSHIRE MSK SERVICE,Sim
BEDLINGTONSHIRE MED.GROUP,Sim
BEDMINSTER FAMILY PRACTICE,Sim
BEDSER HUB,Sim
BEDWELL MEDICAL CENTRE,Sim
BEDWORTH HEALTH CENTRE,Sim
BEE FOLD MEDICAL CENTRE,Sim
BEECH HILL MEDICAL PRACTICE,Sim
BEECH HOUSE MEDICAL PRACT,Sim
BEECH HOUSE SURGERY,Sim
BEECH TREE MEDICAL CENTRE,Sim
BEECH TREE MEDICAL PRACTICE,Sim
BEECH TREE SURGERY,Sim
BEECHCROFT AND OLD PALACE,Sim
BEECHDALE CENTRE,Sim
BEECHES GREEN SURGERY,Sim
BEECHES MEDICAL CENTRE,Sim
BEECHES MEDICAL PRACTICE,Sim
BEECHFIELD MEDICAL CENTRE,Sim
BEECHWOOD MEDICAL CENTRE,Sim
BEECHWOOD MEDICAL PRACTICE,Sim
BEECHWOOD SURGERY,Sim
BEEHIVE SURGERY,Sim
BEESTON VILLAGE SURGERY,Sim
BEGG PRACTICE,Sim
BELFORD MEDICAL PRACTICE,Sim
BELGRAVE MEDICAL CENTRE,Sim
BELGRAVIA SURGERY,Sim
BELL HOUSE MEDICAL CENTRE,Sim
BELLBROOKE SURGERY,Sim
BELLE VALE HEALTH CENTRE,Sim
BELLEGROVE SURGERY,Sim
BELLEVUE MEDICAL CENTRE,Sim
BELLINGHAM GREEN SURGERY,Sim
BELLINGHAM PRACTICE,Sim
BELMONT & SHERBURN MEDICAL GROUP,Sim
BELMONT HEALTH CENTRE,Sim
BELMONT MEDICAL CENTRE,Sim
BELMONT SURGERY,Sim
BELSIZE PRIORY MEDICAL PRACTICE (GROUP),Sim
BELVEDERE MEDICAL CENTRE,Sim
BELVIDERE MEDICAL PRACT.,Sim
BELVOIR HEALTH GROUP,Sim
BENCHILL MEDICAL PRACTICE,Sim
BENFIELD PARK MEDICAL GROUP,Sim
BENFIELD VALLEY HEALTHCARE HUB,Sim
BENFLEET SURGERY,Sim
BENHILL & BELMONT PRACTICE,Sim
BENNETTS END SURGERY,Sim
BENNFIELD SURGERY,Sim
BENSHAM FAMILY PRACTICE,Sim
BENTHAM MEDICAL PRACTICE,Sim
BENTHAM ROAD HEALTH CENTRE,Sim
BENTLEY MEDICAL PRACTICE,Sim
BERE REGIS SURGERY,Sim
BERINSFIELD HEALTH CENTRE,Sim
BERKELEY PLACE SURGERY,Sim
BERKLEY PRACTICE,Sim
BERKSHIRE CONTINENCE SERVICE (EAST),Sim
BERKSHIRE OPHTHALMOLOGY SERVICE,Sim
BERMONDSEY SPA MEDICAL CENTRE,Sim
BERRY LANE MEDICAL CENTRE,Sim
BERRYCROFT COMMUNITY HEALTH CENTRE,Sim
BERRYLANDS SURGERY,Sim
BERRYMEAD FAMILY MED.CTR.,Sim
BERSTED GREEN SURGERY,Sim
BERWICK SURGERY,Sim
BETHANY MEDICAL CENTRE,Sim
BETHESDA MEDICAL CENTRE,Sim
BETHNAL GREEN HEALTH CTR.,Sim
BETLEY SURGERY,Sim
BETTS AVENUE MEDICAL GROUP,Sim
BEVAN GROUP PRACTICE,Sim
BEVAN HEALTHCARE CIC,Sim
BEVAN MEDICAL GROUP,Sim
BEVERLEY URGENT CARE CENTRE OOH,Sim
BEWBUSH MEDICAL CENTRE,Sim
BEWDLEY MEDICAL CENTRE,Sim
BEWICK CRESCENT SURGERY,Sim
BEWICK ROAD SURGERY,Sim
BEWICKE MEDICAL CENTRE,Sim
BEXLEY COMMUNITY HEALTH SERVICES,Sim
BEXLEY GROUP PRACTICE,Sim
BEXLEY MEDICAL GROUP,Sim
BHARANI MEDICAL CENTRE,Sim
BHC NON MEDICAL PRESCRIBERS,Sim
BHF HIGHGATE SURGERY,Sim
BHF LUNDWOOD SURGERY,Sim
BHFT (BRACKNELL),Sim
BHFT (SLOUGH),Sim
BHFT (WAM),Sim
BHR COMMUNITY ENT SERVICE,Sim
BICESTER HEALTH CENTRE,Sim
BIDDLESTONE HEALTH GROUP,Sim
BIDDULPH DOCTORS,Sim
BIDDULPH VALLEY SURGERY,Sim
BIDEFORD MEDICAL CENTRE,Sim
BIDFORD HEALTH CENTRE,Sim
BIGHAM ROAD MEDICAL CENTRE,Sim
BILBOROUGH MEDICAL CENTRE,Sim
BILBROOK MEDICAL CENTRE,Sim
BILDESTON HEALTH CENTRE,Sim
BILLET LANE MEDICAL PRACTICE,Sim
BILLINGE MEDICAL PRACTICE,Sim
BILLINGHAY MEDICAL PRACTICE,Sim
BILLINGSHURST SURGERY,Sim
BILSTHORPE SURGERY,Sim
BILSTON FAMILY PRACTICE,Sim
BILSTON URBAN VILLAGE MEDICAL CENTRE,Sim
BILTON MEDICAL CENTRE,Sim
BINBROOK SURGERY,Sim
BINCOTE SURGERY,Sim
BINFIELD ROAD SURGERY,Sim
BINFIELD SURGERY,Sim
BINGLEY DERMATOLOGY CLINIC,Sim
BINGLEY MEDICAL PRACTICE,Sim
BINSCOMBE MEDICAL CENTRE,Sim
BIRBECK MEDICAL GROUP,Sim
BIRCHDALE ROAD MEDICAL CENTRE,Sim
BIRCHES HEAD MEDICAL CTR.,Sim
BIRCHILLS HEALTH CENTRE,Sim
BIRCHINGTON MEDICAL CENTRE,Sim
BIRCHWOOD MEDICAL CENTRE,Sim
BIRCHWOOD MEDICAL PRACTICE,Sim
BIRCHWOOD SURGERY,Sim
BIRD-IN-EYE SURGERY,Sim
BIRDHURST MEDICAL PRACTICE,Sim
BIRKBY HEALTH CENTRE,Sim
BIRKWOOD MEDICAL CENTRE,Sim
BIRLEY HEALTH CENTRE,Sim
BIRMINGHAM DENTAL HOSPITAL,Sim
BIRMINGHAM SMARTCARE HUB,Sim
BIRMINGHAM ST MARY'S HOSPICE,Sim
BIRSTALL DERMATOLOGY GPSI,Sim
BIRSTALL MEDICAL CENTRE,Sim
BIRTLE VIEW MEDICAL PRACTICE,Sim
BIRTLEY MEDICAL GROUP,Sim
BISHOP AUCKLAND PRIMARY CARE SERVICES,Sim
BISHOPGATE MEDICAL CENTRE,Sim
BISHOPS CASTLE MEDICAL PRACTICE,Sim
BISHOPS CLOSE MEDICAL PRACTICE,Sim
BISHOPS WALTHAM SURGERY,Sim
BISHOPSFORD ROAD SURGERY,Sim
BLACK COUNTRY FAMILY PRACTICE,Sim
BLACK TORRINGTON SURGERY,Sim
BLACKBURN RD MEDICAL CENTRE,Sim
BLACKBURN RD.MEDICAL CTR.,Sim
BLACKDOWN PRACTICE,Sim
BLACKETTS MEDICAL PRACTICE,Sim
BLACKFORD HOUSE MEDICAL CENTRE,Sim
BLACKFRIARS,Sim
BLACKFRIARS MEDICAL PRACTICE,Sim
BLACKHALL AND PETERLEE PRACTICE,Sim
BLACKHEATH MED CTR,Sim
BLACKHEATH STANDARD PMS,Sim
BLACKMORE VALE PARTNERSHIP,Sim
BLACKPOOL LOCALITY CHS,Sim
BLACKPOOL SUBSTANCE MISUSE SERVICE,Sim
BLACKTHORN,Sim
BLACKTHORN HEALTH CENTRE,Sim
BLACKWATER MEDICAL CENTRE,Sim
BLACKWELL MEDICAL CENTRE,Sim
BLACKWOOD HEALTH CENTRE,Sim
BLAKENEY SURGERY,Sim
BLAKEWATER HEALTHCARE,Sim
BLANDFORD MEDICAL CENTRE,Sim
BLAYDON GP LED PRACTICE,Sim
BLOCK LANE SURGERY,Sim
BLOFIELD SURGERY,Sim
BLOOMFIELD MEDICAL CENTRE,Sim
BLOOMSBURY SURGERY,Sim
BLOXHAM SURGERY,Sim
BLOXWICH MEDICAL PRACTICE,Sim
BLUE WING FAMILY DOCTOR UNIT,Sim
BLUEBELL LANE SURGERY,Sim
BLUEBELL SURGERY,Sim
BLUNDELLSANDS SURGERY,Sim
BLURTON MEDICAL CENTRE,Sim
BLYTH ROAD MEDICAL CENTRE,Sim
BLYTH'S MEADOW SURGERY,Sim
BMI BEAUMONT HOSPITAL,Sim
BMI CHAUCER HOSPITAL,Sim
BMI FAWKHAM MANOR HOSPITAL,Sim
BMI SOUTHEND PRIVATE HOSPITAL,Sim
BMI THE MANOR HOSPITAL,Sim
BNSSG COMMUNITY PAEDIATRICIANS,Sim
BODEY MEDICAL CENTRE,Sim
BODMIN ROAD HEALTH CENTRE,Sim
BODRIGGY HEALTH CENTRE,Sim
BOGNOR HOSPITAL MINOR INJURIES UNIT,Sim
BOGNOR MEDICAL CENTRE,Sim
BOLEYN MEDICAL CENTRE,Sim
BOLINGBROKE MEDICAL CENTRE (THMP),Sim
BOLTON COMMUNITY PRACTICE,Sim
BOLTON GENERAL PRACTICE,Sim
